id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
11 year solar cycle	1.0353	-0.6574	2	536	3628	39	2009
11-year solar cycle	1.0391	-0.6423	2	518	3314	34	2009.5
20th century	-0.7188	-0.528	1	821	6372	63	2011.125
500-hpa geopotential height	-0.2097	0.4215	3	781	5582	49	2010.190476
abrupt	0.1841	0.5331	2	339	1236	12	2013.461538
acceleration	1.151	-0.0084	2	569	3022	30	2012.217042
accumulation	-0.7877	-0.115	1	631	3508	35	2011.1675
accuracy	0.0257	-0.3374	1	586	2810	28	2012.031588
action	0.0235	-0.2686	1	900	7800	79	2009.595808
activity	0.6131	0.2024	2	1493	40790	405	2011.741747
addition	0.0304	0.1223	2	1370	20982	199	2012.072879
adjustment	0.3647	0.0429	2	531	2662	24	2011.543956
administration	-0.6718	0.4486	1	362	1358	13	2011.614679
advance	0.0024	0.065	3	790	4994	52	2012.223684
advection	-0.086	0.6078	3	1107	13238	123	2010.324162
aerosol	0.6087	-0.605	2	606	3750	33	2011.217627
africa	-0.8498	0.0324	1	822	6626	59	2009.943515
agcm	0.2943	0.1932	2	699	4634	39	2011.12381
age	-0.7568	-0.6973	1	513	2580	26	2010.368729
agency	0.8256	-0.1688	2	350	1548	18	2012.539216
agreement	0.2655	-0.5142	2	1065	9740	92	2010.554303
air	-0.5624	0.4355	3	1518	54750	509	2011.976061
air masses	-0.5769	0.3077	1	809	5858	56	2011.64881
air pressure	-0.8115	-0.1742	1	401	1450	14	2010.137931
air temperature	-0.6498	0.4517	3	1412	38698	353	2012.218924
air temperature variations	-0.462	0.5343	3	359	1358	11	2011.214286
air-sea	0.0587	0.8279	3	497	2368	21	2011.236364
air-sea interaction	-0.0162	0.9783	3	473	2368	21	2011.566667
al	0.048	-0.2895	1	702	3898	35	2010.555118
alaska	-0.1517	0.0805	1	1067	10748	101	2010.597746
alaskan	-0.1066	0.4642	3	429	1632	15	2011.071579
albedo	-0.1264	0.3517	3	482	2110	19	2012.060567
aleutian	0.0829	0.6829	3	1142	15166	136	2009.607143
aleutian low	-0.1063	0.8127	3	917	9176	81	2010.541401
algorithm	0.2097	-0.3178	1	590	2670	29	2011.916828
altitude	0.4893	-0.4355	2	503	2142	24	2011.218807
america	-0.1045	0.1577	1	1416	32012	282	2011.440252
american	-0.2981	0.0495	1	1021	12058	107	2010.565574
amip	0.4384	0.6034	3	412	1724	14	2012.514286
amo	-0.9167	-0.4967	1	625	3974	35	2014.908333
amplification	0.776	-0.0182	2	831	5826	55	2013.330357
amplitude	0.785	-0.0997	2	1260	19702	198	2010.372165
analysis	-0.1362	-0.18	1	1610	111030	1105	2011.656462
analysis method	-0.194	-0.3985	1	458	1824	18	2012.439024
angular momentum	0.7465	-0.1792	2	434	2032	24	2006.62963
annual	-0.9195	-0.4067	1	439	2028	22	2010.264808
annual cycle	0.502	-0.3604	2	734	4556	45	2009.189944
annual precipitation	-0.9852	-0.265	1	416	1612	16	2011.851852
annual variability	-0.3931	-0.1464	1	446	1732	17	2012.096045
annular mode	0.8679	-0.337	2	1269	26098	272	2012.262136
anomalous circulation	0.0818	0.8023	3	497	2250	21	2011.487805
