id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.4518	-1.0442	1	210	666	8	2011.125
absorbance	-0.3106	0.5601	2	834	5876	52	2013.26087
absorption	-0.8884	-0.0811	3	1049	12078	115	2011.930081
absorption coefficient	-0.934	-0.2073	3	549	2642	25	2011.888889
absorption spectra	-1.1677	-0.1193	3	277	1044	11	2012
abundance	-0.4836	0.2927	2	1048	8310	76	2012.159769
acceleration	0.5751	-0.722	1	233	634	7	2012.217042
accumulation	-0.2126	0.035	2	957	5816	56	2011.1675
accuracy	-0.0143	-0.5984	1	309	874	9	2012.031588
acidification	0.3023	-0.2377	4	295	868	8	2014.569472
acids	-0.5714	0.57	2	1052	10006	111	2009.964637
active layer	0.8432	0.1686	4	913	7728	65	2012.332634
active layer soils	0.3773	0.2546	5	397	1424	12	2014.593407
active layer thickness	1.1994	0.1332	4	357	1418	11	2013.05
activity	-0.1311	0.5504	2	999	7126	68	2011.741747
addition	-0.2701	0.271	2	1087	7924	74	2012.072879
adsorption	0.6771	0.919	4	486	2346	19	2009.962264
advance	0.4787	-0.182	1	213	586	7	2012.223684
aerosol	-0.4274	0.8871	2	421	1682	22	2011.217627
age	0.0431	-0.1157	5	784	4668	43	2010.368729
agreement	0.1053	-0.1351	1	578	2244	23	2010.554303
agriculture	0.4591	-0.2527	1	250	688	7	2013.323232
air	0.6664	-0.4989	1	782	4472	43	2011.976061
air temperature	0.7474	-0.6286	1	662	3752	36	2012.218924
al	0.8861	0.8713	4	740	6032	44	2010.555118
alaska	0.5684	-0.0672	1	983	8194	79	2010.597746
alaskan	0.5973	-0.0622	1	646	2994	27	2011.071579
alaskan arctic	0.4696	0.1629	1	345	1086	10	2012.864583
algae	-0.6514	0.1351	3	553	2486	26	2012.039501
algorithm	-0.2637	-0.9544	3	470	2246	21	2011.916828
alkalinity	0.4979	-0.2152	4	401	1456	14	2012.733333
alpine	0.4198	0.0438	1	338	1190	11	2012.280161
alteration	-0.2699	0.1103	5	587	2406	21	2012.662651
aluminum	0.81	0.8078	4	361	1224	11	2010.290323
amazon	0.1211	-0.2511	5	409	1418	12	2013.459459
america	0.2777	-0.6978	1	483	1944	21	2011.440252
amino acids	-0.8038	0.3263	2	666	3638	38	2012.884393
ammonium	0.2663	-0.4542	1	547	2404	23	2011.212264
analysis	-0.2682	0.0414	2	1402	24398	246	2011.656462
analytical techniques	-0.2776	0.8929	2	286	844	9	2010.655172
ancient	-0.1575	0.1019	5	337	1196	13	2012.618557
ancient permafrost	0.5963	0.0836	1	249	836	8	2014
angiosperms	-0.6736	-0.2862	5	266	828	7	2010.925926
anion	0.7037	0.8653	4	288	792	7	2011.425
annual	0.6674	-0.6406	1	403	1512	15	2010.264808
annual fluxes	0.6934	-0.5501	1	270	792	7	2011
annual precipitation	0.7675	-0.6826	1	328	1124	13	2011.851852
annual runoff	0.6234	-0.8359	1	247	716	7	2011.972973
anomaly	-0.002	-0.443	1	182	482	7	2010.997204
anoxic	-0.2796	0.9392	2	294	880	8	2011.109091
antarctic	-0.6967	0.5522	2	814	5890	70	2010.797819
antarctic lakes	-0.5424	0.9506	2	220	692	8	2011.024096
antarctic snow	-0.5168	0.896	2	115	384	7	2007.758621
antarctica	-0.6017	0.7573	2	738	5346	68	2011.220175
apparent oxygen utilization	-1.2345	-0.285	3	280	1068	9	2012.611111
application	-0.1222	-0.1711	1	750	3240	33	2012.361823
approach	0.0085	0.0541	2	1035	6826	64	2013.011682
aquatic	-0.2968	0.7164	2	377	1226	13	2012.291667
aquatic ecosystems	0.4681	0.3876	1	760	4608	40	2013.963964
aquatic environments	0.0521	0.8694	2	427	1388	12	2012.515152
aquatic systems	0.4451	0.4326	2	704	3606	35	2013.016393
archipelago	-0.6439	-0.4997	3	352	1264	13	2011.082609
arctic	-0.076	-0.3439	1	1490	49704	471	2012.189504
