id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	-0.2065	-0.2116	1	698	4428	50	2011.125
aar	-0.4619	-0.6641	1	252	920	11	2011.411765
ablation	0.1272	0.2729	4	1450	29958	292	2012.339583
ablation area	-0.0451	0.5252	4	793	5046	47	2012.473684
ablation rate	-0.1783	-0.0312	1	394	1388	15	2011.074074
ablation zone	0.3916	0.2325	2	1013	10234	96	2013.621849
abundance	0.3214	-0.0045	3	327	996	13	2012.159769
acceleration	0.5008	-0.0569	3	1304	20750	208	2012.217042
access	-0.2544	-0.3789	1	671	2994	30	2013.769679
accumulation	-0.4757	0.42	4	1377	28734	293	2011.1675
accumulation area	-0.4852	0.1775	4	831	6192	63	2009.974684
accumulation rates	-0.6857	0.3632	4	709	4566	48	2010.201613
accumulation zone	-0.2501	0.3519	4	581	3028	28	2014.853659
accumulation-area ratio	-0.4805	-0.6104	1	294	1090	11	2012.384615
accuracy	-0.7925	-0.5484	1	1150	14716	164	2012.031588
acquisition	-0.7154	-0.6896	1	519	2318	25	2012.112069
activity	0.4999	-0.2064	3	964	6546	74	2011.741747
addition	-0.0751	0.1443	5	1247	11122	111	2012.072879
adjustment	-0.7195	-0.0793	5	698	4162	41	2011.543956
administration	-0.9151	-0.2707	1	348	1356	14	2011.614679
advance	0.3659	-0.4466	3	1063	10758	115	2012.223684
advection	0.2726	0.8646	4	647	3600	34	2010.324162
aerial photographs	-0.4732	-0.7339	1	530	2728	32	2010.535714
aerial photography	-0.7639	-0.5684	1	360	1338	15	2010.65
aeronautics	-0.8679	-0.4601	1	291	1034	11	2012.657895
age	-0.0718	-0.1286	1	860	6936	74	2010.368729
agency	-1.0244	-0.4526	1	390	1516	15	2012.539216
agreement	-0.4028	0.0687	4	1277	13990	144	2010.554303
air	-0.2723	0.6219	4	1327	22480	217	2011.976061
air temperature	-0.3036	0.6216	4	1262	18852	182	2012.218924
airborne	-0.809	-0.6028	1	627	3594	38	2011.99435
airborne laser scanning	-0.9707	-0.7027	1	292	1072	12	2014.615385
airborne lidar	-0.9214	-0.7369	1	306	1334	17	2013.217391
airborne radar	-0.1288	-0.4646	2	420	1880	21	2012.707317
aircraft	-0.6243	-0.6199	1	458	1872	21	2010.584541
al	-0.0736	-0.1561	2	552	2136	21	2010.555118
alaska	0.0105	-0.5711	1	1187	14678	173	2010.597746
alaskan	0.0203	-0.1297	3	540	2138	21	2011.071579
albedo	-0.5429	0.9833	4	892	9104	81	2012.060567
albedo feedback	-0.1221	1.1839	4	322	1422	12	2013.383234
algorithm	-0.6058	-0.4262	1	1078	10318	111	2011.916828
alpine	0.0519	-0.5957	2	691	3330	35	2012.280161
alpine glaciers	0.1214	-0.5805	2	676	3334	35	2012.819277
alps	-0.5476	-0.5641	1	594	3068	33	2011.372549
alternative	-0.2961	-0.1994	1	417	1370	13	2011.356436
altimeter	-1.0033	-0.4911	1	824	7928	82	2009.018667
altimeter data	-1.016	-0.536	1	453	2194	23	2007.217143
altimetry	-1.0622	-0.3023	1	1068	14994	154	2011.731674
altimetry data	-1.1248	-0.3261	1	560	3380	30	2011.834356
altitude	-0.5448	0.2146	4	914	7272	71	2011.218807
america	-0.6348	-0.1391	1	554	2616	29	2011.440252
amplitude	0.0515	-0.1802	2	762	4668	49	2010.372165
analysis	-0.2272	-0.2043	1	1573	40100	427	2011.656462
angle	-0.5225	-0.2972	1	415	1520	18	2010.915493
annual	-0.4716	0.1491	4	561	2572	28	2010.264808
annual accumulation	-0.6853	0.43	4	414	1788	20	2010.317073
annual ice	0.6703	-0.4373	2	461	2136	22	2009.86
annual variation	-0.6707	0.3361	4	417	1468	15	2011.130137
anomaly	-0.0243	0.8252	4	1058	10268	100	2010.997204
antarctic	-0.4371	0.0735	1	1289	16156	173	2010.797819
antarctic glaciology	-0.013	-0.7033	1	361	1172	13	2015.47619
antarctic ice	-0.4094	0.2177	5	1042	8896	92	2012.455772
antarctic ice sheet	-0.4841	0.2888	5	966	7626	79	2012.616541
antarctic peninsula	-0.5703	0.0199	1	689	4146	42	2011.82716
antarctica	-0.3318	-0.3445	1	1306	17328	192	2011.220175
antarctica ice	-0.0957	-0.3221	5	532	2370	25	2011.795666
antenna	-0.6102	-0.1052	4	277	966	11	2010.984127
application	-0.4596	-0.3849	1	1241	14100	147	2012.361823
