id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.5181	0.0308	2	86	178	2	2011.125
ablation	-0.6513	0.1173	3	163	420	3	2012.339583
abrupt changes	-0.3531	-0.4821	4	123	302	3	2011.375
absorption	-0.7751	-0.7106	3	114	254	2	2011.930081
abundance	-0.4962	0.082	4	601	2686	23	2012.159769
abundance distribution	0.2486	-0.5596	5	99	218	2	2011.488889
acc	1.0812	0.2237	2	189	538	5	2008.705882
acceleration	0.3087	0.1232	2	141	322	3	2012.217042
access	-0.0339	-0.8015	5	181	438	3	2013.769679
accumulation	-0.5455	0.3946	1	439	1492	12	2011.1675
accumulation rates	-0.678	0.5828	1	158	416	4	2010.201613
acidification	0.3551	0.6372	1	210	580	5	2014.569472
acoustic doppler current profiler	1.0634	-0.3237	2	165	428	3	2007.4
activity	-0.0992	0.1097	1	365	1128	10	2011.741747
adcp	1.258	-0.1806	2	222	658	5	2007.919643
adcp data	1.1817	-0.2093	2	104	226	2	2007.285714
addition	-0.2878	0.3589	1	349	1102	9	2012.072879
adelaide	1.152	-0.36	2	287	914	7	2010.086957
adelaide island	1.151	-0.3614	2	287	914	7	2010.157895
adelie	0.5288	-0.8923	5	232	686	6	2010.903226
adelie penguin	0.5284	-0.8916	5	232	686	6	2012.611111
admiralty bay	-0.9521	0.0706	4	217	708	7	2013.441176
advance	0.0732	-0.2371	5	282	780	6	2012.223684
advection	0.7091	-0.0026	2	360	1226	9	2010.324162
agassiz	-0.6875	-0.4841	3	112	244	2	2012.25
agassiz trawl	-0.6866	-0.4842	3	112	244	2	2014.666667
age	-0.4256	0.3137	1	134	332	3	2010.368729
aggregation	0.9552	-0.5789	5	120	258	2	2010.006757
agreement	-0.8066	0.0927	3	135	284	2	2010.554303
air	-0.3455	-0.1585	3	370	1272	10	2011.976061
air temperature	-0.3462	-0.1218	3	359	1216	9	2012.218924
air-sea interaction	0.7566	0.1889	6	129	282	2	2011.566667
alexander island	1.2131	-0.2545	2	211	622	5	2007.677419
algae	-0.5051	-0.0045	4	272	790	7	2012.039501
algal blooms	-0.8033	-0.1381	4	224	560	4	2013.245902
algorithm	-0.745	0.1974	4	123	266	2	2011.916828
alkalinity	0.6951	0.9294	1	119	284	2	2012.733333
amundsen	0.7413	-0.4099	2	89	196	2	2012.553846
amundsen sea	0.7416	-0.4085	2	89	196	2	2013.842105
analysis	-0.1631	-0.0707	4	760	3800	32	2011.656462
animals	-0.5872	-0.6746	3	217	612	7	2012.281022
annual variability	0.0882	-0.635	6	163	412	3	2012.096045
annular mode	0.2622	-0.4417	6	325	1170	8	2012.262136
anomaly	-0.0814	-0.3259	6	196	494	3	2010.997204
antarctic	0.0293	-0.0544	1	1307	18282	166	2010.797819
antarctic benthos	-0.7931	-0.8516	3	84	182	2	2014.333333
antarctic bivalve	-1.0816	-0.2651	3	108	244	2	2011.875
antarctic circumpolar current	0.7493	0.1663	2	436	1584	12	2008.485816
antarctic climate	-0.9584	-0.9056	3	109	278	2	2012.244444
antarctic continent	1.0159	0.6096	6	107	230	2	2010.136364
antarctic continental shelves	1.3337	-0.2274	2	136	430	3	2012.769231
antarctic ecosystems	-0.4934	0.3614	4	144	320	3	2012.855072
antarctic fjord	-0.8711	0.0597	3	83	174	2	2014.5
antarctic food web	-1.0403	0.2305	4	121	278	2	2015.166667
antarctic ice	0.6289	0.5818	6	91	192	2	2012.455772
antarctic krill	0.1442	-0.7588	5	292	878	7	2011
antarctic marine	-0.2073	-0.6006	5	247	778	8	2010.642105
antarctic marine ecosystem	0.022	-0.8756	5	95	216	3	2010.133333
antarctic peninsula	0.0428	-0.0287	1	1285	16488	144	2011.82716
antarctic peninsula region	0.0383	-0.0273	1	407	1370	13	2011.944444
antarctic peninsula shelf	0.6507	0.0691	2	496	1998	15	2012.08
antarctic phytoplankton	-1.0541	0.1075	4	190	516	4	2014.076923
antarctic region	0.7567	-0.1975	2	78	178	2	2012.628099
antarctic research	-0.1223	-0.8065	5	96	224	3	2011.169643
antarctic sea	-0.2529	0.1444	1	160	394	4	2013.249337
antarctic sea ice	-0.0053	0.3422	1	123	294	3	2013.381098
antarctic shelf	0.2508	-0.4328	2	176	408	3	2012.952381
antarctic sound	0.0144	0.3103	2	124	318	3	2014.333333
antarctic summer	-0.9903	0.5382	4	117	268	2	2009.767442
antarctic surface water	0.1404	0.1466	2	253	730	5	2009.521739
antarctic waters	-0.7758	0.4179	4	175	454	4	2008.982456
antarctica	-0.1859	-0.137	4	1007	7134	66	2011.220175
antarctica peninsula	0.0126	-0.1457	6	193	468	3	2013.348837
anticyclonic eddy	0.2155	0.3733	2	94	238	2	2008.5
anvers island	0.2604	-0.2377	5	320	916	7	2012.571429
ap	-0.6218	-0.4847	3	156	376	3	2012.867647
application	-4e-04	-0.5612	5	173	410	3	2012.361823
approach	-0.08	-0.124	5	554	2054	17	2013.011682
archipelago	-0.6241	-0.1435	3	116	246	2	2011.082609
arctic	-0.3481	-0.9069	5	97	200	2	2012.189504
arctic antarctic	-0.3467	-0.9065	5	97	200	2	2012.938182
area	-0.196	0.0126	3	949	5948	55	2011.37466
array	0.4656	0.6407	2	100	218	2	2011.101235
ascidians	-0.9753	-0.4105	3	118	286	3	2014
assemblages	-0.7445	-0.3557	3	389	1354	13	2012.247588
assessment	-0.2226	-0.0612	1	172	424	5	2013.024899
association	-0.6377	0.2009	4	327	948	8	2011.081886
atm	-0.1902	1.1114	1	100	234	2	2014.48731
atmosphere	0.4886	0.4509	6	212	582	5	2011.581199
atmospheric circulation	0.6226	0.4142	6	113	250	2	2012.002058
atmospheric temperature	-0.3911	0.2074	4	95	214	2	2010.509554
attention	0.0727	-0.6292	3	94	192	2	2012.917808
austral	0.8214	0.3422	2	180	544	5	2009.558824
austral fall	1.2888	-0.2814	2	107	272	2	2011.611111
austral spring	-0.1612	-0.4322	6	128	312	3	2012.488722
austral summer	0.0568	0.2816	2	521	2030	18	2012.0726
austral winter	0.4919	-0.3017	2	146	376	3	2010.937853
autumn	-0.5286	-0.18	4	227	624	4	2011.726708
availability	-0.2949	-0.044	4	475	1772	14	2012.908905
backscatter	0.2501	-0.3686	6	133	284	2	2011.126712
bacterioplankton	-0.4859	0.7704	1	113	262	2	2014.277108
balance	0.6699	-0.0231	2	491	1922	16	2011.539286
barotropic	1.3251	0.0832	2	86	186	2	2008.382671
barrier	0.6528	-0.4546	2	102	210	2	2010.248366
baseline	-0.4113	0.1129	1	203	524	4	2012.74934
basin	0.4183	0.4772	2	373	1454	13	2010.09645
bathymetry	0.7976	-0.0993	2	352	1218	10	2011.112299
bay	0.0852	0.2147	1	939	5932	52	2010.11814
behavior	0.197	0.2822	1	157	346	3	2011.103784
bellingshausen	0.3477	0.441	2	279	912	8	2010.935252
bellingshausen sea	0.2802	0.4724	2	247	726	6	2010.579545
benefits	-0.526	-0.9233	3	94	216	2	2014.038732
benthic	-0.8388	-0.3393	3	280	826	9	2011.160714
benthic assemblages	-0.8419	-0.6817	3	104	272	3	2014.727273
benthic biodiversity	-0.6353	-0.6664	3	148	350	3	2014.166667
benthic biomass	-1.0998	-0.2331	3	109	236	2	2012.1
benthic carbon	-1.0547	-0.4487	3	159	392	4	2012.461538
benthic communities	-0.8915	-0.3727	3	299	868	7	2010.78125
benthic diatoms	-1.0892	0.1344	3	150	382	4	2013.222222
benthic ecosystem	-0.5835	-0.7999	3	138	346	3	2014.625
benthic megafauna	-1.0757	-0.2269	3	87	192	2	2014.333333
benthos	-0.7937	-0.6804	3	342	1322	13	2011.247312
biodiversity	-0.8115	-0.7028	3	219	586	5	2013.864286
biogenic	-1.0239	0.3086	3	110	244	2	2011.609375
biogenic opal	-0.0062	0.8723	1	138	306	2	2009.625
biogenic silica	-0.1814	0.8579	1	200	518	4	2013.37931
biogeochemical	0.1827	0.7622	1	171	366	2	2013.144444
biogeochemistry	-0.0316	0.2818	1	343	1052	9	2014.025316
biological	0.4064	0.4012	1	196	488	4	2012.548387
biological activity	0.5907	0.3132	5	109	240	2	2012.109091
biological hotspot	0.722	-0.7213	5	181	548	5	2017.866667
biological parameters	-0.1752	0.7898	4	118	266	2	2012.72
biological processes	0.9979	-0.4559	2	167	498	4	2011.762963
biological production	0.5827	0.6832	1	104	234	2	2012.25974
