id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	-0.3405	-0.1065	1	765	4716	45	2011.125
abies	-0.7911	-0.1291	1	430	1562	18	2011.851852
abiotic factors	-0.973	0.0662	1	428	1536	15	2013.777778
abisko	-0.3971	0.1653	1	460	1882	21	2011.45098
above-ground biomass	-0.469	0.2341	1	593	2326	21	2014.6
aboveground biomass	-0.0731	0.3808	2	652	3272	30	2014.85
absorption	0.9006	0.077	2	556	2282	19	2011.930081
abundance	-0.8984	0.0134	1	1398	20114	202	2012.159769
access	-0.3288	0.0085	1	598	2400	23	2013.769679
acclimation	-0.4348	0.7025	1	350	1120	13	2013.38
accumulation	-0.1203	0.4285	4	1030	6652	61	2011.1675
accuracy	0.3994	-0.9199	3	1032	9494	89	2012.031588
acquisition	0.1687	-0.5328	3	538	1992	19	2012.112069
active layer	0.0625	0.7691	2	789	4480	38	2012.332634
active layer thickness	-0.0379	0.8496	2	393	1532	13	2013.05
activity	0.2387	0.2595	4	1335	14698	142	2011.741747
adaptation	-0.4003	-0.0095	1	815	4486	48	2013.458029
addition	-0.3259	0.1493	1	1403	15586	149	2012.072879
administration	1.2502	-0.4295	3	346	1320	11	2011.614679
advance	-0.4907	-0.2514	1	1101	9288	91	2012.223684
advanced very high resolution radiometer	0.9808	-0.8374	3	554	3234	29	2005.41573
aerial photographs	-0.3192	-0.9088	3	555	2608	26	2010.535714
aerosol	1.1153	-0.203	2	419	1572	14	2011.217627
africa	1.2406	0.1886	2	365	1510	14	2009.943515
age	-0.5678	0.019	1	991	7610	77	2010.368729
age distribution	-0.8028	-0.4741	1	390	1502	14	2010.666667
age structure	-0.8707	-0.1518	1	476	2188	21	2011.933333
agreement	0.8587	-0.3263	3	757	4482	40	2010.554303
agriculture	0.3283	-0.4826	3	510	2002	20	2013.323232
air	0.2639	0.3759	4	1429	21054	193	2011.976061
air temperature	0.3288	0.4681	4	1329	16460	149	2012.218924
aircraft	0.8905	-0.6057	3	358	1218	11	2010.584541
alaska	0.4272	-0.0718	3	1507	37764	356	2010.597746
alaska north slope	0.5963	-0.7167	3	643	3900	34	2011.71978
alaska tundra	0.3398	-0.4275	3	481	2010	19	2012.956522
alaskan	0.5184	-0.1854	3	1056	8734	83	2011.071579
alaskan arctic	0.4736	-0.5319	3	569	2636	24	2012.864583
alaskan tundra	0.0654	-0.4713	3	420	1686	17	2014.592593
albedo	0.6274	0.5153	2	1127	11530	98	2012.060567
alder	-0.4495	0.0755	1	537	2540	22	2012.5
alfresco	0.5101	0.3519	2	357	1402	12	2007
algorithm	0.8376	-0.5407	3	883	6036	53	2011.916828
allocation	-0.3479	0.7434	1	744	3954	39	2012.932584
alnus	-0.5832	0.0748	1	584	2640	24	2014.333333
alpine	-0.8494	-0.0668	1	1278	16908	178	2012.280161
alpine ecosystems	-0.9156	0.1875	1	622	3000	31	2014.650794
alpine environments	-0.8236	-0.3559	1	468	1872	20	2010.582418
alpine grassland	-0.3196	0.5676	1	383	1242	12	2015.446809
alpine landscapes	-0.8385	-0.4129	1	315	1080	12	2012.47619
alpine plant communities	-1.116	0.1782	1	340	1304	13	2015.333333
alpine plants	-1.0075	-0.1362	1	591	3088	32	2013.9
alpine regions	-0.9999	0.145	1	506	2180	23	2012.662791
alpine species	-1.1063	-0.402	1	338	1230	14	2012.9
alpine tree line	-0.9387	-0.4956	1	354	1382	13	2012.307692
alpine treeline	-0.9028	-0.1072	1	582	3116	36	2011.102564
alpine tundra	-0.8026	-0.043	1	844	5278	51	2012.213333
alpine vegetation	-0.7413	-0.3094	1	579	2756	29	2013.380952
alpine zone	-1.0231	-0.2392	1	371	1360	14	2010.84375
alps	-0.8913	-0.0742	1	637	3218	33	2011.372549
altitude	-0.6448	-0.2785	1	721	3970	45	2011.218807
altitudinal gradient	-0.8676	-0.3058	1	468	1876	20	2012.851064
america	0.7631	-0.2081	4	1055	9028	84	2011.440252
american	0.5114	-0.2522	4	406	1276	11	2010.565574
amplification	0.6978	0.3837	4	365	1244	12	2013.330357
amplitude	1.0273	0.5603	2	588	3156	30	2010.372165
anaktuvuk	0.9206	0.1899	2	364	1454	14	2013.888889
anaktuvuk river fire	0.9207	0.1915	2	364	1454	14	2013.625
analysis	0.2327	-0.3343	3	1626	47660	462	2011.656462
angle	0.2379	-0.9646	3	357	1174	12	2010.915493
animals	-0.5309	-0.2617	1	573	2358	27	2012.281022
annual	0.1393	0.2174	4	673	2852	29	2010.264808
annual growth	-0.6665	0.5392	4	498	2302	23	2013.590909
annual precipitation	0.2795	-0.0163	2	480	1726	17	2011.851852
annual temperature	-0.2431	-0.0123	1	442	1596	16	2010.649254
annual variability	1.1441	-0.2249	4	415	1604	14	2012.096045
annual variation	0.4564	0.1256	4	499	1862	17	2011.130137
anomaly	1.1451	0.0932	4	819	5682	50	2010.997204
antarctica	0.6081	-0.7695	3	362	1212	13	2011.220175
ao	1.0221	0.0888	4	349	1348	13	2011.098916
application	0.6044	-0.4633	3	1074	8790	83	2012.361823
approach	0.1993	-0.5479	3	1442	20692	204	2013.011682
archipelago	-0.1398	-0.4824	3	456	1672	17	2011.082609
archives	0.3294	-0.8363	3	434	1578	15	2012.62249
arctic	0.0324	-0.0464	3	1638	86066	848	2012.189504
arctic alaska	0.0764	-0.7415	3	615	2988	27	2012.700935
arctic areas	-0.2169	-0.8545	3	495	1880	19	2012.19708
arctic change	0.3827	-0.0074	3	422	1452	14	2013.297297
arctic climate	0.0167	0.5338	4	1123	9468	88	2013.150824
arctic climate change	0.0701	0.5704	4	452	1672	16	2014.55814
arctic ecosystems	-0.0839	0.4855	1	1304	14812	135	2014.429967
arctic environments	-0.0449	-0.8036	3	610	2586	26	2012.708108
arctic greening	0.5552	0.0472	4	508	2066	18	2016.1
arctic greenland	-0.5537	0.2453	1	422	1530	17	2011.165468
arctic high	-0.017	0.1001	4	617	2452	22	2013.101695
arctic landscapes	0.0026	0.1684	3	565	2328	19	2014.355556
arctic ocean	0.5834	-0.2278	2	386	1356	16	2010.893127
arctic oscillation	1.2076	-0.0011	4	464	2332	22	2011.24912
arctic plant	-0.8357	0.4509	1	832	5720	54	2014.560606
arctic plant communities	-0.8794	0.495	1	419	1590	14	2014.75
arctic plants	-0.6963	0.5441	4	518	2348	26	2014.25641
arctic regions	0.4791	-0.1951	3	1157	9804	91	2013.278834
arctic research	0.079	-0.5575	3	365	1174	12	2013.453782
arctic sea ice	0.6595	0.0073	4	414	1682	18	2014.367364
arctic seas	0.6626	0.0163	4	424	1730	19	2014.010669
arctic shrubs	-0.6083	0.439	1	861	5842	53	2014.814815
arctic soils	0.4537	0.3827	2	466	1664	13	2013.785276
arctic species	-0.8802	-0.2476	1	423	1516	17	2013.654545
arctic summer	0.2316	-0.2232	3	422	1682	14	2013.466368
arctic svalbard	-0.5637	0.3791	4	362	1320	12	2012.8125
arctic temperature	-0.359	0.5143	4	454	1656	18	2012.593301
arctic treeline	-0.6376	0.1961	1	408	1560	17	2012
arctic tundra	0.0649	0.0157	3	1517	32208	292	2013.816872
arctic tundra vegetation	0.3014	-0.6088	3	823	5192	43	2012.957447
arctic vegetation	0.1446	-0.5056	3	1245	13930	132	2012.662338
arctic warming	0.3531	0.37	4	585	2502	24	2014.481818
arctic-alpine	-0.9912	-0.2413	1	848	5706	61	2010.826446
area	0.0965	-0.3194	3	1645	80398	782	2011.37466
arthropod	-1.0015	0.0477	1	431	1806	20	2010.948276
asia	0.8667	-0.027	2	352	1110	12	2013.012594
aspect	-0.4019	-0.5556	1	658	2802	27	2011.749104
assemblages	-0.8339	-0.3744	1	671	3400	34	2012.247588
assessment	0.4202	-0.4473	3	1210	11044	112	2013.024899
assimilation	0.7152	0.7382	2	575	2538	22	2012.629787
association	-0.236	-0.3643	4	925	5552	54	2011.081886
atlantic	0.7323	0.0374	4	624	3342	32	2010.236737
atlantic oscillation	0.9072	-0.0338	4	383	1580	13	2010.516074
atmosphere	0.8823	0.4784	2	1134	11672	102	2011.581199
