id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
absorption	-0.7302	-0.1384	2	279	1026	2007.595437
abundance	-0.1378	0.0389	2	356	1294	2008.576098
abyssal	-0.2355	-1.077	6	25	50	2008.060741
access	0.5517	-0.0103	1	81	162	2011.56924
accumulation	-0.2502	-0.1975	2	30	60	2008.145056
accuracy	-0.0769	-0.1151	2	307	1144	2010.08255
ace	-0.7751	-0.4737	3	56	112	2006.914894
acquisition	-0.1952	0.3556	2	23	46	2009.628664
action	1.0767	-0.0516	1	24	48	2008.283128
activity	0.6767	-0.1723	1	139	326	2008.699084
addition	-0.3298	0.4304	4	208	572	2009.285986
adelaide	-1.1987	-0.5073	2	37	74	2006.574194
adelie	1.323	-0.1996	1	109	312	2007.709635
adoption	1.3968	-0.2242	1	31	62	2009.834286
adult	1.3901	0.0475	1	55	124	2007.718974
advance	0.5676	-0.3212	1	52	106	2009.278139
aerial	0.8521	-0.0215	1	119	274	2008.989071
aerial photographs	-0.7171	-0.5568	3	31	62	2008.57197
aerosol	-0.6995	0.3124	2	38	76	2007.154489
age	-0.1783	-0.1663	2	79	168	2007.797965
aggression	1.3388	-0.3189	1	33	66	2004.710843
agreement	-0.1793	0.2431	5	207	526	2007.890269
air	1.0271	-0.1216	1	71	148	2008.618101
airborne	-0.33	0.0369	2	133	324	2006.453571
aircraft	0.9627	-0.1853	1	197	580	2006.227098
al	-0.9495	0.1242	2	96	208	2007.388849
alaska	0.602	0.0569	1	103	232	2008.146234
albatrosses	1.2535	-0.1273	1	50	102	2007.274436
albedo	-0.4119	0.1077	2	34	68	2009.324338
aleutian	1.1835	0.0344	1	36	72	2008.620981
algorithm	-0.5375	0.2469	2	431	2006	2010.210584
alpha	-0.316	0.5906	2	36	72	2007.515419
alteration	-0.8403	-0.3607	3	336	1992	2008.680165
alternative	1.3684	-0.1284	1	51	102	2009.029126
altitude	1.1857	0.0013	1	164	430	2007.653347
america	0.6465	0.4215	1	91	190	2008.697703
amphibole	-0.4519	0.0574	2	49	98	2006.49635
amphibolite	-0.4338	-0.2397	2	36	72	2005.896341
analyses	-0.355	0.5332	2	190	426	2009.301682
analysis	-0.1412	-0.007	2	729	4496	2009.366286
andean	-0.9942	-0.3136	3	60	120	2009.491166
angle	0.0487	-0.1323	1	222	632	2007.895326
animals	1.0009	-0.1259	1	109	262	2008.315789
anisotropy	-0.2507	-0.1968	2	30	60	2007.8981
annual temperature	0.9032	-0.5074	1	48	96	2008.690789
anomaly	-0.4736	-0.1076	2	133	360	2009.553394
antarctic	0.4734	-0.0972	1	404	1756	2007.820711
antarctic peninsula	-0.9827	-0.1838	2	126	432	2009.392737
