id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
1960s	1.2319	0.1191	2	183	576	2007.723464
1970s	0.7024	0.4916	2	139	370	2008.301205
20th century	-0.4253	0.1858	3	517	3182	2009.625488
abrupt	0.4817	0.8202	4	191	590	2008.765363
absorption	-0.8352	0.8232	3	316	1474	2007.595437
acceleration	-0.2641	0.4394	3	360	1422	2010.334658
access	-0.56	-0.5626	1	390	1940	2011.56924
accumulation	0.3123	-0.4024	3	440	2010	2008.145056
accuracy	-0.4042	-0.3998	1	553	3354	2010.08255
acidification	-0.6513	-0.2946	1	217	646	2012.615128
action	0.1644	-0.2433	1	270	928	2008.283128
activity	0.6234	-0.0752	2	852	11374	2008.699084
adaptation	-0.4002	-0.7914	1	437	2204	2009.276196
addition	0.0629	0.0528	1	834	8812	2009.285986
adjustment	-0.6562	0.3438	3	520	3234	2010.059972
administration	-0.4273	-0.2627	1	266	996	2008.585608
advance	-0.3081	0.0067	1	489	2930	2009.278139
advection	0.7606	0.6641	4	738	8864	2008.192895
aerosol	-0.9543	0.1533	3	625	5848	2007.154489
africa	0.2047	-0.9018	1	466	2864	2008.243209
agcm	0.6588	0.322	2	446	2960	2008.143646
age	-0.5524	0.6824	3	253	878	2007.797965
agency	-0.1378	-0.8888	1	188	550	2011.612195
agreement	-0.512	-0.2693	1	835	9868	2007.890269
agriculture	-0.0393	-1.0088	1	177	486	2011.68272
air	0.4282	0.2403	4	1176	38946	2008.618101
air masses	0.5074	0.004	4	367	1808	2007.547564
air temperature	0.3998	0.1705	4	678	5936	2010.069914
air-sea	0.0631	1.1355	4	268	1004	2010.25
aircraft	-0.3034	-0.0436	1	239	796	2006.227098
al	0.1658	0.1629	4	357	1298	2007.388849
alaska	0.3428	-0.4724	2	713	5882	2008.146234
alaskan	-0.0637	-0.2893	1	312	1252	2008.305085
albedo	-0.8471	0.5768	3	741	9662	2009.324338
aleutian	1.1761	-0.4113	2	332	1706	2008.620981
algorithm	0.4134	-0.3407	2	641	4854	2010.210584
alternative	-1.1188	-0.3646	1	134	374	2009.029126
altitude	0.7608	-0.2756	2	149	400	2007.653347
amazon	-0.272	-0.9895	1	210	726	2010.429268
america	0.6142	-0.4873	2	943	16584	2008.697703
american	0.7321	-0.0865	2	396	1784	2008.42539
amo	0.8656	-0.0934	2	461	2860	2014.846667
amoc	-1.038	0.6453	3	432	2838	2014.607664
amplification	0.1862	0.7681	3	911	16848	2010.670509
amplitude	0.4117	0.4496	2	681	6140	2008.158367
analog	-0.3998	-0.8311	1	231	832	2009.372134
analogue	-1.2835	0.2719	3	172	494	2009.003268
analyses	0.6038	0.1376	2	797	8696	2009.301682
analysis	0.3792	-0.1837	2	1207	40542	2009.366286
annual	0.9516	-0.4057	2	162	464	2007.172557
annual cycle	-0.1512	0.0658	4	474	2714	2007.690078
annual precipitation	0.0288	-0.3146	3	278	1080	2010.141667
annual temperature	0.2199	-0.7149	1	158	440	2008.690789
annular mode	1.2069	0	2	268	1052	2012.46283
anomaly	0.7795	0.3463	2	1126	37464	2009.553394
antarctic	-0.7583	0.0264	1	738	8256	2007.820711
antarctic circumpolar current	-0.9022	0.3047	1	198	686	2007.99332
antarctic ice sheet	-0.2455	-0.8132	1	139	362	2011.123173
antarctica	-0.1454	-0.5283	1	568	4000	2007.877974
anthropogenic	-0.6183	-0.217	1	355	1734	2009.897004
anticyclone	0.9589	0.058	2	448	2574	2009.04646
ao	1.1612	0.0704	2	590	5578	2011.268478
application	-0.4568	-0.4106	1	747	6268	2010.011511
approach	-0.2046	-0.4462	1	944	12344	2011.153242
ar	0.7405	-0.3853	2	319	1402	2008.531532
archipelago	0.2189	0.2978	4	444	2246	2008.970938
archives	-0.6629	-0.0968	1	297	1054	2012.032657
arctic	0.1906	0.2691	4	1271	99896	2009.446222
arctic archipelago	0.0615	0.2188	4	285	1052	2009.927203
arctic climate	-0.0278	0.4775	4	429	2252	2010.487654
arctic ocean	-0.2979	0.4958	4	291	1070	2011.521277
arctic oscillation	1.0749	0.0149	2	742	10046	2011.438335
arctic regions	-0.8619	-0.1609	1	134	358	2009.653333
arctic sea ice	0.3672	0.535	4	637	5648	2013.34715
area	0.0985	-0.0414	4	1154	31758	2008.578401
array	-0.6267	0.0342	1	299	1060	2008.688032
art	0.1549	-0.3659	2	198	582	2011.464115
artifacts	0.4755	-0.3264	4	145	380	2008.355556
asia	0.9863	-0.1648	2	757	9246	2010.858426
asian	1.0533	-0.053	2	339	1554	2011.471582
asian monsoon	0.4148	-0.2951	2	141	386	2010.222892
aspect	-1.1139	0.269	1	194	628	2009.986813
assessment	-0.3369	-0.5626	1	907	12116	2011.123547
assimilation	-0.6104	0.0077	1	651	6234	2009.247808
association	1.1312	-0.0427	2	567	4160	2009.179096
asymmetry	0.6749	0.6752	3	351	1568	2008.648336
atlantic	0.4524	0.4444	2	1161	44286	2008.590945
atlantic meridional overturning circulation	-1.0105	0.3753	3	357	1798	2014.527473
atlantic multidecadal oscillation	0.8625	0.0104	2	449	2822	2014.897436
atlantic oscillation	0.9913	0.2559	2	807	11356	2010.686288
atlantic water	0.1749	1.3051	4	154	562	2009.77451
atm	0.3404	0.8877	3	150	448	2011.819026
atmosphere	0.0174	0.5471	4	1193	44060	2008.501913
atmospheric carbon dioxide	-0.9459	0.7488	4	159	484	2008.128205
