id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
3d seismic	-0.8472	-0.0578	2	249	834	8	2012.041667
3d seismic data	-0.8531	0.1073	2	213	648	6	2011.666667
5 degrees	0.6552	-0.2287	3	146	384	5	2008.952381
5 degrees c	0.6559	-0.2304	3	146	384	5	2010.209302
abundance	-0.2575	0.3669	1	464	1704	16	2012.159769
accretionary prism	-1.2939	-0.3542	2	159	490	6	2008.3
accumulation	-0.5856	0.3184	1	594	3650	38	2011.1675
accuracy	-0.4311	-0.4153	2	378	1486	17	2012.031588
acids	1.4737	-0.1762	3	156	616	8	2009.964637
acquisition	-0.665	-0.2354	2	355	1330	14	2012.112069
action	1.3822	-0.5014	3	117	328	5	2009.595808
activation	0.5488	-0.951	3	146	472	5	2011.521429
activity	0.8351	-0.281	3	312	1150	14	2011.741747
addition	0.7003	-0.1787	3	621	4304	49	2012.072879
additives	1.2586	-0.251	3	230	842	11	2015.2
adsorption	1.0861	-0.4627	3	202	670	8	2009.962264
advance	0.45	-0.1808	3	228	670	9	2012.223684
advection	-0.5055	-0.1598	2	236	736	7	2010.324162
age	-0.1114	-0.2055	2	173	426	6	2010.368729
aggregation	0.7442	-0.2234	3	141	400	5	2010.006757
agreement	-0.1015	0.3842	1	372	1426	17	2010.554303
air	0.4539	-0.9015	3	402	2774	42	2011.976061
air bubbles	0.4223	-1.0259	3	214	1298	19	2003.580645
air clathrate hydrate	0.6082	-0.971	3	175	674	10	2003
air hydrate	0.4927	-0.9714	3	246	1234	18	2003.055556
air molecules	0.7206	-0.9755	3	133	452	7	2003.142857
alaska	-0.2314	0.3612	1	635	4746	47	2010.597746
alaska north slope	-0.1359	0.4639	1	478	2880	27	2011.71978
algorithm	-0.3881	-0.5476	2	320	1264	18	2011.916828
alternative	-0.0057	-0.2276	2	202	520	7	2011.356436
american	0.4632	-0.8199	3	123	350	6	2010.565574
amino acids	1.4793	-0.2036	3	178	758	10	2012.884393
amplitude	-0.9332	-0.5296	2	469	2570	29	2010.372165
analysis	-0.2231	-0.1392	2	1001	13288	146	2011.656462
analytical model	0.5423	0.7635	1	155	478	5	2006.887324
angle	-0.3774	-0.5495	2	222	632	7	2010.915493
anisotropic	-0.6449	-0.4485	2	179	470	5	2013.066667
anisotropy	-0.4243	-0.6721	2	305	994	11	2012.5
anomaly	-0.9567	-0.1774	2	556	3328	35	2010.997204
antarctic	-0.3034	-0.7286	2	457	2430	32	2010.797819
antarctic ice	0.4061	-0.8723	3	239	1086	16	2012.455772
antarctic ice sheet	0.3277	-0.6726	3	170	466	6	2012.616541
antarctic peninsula	-1.2756	-0.4616	2	214	878	9	2011.82716
antarctica	-0.2297	-0.7773	3	401	1858	25	2011.220175
antarctica ice	0.4623	-1.0066	3	112	356	5	2011.795666
antifreeze	1.5039	-0.3614	3	251	1672	22	2011.83871
antifreeze proteins	1.4803	-0.385	3	274	1920	26	2013.285714
application	0.4661	-0.339	3	757	5418	68	2012.361823
approach	-0.2507	-0.3014	2	745	4780	56	2013.011682
aquifer	-0.0401	0.5818	1	164	518	6	2013.608247
arctic	-0.3718	0.2334	1	761	6410	71	2012.189504
arctic ocean	-0.4295	0.6402	1	239	864	8	2010.893127
arctic permafrost	-0.389	0.3442	1	278	918	10	2014.890173
arctic regions	-0.0184	0.4099	1	276	978	11	2013.278834
arctic sediments	0.2708	0.4364	1	210	596	6	2009.5875
arctic shelf	-0.6981	0.5381	1	164	486	6	2011.55615
area	-0.4341	0.2725	1	956	12606	134	2011.37466
array	-0.7392	-0.58	2	199	554	7	2011.101235
assessment	-0.3651	0.2853	2	500	2514	27	2013.024899
association	0.0127	0.3861	1	196	512	5	2011.081886
atlantic	-0.8196	0.2452	1	277	930	10	2010.236737
atmosphere	-0.0812	0.4533	1	471	2596	28	2011.581199
attention	0.6071	0.3072	1	461	2022	21	2012.917808
attenuation	-0.6461	-0.5344	2	365	1666	21	2011.218605
attribution	-0.5943	-0.6258	2	214	602	7	2014.063636
avo	-1.1376	-0.5232	2	287	1176	13	2005.733333
avo analysis	-1.1899	-0.4997	2	158	514	6	2004.142857
balance	0.5017	0.4234	1	267	988	10	2011.539286
barents	-0.7845	-0.2669	2	387	1864	24	2010.39816
barents sea	-0.7829	-0.2687	2	387	1864	24	2010.27735
barrier	0.4012	-0.675	3	154	378	5	2010.248366
basin	-0.501	0.2737	1	558	3082	34	2010.09645
bay	-0.1728	0.5871	1	387	1792	20	2010.11814
bayesian	-0.8552	-0.7151	2	123	428	5	2013.796296
beaufort	-0.9385	0.3408	1	218	854	9	2010.621769
beaufort sea	-0.9338	0.3894	1	246	956	10	2010.009921
behavior	0.7169	0.1206	3	611	3930	46	2011.103784
behaviour	0.1906	-0.3263	2	366	1234	15	2010.943662
benefits	0.7379	-0.4095	3	144	356	5	2014.038732
biodegradability	1.4207	-0.2105	3	115	344	5	2014.970588
blake	-0.7556	0.3595	1	262	740	6	2006.933333
body	-0.0197	-0.4653	2	277	868	11	2011.227462
borehole	-0.5163	0.259	1	421	1686	17	2012.604563
bottom simulating reflector	-1.0893	-0.2246	2	314	1140	9	2005.818182
bottom water	-0.8335	0.4231	1	290	1206	11	2008.220624
boundary	-0.3368	0.1821	1	551	2584	26	2008.420868
boundary conditions	-0.4038	0.228	1	206	556	5	2010.430736
brine	0.4563	-0.0501	3	238	722	10	2008.817204
bsr	-1.128	-0.2147	2	490	3318	32	2009.764706
bubbles	0.1968	-0.7372	3	418	2156	26	2010.153846
bulk density	-0.8357	-0.4655	2	155	444	5	2012.173913
c-13	-0.0282	0.3398	1	151	424	5	2013.180371
cage occupancy	0.7128	-0.4742	3	242	1032	12	2011.083333
cages	0.8472	-0.2914	3	401	1982	24	2011.964286
calibration	-0.5995	-0.173	2	221	546	6	2011.99511
calorimeter	1.6085	-0.4345	3	119	386	5	2015.333333
calorimetry	1.5426	-0.4133	3	157	612	7	2010.888889
canada	-0.4694	0.3721	1	544	2968	29	2011.058788
canadian	-0.8039	0.3613	1	252	778	7	2010.480463
canyon	-0.458	-0.0851	2	209	566	5	2010.723005
capacity	0.3295	0.2987	1	256	768	9	2013.094099
capture	0.6623	-0.0556	3	266	914	11	2012.315068
carbon	0.2323	0.4591	1	780	7298	76	2013.107259
carbon cycle	-0.213	0.6635	1	323	1228	11	2014.082353
carbon dioxide	0.7563	0.2341	3	551	3574	40	2013.148903
carbon dioxide hydrate	1.0072	0.2352	3	204	788	8	2014.25
carbon dioxide sequestration	1.039	0.4971	3	137	396	5	2012.571429
carbon isotopes	-0.6655	0.6535	1	145	452	5	2012.083744
cascadia	-0.7965	0.2087	2	240	648	6	2003.5
case	-8e-04	-0.1704	2	789	5544	67	2010.847835
case study	-0.333	-0.1757	2	334	1126	13	2012.678179
cause	-0.3357	0.0042	1	386	1324	13	2011.675244
cell	1.0787	-0.2486	3	395	1870	23	2011.359784
cementation	-0.5723	-0.5813	2	293	1004	12	2007.608696
century	-0.0523	0.572	1	310	1078	11	2012.205869
ch4	0.5869	0.2485	3	673	5530	59	2014.017857
ch4 production	0.443	0.5931	1	227	768	7	2014.79661
chain	0.7068	-0.3656	3	261	732	9	2011.096866
challenges	0.3479	0.2564	1	495	2536	30	2014.48237
changes	-0.0496	-0.0498	1	965	11988	134	2012.206219
channel	-0.5365	0.5513	1	255	746	7	2009.903036
characteristics	0.0608	0.0378	1	760	6506	72	2010.936545
characterization	-0.6022	-0.3983	2	565	2984	33	2012.72969
chemical	1.1422	-0.023	3	522	3278	38	2011.607029
chemistry	0.8762	-0.2364	3	198	570	7	2012.465976
china	-0.1314	0.5627	1	640	5332	58	2013.948798
china sea	0.1558	0.4515	1	296	1124	10	2013.311594
chloride	0.8791	0.2169	3	177	484	5	2012.071429
chromatography	0.8361	0.3414	3	196	614	6	2010.861702
circulation	-0.5882	0.0635	1	247	736	8	2010.44219
citation	-0.3116	0.5314	1	144	376	5	2010.689507
class	0.2806	0.0635	1	333	1438	16	2011.519757
clathrate	0.74	-0.3853	3	703	6368	81	2008.282609
clathrate hydrates	0.8309	-0.6045	3	569	4414	58	2009.017241
clay	-0.1868	-0.3882	2	449	2084	23	2009.622093
clay content	-0.6272	-0.7083	2	198	632	8	2008.736842
climate	-0.2111	0.5653	1	604	4454	47	2012.847305
climate change	-0.1827	0.4521	1	564	3740	42	2013.106897
climate model	-0.2233	0.5726	1	206	720	7	2013.16224
climate warming	-0.3502	0.6098	1	183	526	5	2013.628339
co2	0.6567	0.1134	3	756	6642	73	2013.165022
co2 exchange	0.5527	0.6921	1	264	834	7	2013.621951
co2 hydrate	0.7838	0.0748	3	489	2476	26	2012
co2 injection	0.8746	0.3075	3	259	950	9	2016
co2 replacement	1.1052	0.2624	3	225	972	11	2017.090909
co2 sequestration	0.95	0.2173	3	304	1294	13	2013.645161
co2 storage	0.5411	-0.1652	3	270	918	9	2014.136364
co2/n-2	1.0078	0.3702	3	167	536	5	2017.2
coal	-0.4166	0.5798	1	333	1210	12	2011.962963
coefficients	-0.1654	-0.8266	2	349	1278	17	2010.617647
collapse	0.3186	0.2512	1	234	648	6	2012.51938
column	-0.8299	0.2259	1	409	1738	18	2010.224159
community	-0.2225	0.0751	1	199	492	6	2013.620087
compaction	-0.5029	-0.1294	2	265	932	10	2013.106796
comparison	0.1763	-0.3537	3	638	3536	43	2010.70057
complex	0.6937	-0.0738	3	233	652	8	2011.908387
composition	0.0989	0.0394	3	670	4206	45	2012.45256
compounds	0.6105	0.2923	3	458	2304	27	2012.161238
compression	0.4945	-0.6246	3	264	944	12	2010.681818
compression tests	0.2684	-0.6763	3	117	370	5	2015.8
compressional	-1.0593	-0.3615	2	228	664	6	2005.5
computer	0.2258	-0.5172	3	199	516	6	2010.773109
concentrations	-0.0063	-0.3384	3	843	7802	91	2011.643222
concept	0.1749	0.56	1	153	406	5	2011.306773
concerns	0.7482	0.3676	1	240	776	9	2012.89313
condition	0.1241	-0.3299	3	410	1872	22	2010.79798
conduction	0.7447	0.2978	1	195	552	6	2010.1
conductivity	-0.1804	-0.0045	2	379	1490	16	2011.544304
consequences	0.4002	0.2949	1	210	658	7	2012.275862
constituents	0.2942	-0.7611	3	175	480	5	2010.319372
constraints	-0.7754	-0.351	2	264	722	8	2011.060453
consumption	0.4491	0.6143	1	331	1096	10	2011.012232
contact	-0.0641	-0.5595	2	268	858	11	2011.307692
content	-0.3231	-0.4678	2	694	4338	50	2011.761593
continental	-0.677	0.4857	1	412	1960	21	2010.243993
continental margins	-0.4178	0.3715	1	620	3874	39	2010.39759
continental shelf	-0.9128	0.2473	1	223	726	8	2010.424501
continental shelves	-0.1202	0.9472	1	177	574	6	2010.369565
continental slope	-0.7144	0.2777	1	481	2510	24	2008.694097
continuous permafrost	-0.9335	0.4471	1	172	486	5	2013.076923
contrast	0.4014	-0.334	3	427	1546	18	2011.509677
control	0.0293	-0.3031	2	521	2448	26	2012.474255
controlled-source electromagnetic	-0.6639	-0.2044	2	156	442	6	2016.571429
conversion	0.413	-0.4316	3	482	2316	23	2010.995798
cooling	0.6202	0.1817	3	276	864	10	2010.829787
core	-0.027	-0.3974	3	799	7238	91	2010.446523
coring	0.093	0.2755	1	211	660	7	2011.869565
correlation	-0.1243	-0.3747	2	577	2742	33	2011.333794
costs	0.1005	0.0239	2	291	954	11	2013.503597
coupling	0.2097	-0.5537	3	166	444	6	2011.935532
cracks	-0.6367	-0.4717	2	200	588	6	2011
cross-section	-0.5905	-0.5591	2	134	380	6	2010.444444
crown	-0.383	0.056	2	218	600	6	2011.075472
crystal growth	1.0544	-0.6753	3	324	1390	17	2009.947368
crystal structure	0.7596	0.0504	3	200	604	7	2009.809524
crystalline	0.5311	-0.0069	3	408	1820	20	2009.85
crystallization	1.5275	-0.5095	3	156	630	8	2010
crystals	0.8284	-0.6667	3	547	3828	49	2009.139752
csem	-0.7793	-0.16	2	236	854	11	2015.307692
current	0.2701	0.3798	1	302	988	11	2008.757215
cycle	-0.2251	0.2628	1	556	2786	26	2011.47296
damage	0.3364	0.4241	1	138	354	5	2013.018116
data	-0.4679	-0.2011	2	1051	19686	229	2011.015066
data acquisition	-0.6104	0.2061	2	167	476	5	2011.212766
data analysis	-0.8003	-0.1293	2	255	782	9	2011.003436
data inversion	-0.9173	-0.397	2	129	344	5	2012.76
data set	-0.6848	-0.6145	2	300	1000	11	2010.433246
data sets	-0.61	-0.2246	2	186	522	6	2011.63144
data/model	-0.7072	-0.0873	2	203	582	7	2011.4
dataset	-0.9471	-0.2592	2	187	514	6	2012.68054
date	0.9701	0.0453	3	191	574	6	2012.087051
decay	0.2157	0.232	1	216	578	5	2010.074434
decomposition	0.8191	-0.1449	3	627	4362	52	2012.585736
deep	-0.4276	-0.4345	2	145	390	6	2008.172697
deep ice core	0.3526	-1.0796	3	99	424	8	2006.645161
deep ocean	0.5558	0.5361	1	319	1348	15	2011.244019
deep sea	0.544	0.1261	3	377	1436	15	2010.4
deep water	-0.4944	0.5653	1	346	1154	10	2008.094223
deep-sea sediments	0.6428	0.4037	1	167	464	5	2011.413043
deepwater	0.0854	0.1599	1	300	870	8	2009.210526
deformation	-0.195	-0.4805	2	293	924	10	2010.55336
degradation	-0.1421	0.3264	1	202	558	6	2013.464824
delta	-0.7317	0.3545	1	435	1968	20	2010.255844
demand	0.5297	0.4843	1	227	678	7	2013.574627
density	-0.2104	-0.6148	2	605	3596	45	2009.879211
dependence	0.2875	-0.6244	3	377	1284	17	2010.591411
deposition	0.6934	0.0933	3	206	574	7	2012.094256
deposits	0.0479	0.6269	1	805	8186	84	2011.200561
depressurization	0.5301	0.7552	1	630	6400	65	2014.411765
depth	-0.4674	-0.2351	2	849	8044	91	2010.672402
depth range	0.1481	-0.7429	3	169	480	6	2008.915888
description	0.2049	-0.4902	3	331	1124	13	2009.996622
design	0.5495	0.2958	1	473	2384	27	2013.015625
detail	0.1578	-0.2372	2	184	508	6	2011.078886
detection	-0.4098	-0.435	2	224	636	9	2012.417625
determination	-0.1807	-0.4915	2	331	1112	16	2010.57381
development	0.4929	0.2559	1	715	4880	55	2011.773084
diameter	0.1494	-0.2455	2	277	854	10	2010.091346
difference	0.175	-0.1332	3	603	3344	38	2011.163032
diffraction	0.7295	-0.5152	3	404	1920	23	2010.941176
diffusion	0.4902	-0.698	3	425	2204	28	2008.759067
direct measurements	-0.7114	0.1788	2	211	532	5	2010.136752
discharge	-0.6287	0.4529	1	213	616	6	2012.354474
discovery	-0.4192	0.4531	1	272	992	13	2012.116822
dispersal	0.1619	-0.4062	2	291	950	13	2011.394973
displacement	-0.1809	-0.5825	2	227	642	7	2010.607877
dissociation	0.4127	0.4114	1	909	12074	128	2012.69186
dissociation front	0.5809	0.8753	1	215	800	8	2011.25
dissolution	0.37	-0.1958	3	231	636	7	2010.989744
distance	-0.0468	-0.1966	2	244	702	10	2011.010448
distribution	-0.3183	-0.2218	2	975	11410	123	2010.907306
dome	0.4422	-1.0687	3	117	412	6	2009.974138
dome fuji	0.4433	-1.0683	3	117	412	6	2010.714286
drilling	-0.0983	0.3645	1	730	5524	58	2011.883459
drilling fluid	0.8522	-0.0897	3	230	902	12	2013.058824
drilling results	-0.6533	0.4624	1	162	436	5	2015.571429
driving force	1.2497	0.0475	3	195	610	7	2011.848485
dynamics	0.5023	-0.4242	3	490	2198	27	2012.382241
earth	-0.0664	0.1568	1	535	2810	33	2012.416212
east	-0.0352	-0.2479	3	196	520	7	2011.088561
economics	0.8097	0.7058	1	166	462	5	2013.74
effective medium	-1.03	-0.399	2	306	1250	13	2014.428571
effective medium theory	-1.132	-0.3833	2	215	696	7	2012.428571
effects	0.475	-0.0472	3	1024	15502	179	2011.624055
efficiency	0.6944	0.6821	1	478	3000	32	2012.80663
elastic	-0.6184	-0.6231	2	166	466	7	2010.333333
elastic moduli	-0.8786	-0.6091	2	168	456	7	2010.3
elastic properties	-0.8292	-0.6389	2	291	1132	13	2011.764706
electrical properties	0.0385	-0.3797	2	207	660	8	2011.117647
electrical resistivity	-0.7083	0.1576	2	269	920	10	2013.704918
electromagnetic	-0.8435	-0.1083	2	148	366	5	2009.9375
electron	0.2938	-0.48	3	270	970	11	2011.572917
electron microscopy	0.3665	-0.4881	3	251	818	9	2011.367742
elements	-0.0131	0.1771	1	253	882	10	2011.89258
emissions	-0.1457	0.6422	1	283	1062	11	2013.550741
energy	0.4935	0.281	1	949	13924	149	2011.753532
energy efficiency	0.7205	0.8477	1	207	810	9	2013.5
energy production	0.5247	0.5854	1	211	618	6	2013.652174
energy resource	0.3517	0.6472	1	646	5010	49	2010.982143
energy source	0.479	0.4184	1	491	2614	27	2012.242718
engineering	0.7759	0.1819	3	375	1472	16	2012.982353
environment	-0.0125	0.0402	1	796	6166	70	2012.515563
environmental conditions	0.8448	0.3161	1	203	576	6	2013.912338
equilibrium	0.6201	0.0275	3	605	3976	46	2010.171186
equipment	0.247	-0.1549	2	249	738	9	2011.708333
erosion	-0.9344	-7e-04	2	215	616	7	2011.871716
error	-0.7968	-0.512	2	310	1076	10	2011.486384
estimate	-0.514	-0.1299	1	346	1190	16	2010.903093
estimation	-0.6561	-0.4302	2	537	2688	31	2012.012407
ethane	0.207	0.5428	1	397	1758	19	2011.514286
evaluation	0.3859	0.1664	3	628	4004	42	2013.100503
events	-0.2765	-0.1841	2	480	1830	18	2012.030986
evolution	-0.2791	0.1456	1	415	1646	17	2012.05694
exchange	0.7256	0.3142	3	405	1772	16	2010.706601
expansion	0.5294	-0.5702	3	238	884	12	2012.969492
expedition	-0.4394	0.0837	2	292	1016	9	2010.922432
experimental	1.0237	0.1104	3	415	2356	30	2013.019481
experimental study	0.9976	0.0679	3	316	1348	16	2013.155556
experiments	0.5894	-0.2137	3	811	7490	93	2011.075205
exploitation	0.746	0.4564	3	530	3392	37	2013.328358
exploration	-0.3176	0.3072	1	778	6580	70	2011.678466
expression	-0.5304	-0.3289	2	196	490	6	2012.171315
extension	0.4984	0.1662	1	160	442	5	2010.251641
extent	-0.6458	0.1423	1	521	2460	26	2011.835219
extraction	0.6304	0.4769	1	358	1418	15	2013.323651
failure	-0.0663	0.15	1	425	2132	25	2011.859477
failure strength	0.6102	-0.1302	3	131	506	7	2016.571429
fault	-0.9461	0.1484	2	507	2826	31	2011.869565
feasibility	0.268	0.3869	1	321	1144	12	2012.440559
features	-0.533	-0.2624	2	480	2180	28	2010.384646
feedback	-0.0312	0.6944	1	205	680	7	2013.003957
field	-0.1567	0.0326	2	940	10704	118	2010.533445
field data	-0.4011	-0.1964	2	356	1302	13	2011.688136
field experiment	0.6436	0.5488	1	162	476	5	2011.558824
field observations	-0.6288	0.0125	1	151	390	5	2011.242424
field test	0.6913	0.7104	1	250	958	10	2014.833333
filtration	0.8645	0.0658	3	136	404	5	2010.576271
finite element	-0.0596	0.1286	1	181	558	7	2011.713675
finite-difference	0.3816	0.1554	3	212	736	8	2009.020408
flow	-0.035	0.3233	1	792	6820	72	2010.017411
flow assurance	1.4116	-0.2114	3	246	1148	14	2015.733333
flow rate	0.3057	0.6897	1	198	632	8	2011.462366
fluid	-0.2274	-0.1045	2	860	7652	85	2009.934901
fluid flow	-0.7563	0	2	414	1912	20	2011.944444
fluid migration	-1.0396	-0.2796	2	213	688	7	2013.214286
flux	-0.4047	0.1957	1	355	1248	14	2010.974387
focus	0.2906	-0.2316	3	402	1336	15	2012.93921
fold	-1.113	-0.0854	2	150	414	6	2012.660714
force	0.9935	0.0024	3	371	1792	21	2011.140909
formation	0.4622	-0.0027	3	1047	19590	223	2010.511811
formation conditions	-0.2274	0.8583	1	163	496	7	2010.3125
formation mechanism	-0.0146	-0.0379	1	201	534	6	2009.95122
formation process	0.5603	-0.4828	3	233	682	8	2011.104651
formation rate	1.1656	-0.1088	3	242	816	9	2008.476636
formation temperature	0.2928	0.372	1	178	538	6	2011
fossil	0.115	0.6975	1	286	1028	10	2010.893617
fossil fuel	0.1726	0.747	1	402	1876	17	2011.401575
foundation	0.2884	0.2948	1	198	492	5	2011.355072
fraction	0.1409	0.3249	1	391	1560	17	2011.553026
fractionation	0.4235	-0.849	3	201	730	8	2011.073171
fracture	-0.7476	0.0777	2	523	2828	29	2011.127273
fracture zones	-1.0888	-0.1681	2	146	432	5	2007.271028
frame	-0.1892	-0.7915	2	109	256	5	2010.64
framework	-0.4217	-0.2724	2	382	1442	15	2013.208431
free gas	-0.9275	-0.1501	2	691	5272	54	2010.125
free water	0.2005	0.4326	1	214	608	5	2010.433333
freeze-thaw	0.0176	0.14	1	142	338	5	2012.06015
freezing	0.246	-0.1731	2	259	862	12	2009.881557
frequency	-0.4155	-0.5813	2	501	2354	29	2011.174374
frequency shift	-0.1161	-0.8466	3	154	466	6	2005.75
front	0.3778	0.7101	1	251	954	10	2009.508357
frozen	0.3227	-0.2615	3	237	732	10	2012.65625
frozen sediments	0.1267	-0.4657	3	145	360	5	2011.481481
frozen soil	-0.0997	-0.3389	2	210	638	8	2013.244318
fuel	0.3505	0.6976	1	520	3336	34	2012.496479
function	0.3813	-0.05	3	466	1954	22	2010.972155
future	0.1099	0.7602	1	565	3372	32	2013.712684
future climate	-0.6214	0.75	1	138	470	5	2013.848387
gap	-0.4828	0.1007	1	185	446	5	2012.915572
gas	0.1431	0.0728	1	1111	41576	478	2012.319686
gas bubbles	-0.6602	0.082	2	255	708	6	2012.117647
gas chromatography	0.8355	0.344	3	196	614	6	2010.857143
gas composition	-0.0038	0.2811	1	372	1642	17	2011.033333
gas extraction	0.5281	0.3319	1	180	514	6	2014.875
gas generation	-0.2906	0.8748	1	214	738	7	2012.8
gas hydrate accumulation	-0.6517	0.6112	1	329	1402	15	2010.0625
gas hydrate bearing sediments	-0.3083	-0.1114	2	319	1160	13	2011.875
gas hydrate decomposition	1.0285	0.3601	3	141	442	5	2011.8
gas hydrate dissociation	-0.1477	0.7133	1	417	1994	19	2014.242424
gas hydrate production	0.0802	0.7086	1	365	1458	14	2013.571429
gas hydrate stability	-0.802	0.3904	1	697	5702	53	2012.153846
gas hydrate stability zone	-0.8492	0.3971	1	647	4898	45	2012.540541
gas hydrate system	-0.5863	-0.1167	2	261	836	8	2014.764706
gas hydrates	0.1029	0.1607	1	1097	36864	415	2011.738267
gas pipelines	1.2814	-0.2214	3	233	958	13	2015
gas pore	-1.0199	-0.3208	2	214	646	7	2008.111111
gas production	0.5486	0.6487	1	696	7760	82	2014.116667
gas recovery	0.6535	0.5188	1	433	2172	22	2013.863636
gas replacement	1.0766	0.4508	3	144	466	5	2017.8
gas saturation	-0.9635	-0.346	2	243	768	9	2010.666667
gas source	-0.4618	0.6761	1	321	1474	15	2014.571429
gas storage	0.7781	-0.0162	3	240	906	11	2011.923077
gases	0.1516	0.1706	1	704	5356	61	2012.066763
generation	-0.1666	0.297	1	445	2058	22	2012.050847
geochemical	-0.6622	0.6025	1	178	492	5	2011.369231
geochemistry	-0.0807	0.5812	1	295	1178	13	2011.778947
geohazard	-0.3956	0.4243	1	235	720	7	2014.407407
geologic	-0.0372	0.7749	1	216	586	6	2011.851852
geological conditions	-0.6745	0.4148	1	145	394	5	2014
geological data	0.0214	0.9359	1	213	726	8	2013.35
geometry	-0.6632	-0.6441	2	185	478	6	2011.419355
geophysical	-0.9658	-0.0699	2	241	682	8	2010.732794
geophysical data	-0.9225	-0.0415	2	179	486	5	2013.1875
geothermal	-0.2966	0.7884	1	158	442	5	2011.396552
geothermal gradient	-0.8487	0.3857	1	382	1784	20	2011.314286
ghsz	-0.9228	0.3334	1	485	2580	23	2011.939394
glacial	-0.6963	0.3473	1	196	648	6	2011.612378
glacial cycle	-0.5748	0.558	1	183	608	6	2010.016949
glacial maximum	-0.7246	0.2887	1	159	508	5	2011.882521
glaciation	-0.5107	0.3764	1	242	716	7	2009.656667
glacier	-0.3336	-0.4885	2	148	358	5	2012.551157
glass	0.2957	-0.0254	3	166	406	5	2011.53125
global	-0.164	0.7632	1	271	904	8	2012.401509
global carbon cycle	-0.2475	0.7177	1	240	686	5	2014.357616
global climate	-0.3418	0.7314	1	311	1302	13	2012.960148
glycol	1.4243	-0.1551	3	134	458	6	2013.909091
gradient	-0.6726	0.3577	1	554	3286	36	2011.354256
grain	-0.3237	-0.4175	2	530	2706	28	2011.304833
grain size	-0.1963	-0.403	2	336	1278	13	2011.854054
gravity	-0.704	-0.3317	2	225	682	8	2010.857664
greenhouse	-0.1716	0.6811	1	423	1928	18	2012.619866
greenhouse effect	-0.3073	0.6136	1	247	686	6	2008.830769
greenhouse gas	-0.2062	0.7527	1	310	1260	12	2013.545016
greenland	0.3868	-0.9295	3	235	1058	15	2011.434214
greenland ice	0.49	-1.0025	3	133	436	6	2013.011636
grid	-0.4823	-0.1604	2	267	778	8	2011.079167
grip	0.4471	-1.0455	3	122	468	6	2005.95
grip ice core	0.4214	-1.041	3	94	352	5	2001.333333
groundwater	-0.5387	0.517	1	173	502	5	2013.564784
group	0.6071	-0.0523	3	276	784	8	2011.722362
growth	1.017	-0.4047	3	619	5264	65	2011.406319
growth inhibition	1.6915	-0.455	3	125	414	5	2012.727273
growth rate	1.3296	-0.397	3	283	1390	18	2010.818356
h2o	0.7428	-0.6024	3	172	462	6	2009.851852
hand	0.5669	-0.1521	3	350	1180	14	2010.96875
hazard	-0.0546	0.3477	1	394	1546	16	2012.855072
heat	0.3467	0.5985	1	709	6034	63	2011.129975
heat conduction	0.716	0.4596	1	175	520	6	2009.75
heat flow	-0.5394	0.593	1	312	1082	11	2010.268293
heat transfer	0.5613	0.4767	1	379	1792	20	2009.898058
heating	0.7703	0.5993	1	288	1104	12	2011.378428
helium	0.3422	-0.5681	3	99	232	5	2007.26087
heterogeneity	0.4991	0.3669	1	315	1152	12	2014.002481
heterogeneous nucleation	1.0902	-0.7821	3	123	352	5	2009.7
high latitudes	0.01	0.3937	1	310	1010	9	2011.932029
high-frequency	-0.833	-0.2275	2	197	574	9	2011.689759
high-pressure	0.9143	-0.0034	3	647	4660	53	2012.414729
high-resolution	-0.7946	-0.5067	2	447	1922	21	2012.264879
high-resolution seismic	-1.0846	-0.3103	2	191	602	6	2011.176471
history	-0.4881	0.3827	1	424	1682	16	2011.001969
hole	-0.0962	0.2187	1	281	940	12	2010.693467
holocene	-0.3985	-0.1838	1	155	418	5	2010.62959
horizontal well	0.279	1.1109	1	200	1052	12	2014.75
host	-0.0748	-0.5008	2	394	1464	16	2013.124
hydrate	0.2198	0.0309	3	1109	44120	518	2011.620235
hydrate concentration	-0.8749	-0.6788	2	308	1244	16	2007.529412
hydrate decomposition	1.0601	0.2233	3	377	1932	23	2011.103448
hydrate deposits	-0.0485	0.6812	1	716	6036	60	2010.985714
hydrate development	0.1592	0.9229	1	247	914	8	2014
hydrate dissociation	0.3314	0.545	1	790	8072	85	2013.018349
hydrate distribution	-0.6937	0.2582	1	412	1592	16	2013.529412
hydrate exploitation	0.7819	0.5129	3	350	1534	17	2014.941176
hydrate formation	0.6841	-0.0322	3	913	11620	134	2012.591837
hydrate growth	1.0942	-0.4048	3	489	3056	36	2013.27027
hydrate inhibitors	1.4626	-0.3312	3	371	3260	44	2015.931818
hydrate morphology	0.1941	0.2615	1	186	542	6	2016.5
hydrate nucleation	1.2804	-0.5457	3	327	1776	21	2013.285714
