id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.1556	0.5512	3	842	7166	72	2011.125
500-hpa geopotential height	-0.3073	-0.6144	1	492	2684	24	2010.190476
acc	0.486	-0.3542	4	539	3252	31	2008.705882
acceleration	0.7671	-0.2188	2	338	1224	12	2012.217042
accumulation	-0.0769	0.9611	3	693	5066	50	2011.1675
accumulation rates	-0.0986	1.0219	3	306	1114	12	2010.201613
accuracy	0.0555	-0.1106	3	354	1254	14	2012.031588
activity	-0.3472	-0.4521	1	1106	16388	160	2011.741747
acw	-0.0545	-0.1757	4	494	3254	33	2006.901961
addition	-0.1432	-0.1184	1	1079	13158	129	2012.072879
adjustment	0.2266	-0.3106	4	419	1460	13	2011.543956
advance	0.2182	0.2038	4	753	4830	48	2012.223684
advection	0.3602	0.1908	4	928	10684	100	2010.324162
aerosol	0.8121	-0.0087	2	550	3424	34	2011.217627
africa	-0.7277	-0.1744	5	794	7320	63	2009.943515
agcm	0.1588	-1.0091	2	464	2292	23	2011.12381
age	-0.2952	0.9249	3	456	2088	19	2010.368729
agreement	0.6456	-0.1132	2	842	7168	69	2010.554303
agriculture	-0.876	0.2256	5	333	1218	12	2013.323232
air	-0.053	0.4939	3	1184	23910	218	2011.976061
air masses	-0.1481	0.9088	3	525	2558	22	2011.64881
air temperature	0.1079	0.5767	3	1064	15148	135	2012.218924
air-sea	0.1976	-0.7131	4	562	3168	29	2011.236364
air-sea interaction	-0.2116	-0.9058	1	577	3744	35	2011.566667
algorithm	-0.1776	0.5982	3	419	1758	17	2011.916828
america	-0.7718	2e-04	1	1005	13760	124	2011.440252
american	-0.7626	0.1277	3	595	3712	31	2010.565574
amplification	-0.2421	-0.4061	1	438	1816	15	2013.330357
amplitude	0.3163	-0.5201	2	861	7556	76	2010.372165
amundsen	0.4818	0.9468	4	872	10902	97	2012.553846
amundsen sea	0.3967	0.9729	3	785	8284	73	2013.842105
amundsen sea low	0.5058	1.0937	3	537	3862	35	2015.255814
analysis	-0.2282	0.0287	3	1273	56272	556	2011.656462
andes	-0.835	0.6515	5	551	3642	36	2012.5
annual	-0.1893	0.7321	3	533	2440	22	2010.264808
