id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
aabw	-0.2634	0.6624	3	462	2104	18	2008.764045
aaiw	0.5997	0.8	2	434	1944	14	2008.433333
abundance	-0.6334	-0.1216	1	502	1846	17	2012.159769
abyssal	0.3646	0.3321	2	329	1082	9	2008.271255
abyssal depths	1.4839	-0.2127	2	134	374	3	2011.9
abyssal plain	-0.0943	0.2788	3	176	474	4	2007.926829
acc	-0.0139	0.9192	3	259	798	5	2008.705882
access	-0.6851	-0.0465	1	203	528	4	2013.769679
accessory minerals	-0.4397	-0.7638	1	123	288	3	2016.5
accretion	-0.5474	-0.4354	1	214	588	6	2009.336634
accumulation	-0.5245	0.3202	1	253	694	6	2011.1675
accuracy	-0.923	0.0981	1	74	208	3	2012.031588
acid waters	-1.2088	0.2673	1	82	234	3	2004.4
acquisition	0.5248	0.2384	2	141	360	3	2012.112069
activation	-0.5832	-0.1349	1	111	230	3	2011.521429
activity	-0.2612	0.0031	1	615	2466	19	2011.741747
addition	-0.4236	-0.0074	1	755	3916	31	2012.072879
admixture	0.0235	-0.0173	3	449	1882	13	2010.882353
adsorption	-1.0206	0.0805	1	134	332	4	2009.962264
advection	0.4722	0.2922	2	672	3792	25	2010.324162
africa	0.0493	0.3212	3	423	1716	12	2009.943515
age	-0.1744	-0.2041	1	672	3308	28	2010.368729
age model	0.2425	-0.2611	1	151	342	3	2013
agreement	0.5833	-0.2106	2	495	2224	16	2010.554303
agulhas	-0.0348	1.0892	3	260	910	6	2007.994565
agulhas current	-0.0749	1.1976	3	152	452	3	2007.780822
al	-0.9511	0.0083	1	217	596	6	2010.555118
alaska	-0.6727	-0.3736	1	270	724	6	2010.597746
aleutian	-0.2646	-0.2577	1	194	548	5	2009.607143
aleutian arc	-0.2447	-0.6664	1	170	422	3	2012.888889
alteration	-0.7566	-0.0512	1	228	608	6	2012.662651
aluminosilicate	-0.8708	-0.3881	1	140	320	3	2006.5
america	0.2347	-0.0586	2	464	1810	13	2011.440252
amoc	1.3451	0.1736	2	331	1304	9	2015.163347
amplitude	0.5262	-0.2867	2	262	730	5	2010.372165
amundsen	-0.7152	-0.559	1	232	776	6	2012.553846
amundsen sea	-0.5755	0.7893	3	131	360	3	2013.842105
analysis	-0.3618	0.0236	1	798	4902	43	2011.656462
ancient seawater	-0.6798	0.1039	1	154	370	3	2002.666667
andes	-0.3185	0.6093	1	132	310	3	2012.5
anomaly	-0.7035	0.313	1	778	4478	40	2010.997204
anoxic	-0.713	0.1852	1	219	580	5	2011.109091
antarctic	0.1453	0.5642	3	942	9618	78	2010.797819
antarctic bottom water	-0.1511	0.5394	3	615	3462	30	2008.305764
