id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
1960s	-0.2437	0.8065	5	271	964	2007.723464
1970s	-0.3301	1.0754	3	154	430	2008.301205
20th century	0.0351	0.7641	5	474	2692	2009.625488
ablation	0.0948	0.2177	4	1141	23468	2009.488128
ablation zone	0.1679	-0.3967	4	713	6732	2011.603659
absorption	0.0549	-0.1315	3	224	680	2007.595437
abundance	0.3999	0.2018	1	291	890	2008.576098
acceleration	0.5532	0.3648	4	967	14828	2010.334658
access	-0.2161	-0.3901	1	547	2810	2011.56924
accumulation	-0.4375	0.3728	3	1133	22854	2008.145056
accumulation rates	-0.346	0.4324	3	447	2546	2006.241987
accuracy	-0.7597	-0.3991	1	973	12584	2010.08255
acquisition	-0.7465	-0.5	1	428	2026	2009.628664
activity	0.5325	-0.0512	2	827	5954	2008.610119
adaptation	-0.445	-0.0628	1	183	522	2009.276196
addition	0.1018	0.0739	1	954	9098	2009.285986
adjustment	-0.2058	-0.4131	4	543	3402	2010.059972
administration	-0.897	-0.3081	1	285	1142	2008.585608
advance	0.5338	0.096	5	811	8780	2009.278139
advection	0.2388	0.6746	3	521	2900	2008.192895
aerial	-0.6421	-0.3276	1	163	514	2008.989071
aerial photographs	-0.3422	0.2128	5	374	1878	2008.57197
aerosol	-0.4332	-0.3113	1	102	268	2007.154489
age	0.3112	0.5674	5	673	5736	2007.797965
agency	-0.8875	-0.174	1	325	1318	2011.612195
aggregates	-0.4247	-0.1972	1	199	580	2008.541433
agreement	-0.3641	0.0087	1	991	11418	2007.890269
air	-0.2987	0.6778	3	1077	17740	2008.618101
air temperature	-0.4083	0.6148	3	742	6626	2010.069914
airborne	-0.7275	-0.7864	1	482	2898	2006.453571
aircraft	-0.4894	-0.6955	1	377	1604	2006.227098
al	-0.0697	-0.4806	4	426	1730	2007.388849
alaska	0.1981	0.022	5	960	12200	2008.146234
alaskan	-0.053	0.4071	5	425	1760	2008.305085
albedo	-0.423	0.801	3	711	7162	2009.324338
algorithm	-0.7028	-0.4364	1	878	8728	2010.210584
alpine	-0.2087	-0.2866	1	542	2764	2009.603145
alps	-0.7424	-0.3397	1	483	2602	2009.971568
alternative	-0.2472	-0.5557	1	334	1144	2009.029126
altimeter	-0.7973	-0.5847	1	669	6508	2007.65536
altimetry	-0.9393	-0.2784	1	873	12038	2010.533333
altitude	-0.4627	0.5461	3	687	5780	2007.653347
america	-0.282	0.4159	5	459	2198	2008.697703
amo	0.1286	1.1402	3	177	552	2014.846667
amoc	0.6459	0.7668	2	157	564	2014.607664
amplification	0.4749	1.0807	3	184	518	2010.670509
amplitude	-0.2412	-0.4849	1	592	3934	2008.158367
amsr-e	-1.2025	-0.1334	1	154	490	2012.196262
analog	-0.2388	0.7269	3	119	312	2008.432668
analyses	-0.1792	0.0958	1	750	5352	2009.301682
analysis	-0.2335	-0.0907	1	1348	29868	2009.366286
andes	-0.7731	0.5319	5	206	652	2009.818937
angle	-0.0776	-0.2581	1	367	1356	2007.895326
anisotropy	-0.1153	-1.0051	4	186	456	2007.8981
annual	-0.5931	0.6225	3	432	2050	2007.172557
annual cycle	0.8249	-0.3127	4	192	588	2007.690078
annual precipitation	-0.2608	1.0144	3	191	600	2010.141667
anomalies	-0.0242	0.7796	3	827	7984	2009.553394
antarctic	-0.3087	0.007	1	1050	13262	2007.820711
antarctic ice sheet	-0.7847	0.065	1	251	858	2011.123173
antarctic peninsula	-0.3644	-0.1899	1	558	3396	2009.392737
antarctica	-0.2836	-0.4112	1	1069	14382	2007.877974
antenna	-0.6568	-0.6675	1	178	532	2008.064626
ap	-1.0966	-0.1046	1	199	600	2010.486364
application	-0.5795	-0.27	1	994	11874	2010.011511
approach	-0.4215	-0.2544	1	1204	19908	2011.153242
approximation	0.0268	-0.5448	4	423	2030	2008.343624
aquifer	0.0395	-1.1869	4	318	1780	2010.299742
archipelago	-0.4316	0.9182	5	539	3580	2008.970938
