id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<cluster size>	weight<USA prop>	weight<UK prop>	weight<Germany prop>	weight<Canada prop>	weight<Norway prop>	weight<Russia prop>	weight<France prop>	weight<Peoples R China prop>	weight<Australia prop>	weight<Japan prop>	weight<Denmark prop>	weight<Sweden prop>	weight<Italy prop>	weight<Netherlands prop>	weight<Spain prop>	weight<Finland prop>	weight<Switzerland prop>	weight<New Zealand prop>	weight<South Korea prop>	weight<Poland prop>	weight<AWI prop>	weight<BAS prop>	weight<NOAA prop>	weight<NIPR prop>	weight<AAD prop>	weight<NPI prop>	weight<KOPRI prop>	weight<AARI prop>	weight<PRIC prop>	score<avg. year>	score<novelty>	score<impact(top10 excel.)>	score<ARIMA predicted CAGR>	score<KOPRI top10 excel.>	score<KOPRI mean percentile>	score<coherence>	score<deep predict>	score<KOPRI 2010s Top10 Excel.>	weight<KOPRI 2010s doc count>	score<AARI 2010s Top10 Excel.>	weight<AARI 2010s doc. count>	score<AWI 2010s Top10 Excel.>	weight<AWI 2010s doc. count>	score<NOAA 2010s Top10 Excel.>	weight<NOAA 2010s doc. count>	score<AAD 2010s Top10 Excel.>	weight<AAD 2010s doc. count>	score<BAS 2010s Top10 Excel.>	weight<BAS 2010s doc. count>	score<NPI 2010s Top10 Excel.>	weight<NPI 2010s doc. count>	score<NIPR 2010s Top10 Excel.>	weight<NIPR 2010s doc. count>	score<PRIC 2010s Top10 Excel.>	weight<PRIC 2010s doc. count>	weight<select30>
1000	-1.1996	-0.0914	2	203	127.6882	저어콘(Zr) 이용 연대 측정 및 대륙 지각 진화	3519	1.2766886116466	1.9072930508872	1.37672635385353	1.7357849058292	1.9605210151739	2.99904792129483	1.45523026878959	2.7047619047619	7.65379801675171	4.22020511611458	3.57694287184766	2.87965226840532	1.52568231903713	0.744076757391815	0.279630027963003	1.22393472348141	1.40621456112497	1.08958837772397	1.14716486397902	1.65346193592835	0.118214954191705	0.744647843623953	0	5.35475234270415	0.092678405931418	2.52780586450961	0.688468158347677	0	0	2006.14209748892	39.8522895125554	12.5268661951642	1.65643665188051	10.6795590095789	54.550783293734	24.1542506573181	0	10.6795590095789	11	0	0	0	0	0	0	100	1	0	0	0	0	0	0	0	0	1
1001	0.4662	0.4131	4	203	74.7816	극지 환경 오염물질 모니터링과 생태계 영향	2642	0.978430873313207	0.582349722504495	0.832135232867163	4.32604124725988	3.6390492815899	0.706125039669946	0.736175312446499	1.82857142857143	0.433233850004814	0.931274313332547	5.26248069994853	3.28715023091551	2.08509916935074	1.42941061288428	2.02194020219402	1.42792384406165	1.22476752097981	0.387409200968523	0.88495575221239	2.17016879090596	0.226578662200768	0.403350915296308	0.802505382658054	0.223114680946006	0.509731232622799	12.1840242669363	0.860585197934596	0.437636761487965	3.50609756097561	2008.35689455388	48.8605639242951	7.02935009152453	1.96710951635553	0	44.570642102284	33.6038101958017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7476261869065	23	1
1002	0.7105	0.2559	1	203	72.5459	남극 세균으로부터 얼음결합단백질 기능 및 산업적 응용 연구	1651	0.827483359400575	0.379113577737825	0.344181588463382	1.67762716413904	0.214851618101249	0.222151697873691	0.282485875706215	1.73333333333333	0.413979012226822	2.03937286337381	0.373134328358209	0.244498777506112	0.423800644176979	0.430781280595261	0.537750053775005	0.271985494106981	0.294851440235881	0.799031476997579	2.687643395608	0.723389596968653	0.157619938922274	0.0155134967421657	0	0.0446229361892013	0	0	2.46701090074584	0	0	2008.52713661884	50.3431066749844	8.78540531319884	2.26865682924999	6.38004895960831	45.2751964783901	37.4581939799331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	1
1003	0.8285	0.0737	1	203	98.2219	Glacial refugia의 집단유전학 및 생물지리학적 연구	1477	0.85658167533554	0.820761353865395	0.866989064610291	1.06920771261128	1.28910970860749	0.991748651221834	0.778976202705016	0.60952380952381	0.606527390006739	0.683720381940351	0.797735460627895	1.34474327628362	0.627224953381929	0.646171920892892	1.22607012260701	1.4505893019039	1.20208664096167	1.35593220338983	0.557194362504097	1.34343782294178	0.315239877844547	0.930809804529941	0.411039342337052	0.178491744756805	0.509731232622799	0.455005055611729	0.401606425702811	0.218818380743982	0	2009.90404386566	58.2590815627142	4.05337605883162	2.60249624418907	0	28.8051198240318	8.3712465878071	0	0	0	0	0	0	0	0	0	0	0	13.8888888888889	36	0	0	0	0	0	0	1
1004	0.9453	0.3063	1	203	48.5073	극지 미생물 유래 저온적응 효소의 구조 및 기능 분석과 생산 기술	1123	0.261884843414687	0.168060658172438	0.239620093234	0.0984207936294904	0.214851618101249	0.166613773405268	0.428008902585174	1.26666666666667	0.500625782227785	0.801603206412826	0.18013381369017	0.353164900842162	2.45804373622648	0.2545525748972	0.559260055926006	0.113327289211242	0.113404400090724	0.242130750605327	3.96591281547034	1.13675508095074	0.1871736774702	0.0775674837108284	0	0.133868808567604	0	0	4.70453241537579	0	1.52439024390244	2008.59800362976	49.6370235934664	1.36965145634396	2.48435045466942	0.704225352112676	34.0710647006498	15.9766454352442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1005	1.0445	-0.285	1	203	99.4431	해양 소화성 어류 자원 관리와 유전자 다형성 분석	1601	0.641981595315171	0.781677479871805	0.135058598004618	2.15631011497338	2.55136296495233	1.126626467788	0.624892997774354	0.123809523809524	0.154038702223934	0.306495343628433	0.694801852804941	1.11382776419451	0.169520257670792	0.274133542196985	0.580770058077006	2.37987307343608	0.793830800635065	0.193704600484262	0.0327761389708292	0.654495349638305	0.0591074770958526	0.0310269934843314	0.939518496770405	0	0.092678405931418	0.151668351870576	0	0.218818380743982	0	2007.67175572519	48.2824427480916	5.15393475793993	2.8230249437849	0	0	27.2893772893773	0	0	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	1
1006	0.628	0.0971	1	203	108.298	북극 토양의 탄소 순환	1895	1.28760048012221	1.02008911123271	0.457456541628545	0.966313246544088	0.919833489995971	0.706125039669946	0.342407122068139	1.47619047619048	0.72205641667469	1.02558057291053	2.18733916623778	3.35506655800054	0.576368876080692	2.19306833757588	0.709830070983007	2.1078875793291	1.2701292810161	0.702179176755448	0.557194362504097	0.378918360316914	0.0591074770958526	0.356810425069811	0.0587199060481503	1.20481927710843	0.092678405931418	0.202224469160768	0.688468158347677	0	0.152439024390244	2006.68779968034	41.0229088971764	10.6412737461803	-4.6	0	38.2913876950101	16.6058394160584	0	0	0	0	0	33.3333333333333	3	0	0	0	0	0	0	0	0	0	0	0	0	1
1007	0.7808	-0.2043	1	203	106.308	극지 해양동물의 섭식 생태계 변화	2949	1.27486996690067	3.08762604549363	0.906199625321309	1.71789021607838	1.51067543977441	0.396699460488734	5.03338469440164	0.40952380952381	3.90873206893232	2.18083225274078	1.06793618116315	0.556913882097256	0.644176979149008	1.29234384178578	2.62422026242203	0.181323662737987	0.544341120435473	4.50363196125908	0.393313667649951	2.61798139855322	0.216727416018126	7.77226186782501	1.52671755725191	7.0504239178938	10.194624652456	5.51061678463094	0.688468158347677	0.765864332603939	0	2007.33565217391	44.904347826087	5.84908936361287	0	9.09090909090909	37.6504728549586	39.5475492249686	0	0	0	25	4	13.3333333333333	15	22.7184235517569	52	0	0	17.2494987170211	276	11.5719039351852	72	0	0	0	0	1
1008	-1.2105	0.2979	3	203	68.6221	극지 전리층 변화 및 지자기폭풍 시뮬레이션	2475	1.79500236423817	2.4036582506058	0.618655513440509	0.993155281170313	1.95380690210823	3.27673754363694	1.17274439308338	2.2952380952381	1.29007413112545	5.97665920075445	1.50540401441071	1.72507470795979	1.59349042210544	0.450362247895046	0.516240051624005	3.5131459655485	0.0226808800181447	0.242130750605327	1.343821697804	0.826730967964175	0	3.86286068879926	0.802505382658054	12.7621597501116	2.87303058387396	0.252780586450961	1.60642570281124	16.5207877461707	21.6463414634146	2005.95471387402	38.575545491972	1.13855430876241	2.56789634686592	3.84615384615385	41.1953810115484	27.2549785240141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1009	0.2527	0.1814	1	203	144.9008	북극 생태계 식생변화의 기후변화 위험 분석	1882	1.4876514021751	0.984913624638474	0.884415980481854	1.40473314543909	1.52410366590573	1.17423040304665	0.770416024653313	1.5047619047619	0.568017714450756	0.82517977130732	1.77560473494596	2.74381961423526	0.576368876080692	1.68396318778148	0.881910088191009	4.44242973708069	2.35881152188705	0.36319612590799	0.622746640445756	1.17120220461591	0.325091124027189	0.0465404902264971	0.489332550401253	0.223114680946006	0.278035217794254	0.657229524772498	0.401606425702811	0.109409190371991	0	2012.84354485777	76.6411378555799	13.3444587073238	4.38528472202275	0	49.399975453218	25.0051642222681	1	0	0	0	0	21.5245785639958	31	38.8888888888889	18	40	5	50	2	33.3333333333333	12	27.1626848691695	5	0	0	10
