id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
5 degrees	0.5894	-0.1095	4	296	898	9	2008.952381
a-train	-0.0946	0.1408	4	455	1828	16	2015
abl	0.3524	-0.8056	2	400	1554	15	2009.315789
absolute humidity	-0.1042	0.7984	1	347	1446	14	2012.933333
absorption	0.0358	0.6764	1	873	7746	79	2011.930081
accumulation	-0.1523	0.1641	4	580	2874	29	2011.1675
accuracy	-0.2414	0.907	1	980	10820	111	2012.031588
ace	1.0434	0.3693	2	397	1982	17	2005.44186
activation	1.0071	-0.6141	2	477	2272	21	2011.521429
activity	0.1571	-0.1173	4	721	3876	44	2011.741747
addition	0.3481	0.163	2	1037	8846	87	2012.072879
adjustment	0.2728	-0.7185	2	354	1206	10	2011.543956
administration	-0.2266	0.7553	1	398	1604	14	2011.614679
advanced very high resolution radiometer	-0.5372	0.9994	1	596	3940	38	2005.41573
advection	-0.0819	-0.7943	3	919	7840	73	2010.324162
aerosol	0.753	-0.2255	2	1191	22012	220	2011.217627
aerosol concentrations	0.9167	-0.6206	2	499	2476	22	2012
aerosol effect	0.3121	-0.8116	2	472	2338	24	2010.771084
aerosol particles	0.9747	-0.3059	2	541	2756	28	2011.054545
aerosol properties	1.01	-0.1795	2	499	2426	24	2012.142857
aerosol-cloud interactions	0.736	-0.6374	2	442	1774	15	2014.340909
aggregates	1.1271	0.2112	2	393	1842	22	2009.96124
aggregation	1.0494	0.1043	2	327	1220	12	2010.006757
agreement	0.1347	0.4348	1	1198	17096	164	2010.554303
air	-0.0058	-0.2661	4	1297	27856	268	2011.976061
air masses	0.3806	-0.1674	4	960	8098	74	2011.64881
air temperature	-0.6508	-0.4303	3	957	7884	70	2012.218924
airborne	0.8119	0.3153	2	617	3472	34	2011.99435
airborne measurements	0.6384	0.2883	2	471	2010	20	2012.555556
aircraft	0.8313	0.0824	2	1060	13636	137	2010.584541
aircraft measurements	1.149	-0.1884	2	557	3102	29	2009.893333
aircraft observations	0.9184	-0.1996	2	517	2412	23	2010.350877
al	0.6464	-0.0142	2	538	2212	24	2010.555118
alaska	0.5011	0.3498	1	1057	13910	138	2010.597746
alaska north slope	0.5611	0.5432	1	665	4764	42	2011.71978
albedo	-0.6829	0.0704	3	1088	15378	145	2012.060567
albedo feedback	-1.0297	-0.2506	3	326	1192	11	2013.383234
algorithm	0.0335	0.9396	1	1063	15308	158	2011.916828
altitude	0.4047	0.469	1	909	6936	69	2011.218807
america	-0.1166	0.5445	1	620	3042	36	2011.440252
amplification	0.0094	-0.0287	3	409	1434	14	2013.330357
amplitude	-0.6369	0.0352	3	525	2064	18	2010.372165
amundsen	-0.3318	-0.5001	3	269	990	10	2012.553846
amundsen gulf	-0.5003	-0.5618	3	224	862	9	2012.409091
analysis	-0.0592	0.2743	1	1328	34434	352	2011.656462
angle	-0.2154	0.4503	1	866	6662	64	2010.915493
annual	-0.8044	0.2995	4	387	1406	14	2010.264808
annual cycle	-0.6927	-0.1455	3	771	5586	54	2009.189944
anomaly	-0.8274	-0.2925	4	814	5858	57	2010.997204
antarctic	-0.0867	0.55	4	1115	14774	149	2010.797819
antarctic clouds	0.4413	0.3252	4	478	2168	18	2010.944444
antarctic continent	-0.1958	0.9184	1	442	1782	18	2010.136364
antarctic ice	0.0536	0.669	4	520	2532	24	2012.455772
antarctic ice sheet	-0.1889	0.6685	4	445	2014	18	2012.616541
antarctic peninsula	0.3818	0.423	4	365	1238	12	2011.82716
antarctic plateau	0.035	0.9126	1	588	3332	33	2010.053333
antarctica	-0.0361	0.7081	1	989	11234	118	2011.220175
anthropogenic aerosols	0.6056	-0.5566	2	360	1356	15	2012.4
ao	-1.1116	-0.1862	4	295	994	9	2011.098916
application	-0.2854	0.5271	1	1025	10196	107	2012.361823
approach	0.2915	0.5591	1	986	8900	92	2013.011682
approximation	0.5314	0.4194	1	390	1394	14	2011.077491
aqua	-0.5547	0.8738	1	601	3310	31	2012.181818
archipelago	-0.8081	0.0585	4	408	1434	13	2011.082609
archives	-0.6341	0.226	4	409	1682	17	2012.62249
arctic	0.0808	-0.2142	2	1353	83654	843	2012.189504
arctic aerosol	0.7544	-0.7163	2	441	1916	18	2012.448649
arctic annual cycle	-0.2913	-0.9346	3	287	984	10	2007.266667
arctic antarctic	-0.5666	0.3892	4	572	2672	25	2012.938182
arctic atmosphere	-0.6733	-0.0174	4	600	3132	30	2011.826087
arctic basin	-0.8655	-0.3002	4	489	2108	17	2009.680952
arctic boundary layer	0.3325	-0.748	2	672	4432	43	2009.815385
arctic climate	-0.433	-0.6546	3	993	10324	98	2013.150824
arctic climate change	-0.7077	-0.4561	3	329	1180	12	2014.55814
arctic climate system	-0.4404	-0.8437	3	450	1888	17	2013.39726
arctic clouds	0.3689	-0.4121	2	1234	27920	262	2010.096463
arctic conditions	0.1274	0.6772	1	373	1260	12	2011.352113
arctic data	-0.6195	0.2091	3	300	942	9	2011.115942
arctic energy	-0.5744	-0.3294	3	350	1244	11	2013.307692
arctic environments	0.2833	-0.2021	3	388	1284	13	2012.708108
arctic haze	0.4293	-0.653	2	292	994	12	2010.263636
arctic high	-0.0226	-0.126	1	424	1444	14	2013.101695
arctic ice	0.2669	-0.4592	2	775	4826	49	2013.034188
arctic leads	-0.013	-1.0384	3	266	1004	9	2001.555556
arctic measurements	0.4314	0.165	1	433	1594	16	2011.113636
arctic mixed-phase clouds	0.9526	-0.5786	2	311	1096	10	2016.2
arctic observations	-0.0463	-0.625	3	437	1582	16	2013.9125
arctic ocean	-0.4156	-0.5221	3	1164	20532	185	2010.893127
arctic oscillation	-1.0207	-0.1362	4	374	1448	14	2011.24912
arctic precipitation	0.2951	0.2246	4	273	780	9	2012.674419
arctic regions	-0.1795	0.273	4	908	7064	72	2013.278834
arctic research	0.3412	0.501	1	274	806	9	2013.453782
arctic sea ice	-0.8535	-0.5859	3	863	7804	70	2014.367364
arctic sea ice extent	-1.1306	-0.6139	3	311	1164	9	2015.271084
arctic seas	-0.8117	-0.5378	3	913	8908	82	2014.010669
arctic spring	0.7754	-0.5513	2	337	1174	11	2012.048193
arctic stratocumulus	0.8747	-0.854	2	317	1270	13	2013.571429
arctic stratus	0.9411	-0.4929	2	502	2850	29	2002.9
arctic stratus clouds	1.0148	-0.4253	2	341	1380	15	1999.8125
arctic summer	-0.1338	-0.6777	3	587	2910	26	2013.466368
arctic surface energy budget	-0.7121	-0.838	3	329	1140	9	2013.083333
arctic temperature	-0.8978	-0.277	4	450	2026	22	2012.593301
arctic warming	-0.6006	-0.5226	3	308	1034	11	2014.481818
arctic waters	-0.6211	0.3667	1	476	1896	19	2011.466431
arctic weather	-0.0632	-0.0414	4	279	922	9	2014.212121
arctic winter	-0.0957	-0.1728	3	718	4604	44	2011.690678
area	-0.2221	0.2242	4	1241	20254	210	2011.37466
arm	0.6054	0.5239	1	851	8326	77	2009.535354
array	0.3696	0.6364	1	317	932	10	2011.101235
artifacts	0.2041	0.1546	4	264	744	9	2009.730769
asia	-0.2231	0.2683	4	361	1158	12	2013.012594
aspect	0.8511	-0.3391	2	304	994	10	2011.749104
assessment	-0.3732	0.1836	3	859	5532	55	2013.024899
assimilation	-0.4802	0.5567	1	411	1718	16	2012.629787
association	0.0143	-0.2292	4	378	1246	11	2011.081886
asymmetry	0.9738	0.4639	2	262	968	11	2011.45509
atlantic	-0.5961	-0.091	4	825	5574	54	2010.236737
atlantic ocean	-0.5694	0.1069	4	399	1504	15	2009.615463
atlantic sector	-1.0437	-0.1088	4	322	1120	9	2011
atmosphere	-0.1283	0.069	1	1346	49632	483	2011.581199
atmospheric aerosols	0.5628	0.1753	2	265	786	10	2010.879433
atmospheric boundary layer	0.0057	-0.8363	3	679	4478	44	2011.607595
atmospheric circulation	-0.8745	-0.3298	4	619	3122	29	2012.002058
atmospheric conditions	0.0858	-0.227	4	716	3792	38	2011.328431
atmospheric energy	-0.9347	-0.4393	3	355	1366	14	2013.924528
atmospheric gcm	-0.8147	-0.9364	3	332	1278	10	2010.549091
atmospheric general circulation	-0.785	-0.9239	3	315	1160	10	2010.583333
atmospheric ice	0.9433	0.0107	2	355	1296	15	2010.884615
atmospheric infrared sounder	-0.7314	0.613	1	529	2656	24	2013.078947
atmospheric measurements	0.3611	0.9521	1	334	1332	14	2014.171429
atmospheric model	0.2685	-0.6483	2	747	4732	41	2012.346154
atmospheric profiles	-0.6686	0.1665	1	303	972	9	2013.153846
atmospheric radiation	0.622	0.5188	1	955	11538	110	2009.383333
atmospheric temperature	-0.6688	0.1859	1	605	3016	29	2010.509554
atmospheric water	-0.4052	0.8159	1	520	2394	24	2010.789474
atmospheric water vapor	-0.4324	0.7579	1	417	1492	14	2009.522727
attention	-0.4772	0.0986	4	441	1550	15	2012.917808
austral summer	0.1021	0.6182	4	376	1228	11	2012.0726
austral winter	-0.576	0.162	4	279	852	9	2010.937853
australia	0.5385	-0.0114	2	256	782	9	2010.617438
autoconversion	0.5943	-0.6737	2	393	1392	11	2009.727273
automatic weather stations	-0.6155	0.2991	4	314	1126	11	2012.382813
autumn	-0.6135	-0.2324	4	879	6992	68	2011.726708
availability	-0.5797	0.5181	1	348	1116	12	2012.908905
avhrr	-0.5806	0.9054	1	704	5990	60	2006.133333
avhrr data	-0.414	0.9912	1	488	2720	27	2005.6875
backscatter	0.7974	0.74	1	651	3970	40	2011.126712
balance	-0.329	-0.2694	3	1049	10806	98	2011.539286
balloon	0.5583	0.4042	1	504	2390	24	2014.045455
bands	0.0048	0.9735	1	567	3190	34	2010.501538
barents	-1.0719	-0.2467	4	378	1468	13	2010.39816
barrow	0.3371	0.7112	1	888	9158	94	2011.224344
barrow alaska	0.5311	0.7074	1	779	6366	67	2010.863014
baseline	-0.305	0.5637	1	480	1866	18	2012.74934
basin	-0.7317	-0.2551	4	666	3618	30	2010.09645
bay	0.0568	-0.1146	4	447	1702	18	2010.11814
bayesian	0.1725	0.952	1	284	922	10	2013.796296
beaufort	-0.2982	-0.4328	4	874	7012	65	2010.621769
beaufort sea	-0.2172	-0.3782	4	777	5086	47	2010.009921
behavior	0.3335	0.0353	2	688	3344	31	2011.103784
benefits	-0.4548	0.1868	3	379	1178	11	2014.038732
bering	-0.4552	-0.0522	4	296	932	9	2009.747987
beta	0.7525	0.1756	2	292	920	9	2009.417219
bias	-0.4328	0.5647	1	1119	15366	140	2013.065051
biases	-0.6345	0.0176	3	1073	13114	116	2013.826211
boundary	0.2817	-0.5368	2	955	8230	80	2008.420868
boundary conditions	-0.2475	-0.7943	3	477	2092	16	2010.430736
boundary layer	0.2552	-0.6699	2	1226	25478	241	2009.971272
boundary layer clouds	0.6136	-0.6693	2	778	5476	51	2009.8
brightness temperatures	-0.151	1.0899	1	686	4904	49	2007.601695
broadband	-0.3581	0.7357	1	645	3834	34	2011.408602
bsrn	-0.3282	0.9954	1	281	932	10	2014.384615
budget	-0.4536	-0.2804	3	1272	30018	273	2011.153068
calibration	-0.1108	0.9799	1	556	2722	29	2011.99511
caliop	0.1309	1.0566	1	504	2692	26	2014.439024
calipso	-0.0495	0.5898	1	827	6912	65	2014.182927
cam3	-0.3523	-0.9611	3	293	1104	10	2010.833333
cam5	-0.1052	-0.9473	3	404	1686	15	2015.384615
camera	0.4282	0.9064	1	353	1294	14	2013.671756
camp	-0.2758	0.111	3	472	1934	17	2009.610169
campaign	0.7389	-0.099	2	1056	12414	115	2013.041363
canada	0.1216	0.0771	4	887	6782	67	2011.058788
canadian	0.2251	0.2246	4	686	3884	38	2010.480463
canadian arctic	0.176	0.1727	4	364	1354	16	2012.163636
capabilities	-0.1562	0.6617	1	449	1634	16	2013
carbon	0.0465	-0.1296	3	597	2588	26	2013.107259
carbon dioxide	-0.5352	0.109	3	376	1260	12	2013.148903
case	0.6074	0.0338	2	1292	28340	286	2010.847835
case study	0.6623	0.0158	2	928	7602	76	2012.678179
cause	-0.4243	0.3578	1	656	3258	34	2011.675244
ccn	0.8863	-0.7557	2	445	2224	22	2010.343434
ceilometer	0.286	0.6866	1	494	2248	21	2012.666667
cell	0.3699	-0.1209	2	510	2248	24	2011.359784
century	-0.8608	-0.5306	3	518	2454	22	2012.205869
ceres	-0.9626	0.6382	1	534	3326	33	2014.183673
cf	-0.7474	0.4805	1	353	1308	12	2011.690141
challenges	0.0661	0.3459	1	721	4010	39	2014.48237
chamber	1.1359	-0.0283	2	266	1022	11	2013.240506
changes	-0.4444	-0.1907	3	1308	33452	332	2012.206219
channel	-0.1027	1.0693	1	815	7634	78	2009.903036
characteristics	0.0754	-0.0956	4	1207	17580	176	2010.936545
characterization	0.4139	0.5288	1	748	4358	43	2012.72969
chemical	0.6255	-0.1743	2	312	1020	12	2011.607029
chemistry	0.3997	-0.443	2	363	1136	11	2012.465976
china	-0.1713	-0.2024	4	330	990	10	2013.948798
chukchi	-0.8879	-0.4062	3	366	1352	12	2012.695271
circulation	-0.6145	-0.5301	4	1009	10568	100	2010.44219
circulation model	-0.4365	-0.8281	3	560	3040	26	2009.61811
circulation patterns	-0.8873	-0.2211	4	357	1274	12	2010.597956
cirrus	0.8128	0.4993	2	839	7844	84	2007.956522
cirrus clouds	0.8434	0.4982	2	775	6136	63	2008.38806
citation	0.3087	-0.2171	3	414	1562	19	2010.689507
class	-0.0558	0.4983	1	286	824	10	2011.519757
classification	0.1551	0.831	1	776	5626	66	2011.561043
climate	-0.3824	-0.1753	3	1339	48796	474	2012.847305
climate change	-0.6736	0.0027	3	1026	10464	99	2013.106897
climate data	-0.7992	1.0581	1	282	1002	10	2012.201878
climate feedbacks	-0.7208	-0.7047	3	460	1926	19	2014.252595
climate model	-0.3779	-0.5096	3	1217	23608	217	2013.16224
climate model simulations	-0.3566	-0.0116	3	393	1448	12	2013.895455
climate monitoring	-0.8715	0.7285	1	328	1336	13	2012.268293
climate prediction	0.2464	-0.4339	2	331	1126	10	2014.380952
climate projections	-0.9948	-0.7153	3	314	1090	10	2014.908629
climate research	-0.1553	0.4016	1	552	2696	25	2012.00885
climate sensitivity	-0.7064	-0.6923	3	285	1062	10	2013.225434
climate simulations	-0.5347	-0.6136	3	576	2566	24	2012.537778
climate studies	-0.799	0.0953	3	411	1444	14	2011.889908
climate system	-0.5196	-0.6811	3	799	5492	50	2012.717277
climate system model	-0.7735	-0.8546	3	354	1526	12	2011.883871
climate variability	-0.7912	-0.2399	3	422	1674	17	2012.20898
climatology	-0.4387	0.1959	4	1161	15368	140	2010.440048
closure	0.5306	-0.6254	2	453	1894	19	2009.644444
cloud	0.2762	-0.0143	2	1358	104300	1055	2010.976891
