id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
16s rrna gene	-1.4122	-0.2857	3	270	1226	14	2014.413989
2 degrees c	-0.4363	-0.5264	3	419	1516	15	2011.898305
20th century	0.1684	0.3668	1	635	2894	29	2011.125
abundance	-1.0383	-0.0834	3	1023	8346	79	2012.159769
acceleration	0.0072	0.6222	1	403	1270	12	2012.217042
access	0.0828	0.4207	4	550	2134	21	2013.769679
accumulation	-0.5747	0.1581	1	1346	13022	120	2011.1675
accumulation rates	-1.0415	0.0621	1	489	2002	17	2010.201613
accuracy	0.7122	0.2581	4	1136	11008	109	2012.031588
acids	-1.1739	-0.4156	3	404	1686	15	2009.964637
acquisition	0.3123	0.686	4	428	1416	14	2012.112069
action	-0.1756	0.3847	1	423	1364	15	2009.595808
active layer	0.326	-0.1284	2	1725	70216	651	2012.332634
active layer depth	0.0977	-0.6279	3	943	5894	51	2011.505882
active layer detachments	-0.6713	0.6012	1	517	2160	19	2014.133333
active layer dynamics	0.3943	-0.5631	2	481	2022	18	2013.222222
active layer soils	0.1433	-0.706	3	1002	7658	64	2014.593407
active layer thaw	0.4328	0.2669	2	552	2360	22	2011.074074
active layer thickness	0.8541	-0.2237	2	1432	24836	228	2013.05
activity	-0.2452	0.0526	1	1535	20344	196	2011.741747
adaptation	0.5065	-0.2819	2	536	2430	27	2013.458029
addition	0.0337	-0.2577	2	1447	15068	141	2012.072879
advance	0.4209	0.2885	4	664	2812	29	2012.223684
advection	0.7046	-0.0425	2	415	1508	14	2010.324162
aerial	-0.2363	0.725	1	412	1436	13	2012.465517
aerial photographs	-0.2267	0.9286	1	587	2616	23	2010.535714
aerial photography	-0.1924	0.8724	1	407	1430	13	2010.65
age	-0.8489	0.2379	1	1052	8286	80	2010.368729
aggradation	-0.5043	0.7637	1	754	4204	38	2012.058824
agreement	0.6325	-0.1449	2	1059	7948	74	2010.554303
air	0.7353	-0.0558	2	1636	44984	431	2011.976061
air temperature	0.825	-0.0607	2	1592	39404	377	2012.218924
air temperature changes	0.769	-0.7942	2	395	1486	13	2012.416667
aircraft	0.1483	-0.4215	4	337	1234	12	2010.584541
al	-0.5383	-0.1573	3	614	2542	25	2010.555118
alas	-0.58	0.3935	1	350	1180	11	2014.071429
alaska	-0.2539	0.1811	1	1685	49980	479	2010.597746
alaska north slope	-0.1751	0.1127	4	857	5306	48	2011.71978
alaskan	-0.4022	-0.2471	3	1032	8492	76	2011.071579
alaskan arctic	-0.1363	-0.2287	3	624	3242	30	2012.864583
albedo	0.8237	-0.5327	2	624	3054	25	2012.060567
algorithm	0.7047	0.0319	4	861	5076	50	2011.916828
alpine	0.3868	-0.7229	3	1079	12078	118	2012.280161
alpine ecosystems	-0.143	-0.9572	3	407	1878	18	2014.650794
alpine grassland	0.0518	-0.954	3	568	3348	32	2015.446809
alpine meadow	0.3752	-0.9029	3	788	7078	65	2014.918605
alpine permafrost	0.6576	-0.2758	2	519	2314	23	2011.692308
alpine steppe	0.0785	-1.046	3	553	3306	32	2015.74359
alt	1.074	-0.3946	2	938	8602	76	2014.876404
alteration	-0.0228	0.5331	1	417	1362	12	2012.662651
altitude	1.0879	-0.2485	2	580	2816	28	2011.218807
america	0.4099	0.1157	2	859	4728	43	2011.440252
amplitude	0.9335	-0.1049	2	768	4534	43	2010.372165
anaerobic	-1.2759	-0.3336	3	382	1538	13	2012.16
anaerobic conditions	-1.1792	-0.3586	3	402	1762	16	2013.413793
analysis	-0.0288	0.1479	1	1741	50834	491	2011.656462
analytical solution	1.1651	-0.1449	2	354	1486	15	2010.041096
ancient	-1.0238	-0.0708	3	296	984	12	2012.618557
annual	0.3378	0.5874	1	538	2218	22	2010.264808
annual precipitation	0.1041	-0.5808	3	492	2030	20	2011.851852
annual temperature	0.6809	0.1718	2	639	3226	32	2010.649254
annual variability	0.2745	0.0955	1	457	1608	15	2012.096045
anomaly	0.3753	-0.4607	2	601	2478	22	2010.997204
antarctic	0.671	-0.2037	2	354	1178	12	2010.797819
antenna	0.7733	0.568	4	277	1030	13	2010.984127
application	0.5705	0.1305	4	1227	10898	107	2012.361823
approach	0.1557	0.0704	4	1548	22926	220	2013.011682
approximation	0.8531	-0.3924	2	326	1056	12	2011.077491
aquatic ecosystems	-0.7382	0.4977	1	598	2732	26	2013.963964
aquifer	0.6942	0.6526	1	448	2064	21	2013.608247
archaea	-1.4559	-0.1466	3	271	1026	11	2013.73913
archives	-0.1464	0.7268	1	444	1440	12	2012.62249
arctic	-0.3351	0.0987	1	1747	80236	785	2012.189504
arctic alaska	-0.4536	0.3898	1	778	4292	42	2012.700935
arctic areas	0.0543	-0.4271	2	637	2724	22	2012.19708
arctic canada	-0.1154	0.8217	1	533	2346	25	2010.042017
arctic climate	-0.1212	-0.1219	1	1096	8048	74	2013.150824
arctic climate change	-0.4216	-0.2546	1	550	2096	19	2014.55814
arctic coast	-0.114	0.9315	1	389	1528	17	2011.666667
arctic coastal plain	-0.3736	0.4657	1	929	6784	65	2011.328947
arctic ecosystems	-0.5724	-0.4253	3	915	5892	51	2014.429967
arctic environments	-0.2312	0.6074	4	421	1432	14	2012.708108
arctic foothills	-0.4979	0.173	1	392	1518	15	2006.75
arctic freshwater	-0.6694	0.448	1	444	1680	16	2012.838983
arctic hydrology	0.0138	0.6228	1	479	1742	14	2013.04
arctic ice	-0.6172	0.3998	1	615	2482	22	2013.034188
arctic lakes	-0.4405	0.5465	1	828	5438	58	2013.72807
arctic landscapes	-0.618	0.3719	1	520	2016	20	2014.355556
arctic ocean	0.0086	0.0389	1	542	2210	21	2010.893127
arctic permafrost	-0.6432	-0.1337	3	1144	9768	88	2014.890173
