id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
depth	-0.0341	0.2525	4	1503	55160	2008.424673
description	-0.7524	0.4	4	518	2572	2008.463605
desert	-1e-04	0.5316	4	521	2930	2008.949606
desiccation	0.1504	-0.6325	1	278	856	2007.585132
design	-0.6744	-0.1987	3	584	3138	2010.581328
detachment	0.0566	-0.9077	1	254	754	2007.707937
detail	-0.4157	-0.0564	3	322	1050	2008.325282
detection	-0.5838	-0.5592	3	793	6048	2009.603252
determination	0.1159	-0.2894	3	407	1508	2007.484902
detritus	1.1459	-0.4388	1	187	552	2006.822309
development	-4e-04	-0.4204	1	1303	22910	2008.720806
diagnostics	-0.6058	0.4272	4	166	440	2008.567084
diameter	0.019	-0.7375	1	251	788	2007.263065
diatoms	1.1057	-0.1613	1	314	1206	2007.788872
dic	1.1531	-0.1155	2	219	728	2010.289003
difference	-0.7237	0.2111	3	938	9672	2008.353517
difference vegetation index	-0.7748	0.7764	3	315	1288	2011.269663
differentiation	0.6015	-0.1162	2	252	726	2009.166072
diffusion	-0.4741	0.4089	4	593	4008	2007.538498
digital	-0.7659	-0.5691	3	211	596	2009.777457
digital elevation model	-0.8557	-0.4094	3	349	1440	2011.125
direct	0.0931	0.315	3	216	594	2008.210247
direct effect	-0.1071	-0.3694	1	201	560	2009.810127
direct measurements	0.2826	0.4722	2	221	664	2008.273092
discharge	-0.1613	-0.6844	1	802	8260	2009.968547
discontinuous permafrost	-0.2207	-0.569	1	820	7244	2009.986239
discrepancies	-0.7615	0.4685	4	454	2122	2008.348934
disequilibrium	-0.1801	-1.0583	4	137	390	2007.917431
dispersal	-0.1182	0.3259	4	216	658	2009.272755
displacement	0.0606	-0.4706	1	317	1062	2008.077434
dissolution	1.1631	-0.0773	2	257	780	2008.222642
dissolved	0.9085	0.1776	2	333	1186	2009.918434
distance	-0.1732	-0.4461	3	417	1668	2008.760466
distribution	-0.2851	-0.1269	3	1443	37354	2008.398254
distribution patterns	-0.54	-0.0087	3	157	448	2007.921011
disturbance	0.3739	-0.4366	1	1073	13914	2008.857587
divergence	0.0912	-0.6272	1	178	484	2009.013309
diversity	0.514	0.4397	2	660	3820	2010.578345
dms	-0.097	0.7714	3	140	356	2007.172161
doc	1.0693	-0.0501	2	597	3686	2010.06576
dominance	0.978	0.3205	2	435	1634	2008.872257
doubling	-0.1365	0.798	4	179	492	2006.720126
downscaling	-0.9319	0.6514	4	213	648	2012.79878
drainage	0.2423	-0.5294	1	1123	14510	2008.81777
drier conditions	0.4902	0.2899	2	241	710	2009.964912
drift	0.5334	-0.1837	1	302	868	2007.53137
drilling	-0.4376	-0.712	1	298	1156	2009.19218
drivers	0.3978	0.156	1	815	5904	2015.214206
drought	-0.8319	0.1865	3	182	492	2011.447977
dryas	0.874	-0.1436	1	172	466	2007.259029
drying	0.1124	-0.3179	1	465	2332	2010.299595
duration	-0.47	-0.2945	4	810	6804	2008.532595
dynamics	0.0173	0.1569	5	1448	39572	2010.313072
earth	-0.1991	0.4626	4	982	9572	2010.179198
east	0.0084	-0.1273	1	674	3782	2008.607533
eastern	0.084	0.1492	2	411	1736	2008.869757
ec	0.0154	0.7474	2	390	1680	2011.130769
ecology	-0.1175	-0.0803	3	690	4564	2009.579615
economy	-0.7766	0.325	3	170	524	2011.137536
ecosystem	0.2457	0.512	2	1452	44976	2011.299513
ecosystem processes	0.5283	0.5198	2	237	702	2012.502618
ecosystem respiration	0.5435	1.0401	2	530	4424	2012.202765
ecosystem services	-0.2813	0.1717	3	216	604	2015.128205
ecosystem structure	0.6318	0.1679	1	284	1004	2011.137143
ecotone	0.0988	-0.1585	2	285	972	2010.323944
ecotypes	0.5752	-0.585	1	174	460	2009.606061
eddies	0.1361	1.1547	2	193	668	2008.668786
education	-0.507	0.0897	3	116	284	2010.860248
effects	-0.0056	0.4271	4	1488	50588	2008.834618
efficiency	-0.3342	0.5214	2	391	1486	2009.198697
efflux	0.2109	0.6455	2	476	2508	2008.48374
effort	-0.6418	-0.0721	3	205	568	2009.28
electrical conductivity	0.4535	0.1291	1	300	978	2008.518717
electron	1.0903	0.5782	2	307	1324	2008.099471
elemental composition	0.982	0.3481	2	153	386	2009.293023
elements	0.3577	-0.3076	1	758	4764	2008.706361
elevation	-0.4278	-0.4378	3	939	9226	2009.824954
embankment	-0.8732	-0.7089	3	241	914	2012.250883
emergence	0.4963	-0.8767	1	222	608	2009.419162
emissions	0.4211	0.6823	2	1215	25700	2009.691385
energy	-0.7826	0.2887	4	1061	15362	2008.723489
energy balance	-1.207	0.0787	4	339	1418	2008.914956
energy budget	-1.3344	0.3621	4	186	586	2009.877193
engineering	-1.0341	0.0601	3	659	5478	2011.966811
enhanced	-0.3145	0.1871	3	419	1606	2009.105949
enrichment	1.0005	-0.0831	2	446	2012	2007.966961
ensemble	-0.8258	0.7844	4	291	1134	2012.843972
environment	0.1792	-0.0286	3	1296	21634	2009.620856
environmental	0.1424	0.6075	2	502	2444	2009.652452
environmental changes	0.547	0.2114	2	353	1224	2011.631369
environmental conditions	0.4368	0.1831	2	565	2726	2011.073304
environmental factors	0.5456	0.4802	2	561	3164	2010.481299
environmental gradients	0.1724	-0.0946	1	180	462	2011.14359
environmental variables	0.4143	0.7839	2	344	1376	2010.746251
envisat	-0.8765	-0.468	3	297	1342	2011.143695
enzyme	1.1407	0.7618	2	254	1092	2008.671725
enzyme activity	1.0782	0.7901	2	157	532	2009.061093
equilibrium	-0.3663	-0.0495	4	544	2870	2007.331412
equipment	-0.702	0.0061	3	157	378	2009.821326
era-interim	-1.281	0.6363	4	285	1180	2015.76381
eriophorum	0.8995	0.5328	2	170	498	2006.352564
erosion	0.3896	-0.5833	1	988	9860	2008.588984
error	-0.7533	0.2167	3	821	6896	2009.089766
ers	0.553	0.9635	2	259	1024	2006.829851
establishment	0.5044	-0.2665	1	241	688	2009.077273
estimate	-0.6189	0.4321	3	947	10686	2009.037943
eurasia	-0.8802	0.0418	4	388	1728	2010.129179
europe	-0.5721	0.4406	4	270	970	2009.264767
european	-0.6597	0.4418	4	265	862	2008.535922
evaluation	-0.7875	0.3686	4	806	6840	2010.494567
evaporation	0.017	-0.3625	1	750	5882	2007.500434
evapotranspiration	-0.4941	0.3486	4	700	5490	2010.7866
events	0.227	-0.5192	1	930	8206	2008.940003
evolution	-0.0262	-0.6204	1	1014	10804	2009.317419
excess	0.5137	-0.7782	1	213	574	2006.587452
exchange	0.0126	0.6398	2	1001	11550	2008.103913
expansion	0.1263	-0.6727	1	910	8684	2010.313347
experimental	-0.6051	0.1237	4	260	876	2008.538829
