id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.0642	-0.6627	2	936	7394	62	2011.125
500-hpa geopotential height	1.149	-0.3453	1	310	1090	3	2010.190476
aa	0.2842	0.7703	4	510	2508	11	2013.261905
absorption	-0.723	0.8882	4	415	1860	17	2011.930081
acceleration	0.1155	0.3367	3	492	1842	12	2012.217042
access	-0.5203	-0.4896	3	466	2048	19	2013.769679
accumulation	0.1582	-0.0544	1	579	2528	13	2011.1675
accuracy	-0.2323	-0.4766	3	737	4252	27	2012.031588
action	0.302	-0.1713	2	345	1210	11	2009.595808
activity	0.5863	-0.1277	1	1183	14828	74	2011.741747
adaptation	-0.6056	-0.7323	2	564	2716	27	2013.458029
addition	-0.0184	0.0244	3	1161	11308	75	2012.072879
adjustment	-0.535	0.0552	4	730	4156	29	2011.543956
administration	-0.5011	-0.5492	3	324	1198	9	2011.614679
advance	-0.3463	0.191	3	668	3850	26	2012.223684
advection	0.8005	0.4737	1	1045	11924	49	2010.324162
aerosol	-1.0069	-0.373	2	856	7698	55	2011.217627
aerosol forcing	-1.0887	-0.4571	2	386	1534	8	2012.561404
africa	-0.1733	-0.9681	2	633	3708	27	2009.943515
agcm	0.2686	-0.4719	2	636	4182	20	2011.12381
age	0.106	0.1784	2	326	1052	6	2010.368729
agreement	-0.3762	-0.3699	2	1141	12636	86	2010.554303
air	0.4641	0.1475	1	1466	51962	279	2011.976061
air masses	0.9725	0.0969	1	702	4732	23	2011.64881
air temperature	0.2925	0.118	1	1417	39274	220	2012.218924
air temperature trends	-0.3483	0.4908	4	343	1258	6	2013.75
air-sea	0.1097	0.8857	4	366	1348	7	2011.236364
air-sea interaction	-0.0558	0.403	4	430	1802	8	2011.566667
al	0.1773	0.1503	1	464	1686	11	2010.555118
alaska	0.4909	-0.5018	1	912	7360	34	2010.597746
alaskan	0.322	-0.2346	3	402	1556	9	2011.071579
albedo	-0.8139	0.7575	4	1005	13140	100	2012.060567
albedo feedback	-0.8456	0.8668	4	880	10628	78	2013.383234
aleutian	0.9998	-0.2566	1	474	2284	12	2009.607143
aleutian low	0.8785	-0.0377	1	344	1310	9	2010.541401
algorithm	0.4692	-0.3013	1	829	5912	32	2011.916828
america	0.668	-0.5111	1	1250	21850	123	2011.440252
american	0.8054	-0.4825	1	518	2306	12	2010.565574
