id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
1960s	0.986	0.3766	3	189	590	2007.723464
1970s	0.5002	0.5017	3	148	388	2008.301205
20th century	-0.3122	-0.0357	4	545	3258	2009.625488
abrupt	0.3709	0.8707	3	196	602	2008.765363
absorption	-0.9119	0.4027	3	326	1500	2007.595437
acc	-1.1615	0.462	5	123	316	2008.139628
acceleration	-0.1712	-0.3067	4	372	1448	2010.334658
access	-0.4365	-0.5262	1	410	1986	2011.56924
accord	-1.0904	-0.5673	6	109	310	2006.193694
accumulation	0.3177	-0.5343	4	467	2078	2008.145056
accuracy	-0.0472	-0.3676	1	581	3420	2010.08255
acidification	-0.8595	-0.2919	1	229	680	2012.615128
action	-0.2422	-0.1964	1	282	952	2008.283128
activity	0.5078	0.0218	2	916	11614	2008.610119
adaptation	-0.2509	-0.8419	1	448	2228	2009.276196
addition	0.0596	0.0888	1	902	8994	2009.285986
adjustment	-0.4487	0.5035	5	533	3270	2010.059972
administration	-0.4166	-0.3517	1	276	1016	2008.585608
advance	-0.3564	-0.0112	1	506	2968	2009.278139
advection	0.4764	0.7858	2	776	8976	2008.192895
adverse effects	0.312	-0.6935	1	85	202	2010.733945
aerosol	-0.8606	0.0316	1	648	5892	2007.154489
africa	0.2425	-0.7393	1	481	2892	2008.243209
agcm	0.8084	0.5181	2	451	2964	2008.143646
age	-0.571	-0.0316	4	262	902	2007.797965
agency	0.0914	-0.2946	1	192	560	2011.612195
aggregates	-0.0472	-0.5774	1	151	362	2008.541433
agreement	-0.3312	-0.3691	1	887	9968	2007.890269
agriculture	-0.0181	-0.9559	1	185	502	2011.68272
air	0.3253	0.2616	2	1319	39410	2008.618101
air masses	0.3622	0.0645	1	383	1846	2007.547564
air pollution	0.8721	-0.5671	1	87	206	2007.770408
air temperature	0.3046	0.3019	3	704	5998	2010.069914
air-sea	-0.3497	1.0372	3	276	1020	2010.25
aircraft	-0.4399	-0.1109	1	251	826	2006.227098
al	-0.3554	0.4554	1	368	1328	2007.388849
alaska	0.3441	-0.3797	1	749	5990	2008.146234
alaskan	-0.2582	-0.185	1	320	1276	2008.305085
alaskan arctic	-0.4957	0.0332	1	115	312	2010
albedo	-0.8079	0.4501	3	778	9770	2009.324338
alberta	0.0516	-0.9251	1	94	224	2007.302682
aleutian	1.191	-0.4436	2	335	1716	2008.620981
algorithm	0.4217	-0.1972	1	685	4962	2010.210584
alps	0.0065	-1.0132	1	133	314	2009.971568
alteration	-1.0792	0.0079	1	89	212	2008.680165
alternative	-1.1946	-0.2213	5	134	374	2009.029126
altitude	0.8349	-0.2805	2	153	408	2007.653347
amazon	-0.6235	-0.7804	1	216	736	2010.429268
america	0.6797	-0.2595	2	1000	16750	2008.697703
american	0.606	-0.2864	2	417	1828	2008.42539
amo	0.6469	-0.5373	4	477	2894	2014.846667
amoc	-1.0084	0.5879	5	445	2870	2014.607664
amplification	0.0517	0.6998	6	969	17034	2010.670509
amplitude	0.3715	0.5593	2	700	6184	2008.158367
analog	-0.7005	-0.2922	1	252	906	2008.432668
analogue	-1.0694	0.7563	5	174	498	2009.003268
analyses	0.4121	0.2786	2	834	8794	2009.301682
analysis	0.4001	-0.0943	2	1362	41038	2009.366286
angle	0.3045	0.2037	2	93	198	2007.895326
annual	0.5499	-0.6975	1	164	466	2007.172557
annual cycle	-0.1275	0.3454	5	484	2734	2007.690078
annual precipitation	0.0336	-0.6925	4	284	1096	2010.141667
annual temperature	0.1288	-0.7392	1	161	446	2008.690789
annular mode	1.2345	0.0319	2	275	1072	2012.46283
anomalies	0.6686	0.3642	2	1249	37854	2009.553394
antarctic	-0.3777	0.029	4	795	8418	2007.820711
antarctic circumpolar current	-0.9502	0.6103	5	202	696	2007.99332
antarctic ice sheet	0.1242	-0.6092	4	147	382	2011.123173
antarctic oscillation	0.4726	-0.5346	4	99	232	2011.506726
antarctic peninsula	0.31	-0.8424	4	95	232	2009.392737
antarctica	0.0603	-0.4156	4	598	4080	2007.877974
anthropogenic	-0.6809	-0.2734	1	366	1756	2009.897004
anthropogenic emissions	-0.8595	-0.2974	1	88	218	2009.427083
anticyclone	0.8005	0.0336	2	464	2612	2009.04646
ao	0.9588	-0.0156	2	615	5648	2011.268478
application	-0.3866	-0.3421	1	784	6358	2010.011511
approach	-0.0774	-0.4022	1	1013	12496	2011.153242
ar	0.7348	-0.4023	4	330	1434	2008.531532
archipelago	0.1104	0.1524	4	458	2282	2008.970938
archives	-0.6863	-0.3346	1	301	1064	2012.032657
arctic	0.0937	0.2604	3	1506	101124	2009.446222
arctic alaska	-0.086	-1.0565	1	134	372	2010.011811
arctic archipelago	0.1758	0.0858	4	291	1064	2009.927203
arctic climate	0.1149	0.6531	3	435	2270	2010.487654
arctic ocean	-0.6491	0.3358	3	299	1090	2011.521277
arctic oscillation	0.9648	0.1003	2	785	10182	2011.438335
arctic regions	-0.7081	-0.6239	1	137	364	2009.653333
arctic sea ice	0.2549	0.5021	3	652	5686	2013.34715
area	0.0476	0.0029	1	1291	32166	2008.578401
areal	0.0573	1.062	3	110	254	2008.079755
areal extent	0.8192	0.8249	3	127	322	2007.510417
argo	-0.8075	-0.3908	1	128	342	2013.322807
array	-0.5091	-0.0107	1	309	1084	2008.688032
art	0.68	0.4061	2	202	590	2011.464115
artifacts	0.5279	-0.4683	1	147	384	2008.355556
asia	0.9237	0.1349	2	791	9332	2010.858426
asian	0.93	0.1415	2	348	1576	2011.471582
asian monsoon	0.7153	-0.0216	2	141	386	2010.222892
aspect	-1.1985	0.4452	5	197	632	2009.986813
assembly	-0.2822	-1.1108	1	30	114	2010.574959
assessment	-0.1773	-0.4902	1	973	12258	2011.123547
assimilation	-0.5332	0.1893	3	683	6322	2009.247808
association	1.0352	-0.0369	2	595	4232	2009.179096
asymmetry	0.4079	0.6606	2	361	1592	2008.648336
atlantic	0.3826	0.4342	2	1288	44742	2008.590945
atlantic meridional overturning circulation	-0.8896	0.5578	5	365	1814	2014.527473
atlantic multidecadal oscillation	0.5773	-0.5792	4	463	2858	2014.897436
atlantic oscillation	0.854	0.3162	2	848	11462	2010.686288
atlantic water	-0.5951	1.1448	3	158	572	2009.77451
atm	-0.2637	0.8693	6	151	450	2011.819026
atmosphere	-0.0743	0.3994	3	1346	44592	2008.501913
atmospheric carbon dioxide	-0.6864	0.8791	3	164	494	2008.128205
atmospheric circulation	0.6981	0.3184	2	992	16248	2010.428462
atmospheric circulation patterns	0.5559	-0.3843	2	477	2422	2010.923567
atmospheric conditions	0.588	-0.2242	2	279	956	2010.137931
