id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
aabw	0.2701	0.6953	4	1071	14140	140	2008.764045
aaiw	-0.384	0.875	3	991	15332	140	2008.433333
abundance	0.2449	0.8931	5	509	2868	32	2012.159769
abyssal	-0.4377	-0.0485	3	1116	14978	160	2008.271255
abyssal circulation	-0.4083	-0.2327	3	620	3514	35	2008.710526
abyssal waters	-0.3398	0.0642	3	480	2334	24	2009.9
acc	-0.8661	-0.0987	5	1298	37224	362	2008.705882
acc fronts	-0.9241	0.364	5	585	3778	33	2009.914286
acc transport	-0.8137	-0.5271	5	707	6180	58	2007.969231
acceleration	-0.4835	-0.0814	1	593	2634	28	2012.217042
access	0.8839	0.0127	2	390	1408	15	2013.769679
accumulation	0.9759	-0.1928	2	569	2804	28	2011.1675
accuracy	0.1306	-0.3483	2	757	4528	45	2012.031588
acoustic	-0.4801	0.6823	3	453	1836	19	2009.018519
acoustic doppler current profiler	-0.6205	0.5559	3	482	2192	22	2007.4
action	-0.4399	-0.3653	1	481	2030	21	2009.595808
activity	0.3135	-0.1788	4	1193	13478	132	2011.741747
adcp	-0.571	0.3361	3	702	4216	39	2007.919643
addition	0.0425	0.037	5	1228	13734	139	2012.072879
adelie	0.9433	0.6573	4	595	4026	36	2010.903226
adelie land	0.9335	0.647	4	426	1992	17	2011.741935
adjoint	-0.3973	-0.7969	1	416	1954	19	2010.905405
adjustment	-0.1474	-0.7414	1	679	3790	40	2011.543956
advance	0.4785	-0.1936	2	606	2742	25	2012.223684
advection	-0.049	0.0123	1	1261	17394	168	2010.324162
africa	-0.4871	0.6659	3	940	9096	87	2009.943515
age	0.4713	0.4367	2	763	5566	57	2010.368729
agreement	-0.0892	-0.4523	1	1244	17172	168	2010.554303
agulhas	-0.7913	0.3368	3	1080	15726	149	2007.994565
agulhas current	-0.7736	0.3248	3	799	6528	60	2007.780822
agulhas leakage	-0.64	-0.2189	3	399	2150	21	2012.928571
agulhas return current	-0.7613	0.4969	5	567	3088	29	2006.258065
agulhas rings	-0.9731	0.3603	3	559	3240	31	2008.625
air	0.8535	-0.1683	4	760	4976	47	2011.976061
air temperature	0.9172	-0.1698	4	532	2524	23	2012.218924
air-sea	0.7096	-0.4606	2	892	7604	71	2011.236364
air-sea exchange	0.7959	-0.1788	2	486	1822	16	2010.454545
air-sea fluxes	0.7399	-0.266	2	669	3948	36	2011.183908
air-sea interaction	0.15	-0.3093	4	637	3020	29	2011.566667
al	-0.2506	-0.1404	1	757	4158	45	2010.555118
algorithm	0.4798	-0.3375	2	726	4046	41	2011.916828
alkalinity	1.067	-0.1596	2	581	3248	28	2012.733333
altimeter	-0.9218	-0.3511	5	839	8890	92	2009.018667
altimeter data	-0.8438	-0.4588	5	699	5644	58	2007.217143
altimetry	-0.8792	-0.0344	5	1040	15390	158	2011.731674
altimetry data	-1.009	0.0853	5	600	3622	38	2011.834356
america	-0.5572	0.1578	3	649	3690	31	2011.440252
amoc	0.1346	-1.1257	1	509	3222	31	2015.163347
amplitude	-0.5148	-0.5392	1	952	8642	90	2010.372165
analysis	0.0601	-0.0054	5	1452	54840	548	2011.656462
annual cycle	0.2577	0.0765	5	682	3494	33	2009.189944
annular mode	0.6508	-0.4444	2	948	10684	98	2012.262136
anomaly	-0.1641	-0.083	5	1295	24268	226	2010.997204
antarctic	-0.2007	0.1892	5	1460	136780	1377	2010.797819
antarctic bottom water	0.2129	0.5443	4	1287	30376	307	2008.305764
antarctic bottom water formation	0.9759	0.3291	4	496	2316	20	2011.961538
antarctic circumpolar current	-0.7046	-0.1961	1	1415	70634	698	2008.485816
antarctic circumpolar current front	-0.073	0.8509	5	570	3144	27	2009.75
antarctic coast	0.9722	0.2184	4	373	1462	15	2011.285714
antarctic continent	0.2835	0.271	5	520	2288	23	2010.136364
antarctic continental shelf	0.7229	0.6193	4	611	3784	33	2012.46875
antarctic continental slope	0.5565	0.5502	4	418	1948	19	2010.478261
antarctic front	-0.056	0.9796	5	454	2146	22	2007.7
antarctic ice	1.0711	0.1629	4	408	1802	17	2012.455772
antarctic intermediate water	-0.5332	0.7514	3	1179	24664	224	2007.646865
antarctic margin	0.7626	0.2663	4	493	2120	16	2013.2
antarctic peninsula	-0.0012	0.6881	3	770	5382	53	2011.82716
antarctic polar front	0.0549	0.8158	5	593	3828	37	2007.967213
antarctic sea	0.8639	-0.1862	4	610	3182	29	2013.249337
antarctic sea ice	0.8812	-0.2124	4	582	2998	27	2013.381098
antarctic shelf	0.8989	0.2285	4	546	2554	24	2012.952381
antarctic slope current	0.4589	0.5584	4	425	1880	15	2015.083333
antarctic slope front	0.3283	0.8327	4	651	4016	32	2010.588235
antarctic surface water	0.5154	0.7982	4	571	3040	27	2009.521739
antarctic waters	-0.145	0.9587	5	387	1450	16	2008.982456
antarctic zone	0.5334	0.4864	4	605	2966	25	2009.871795
antarctica	0.6431	0.3543	4	1322	28158	275	2011.220175
anthropogenic	1.0754	-0.2454	2	449	2234	23	2012.98995
anthropogenic carbon	1.0786	-0.3082	2	743	6406	60	2013.384615
anthropogenic co2	1.126	-0.2792	2	423	1986	20	2012.682927
anticyclone	-0.8606	0.2255	5	629	3822	37	2010.766562
apf	-0.0309	0.8479	5	353	1576	15	2009
apparent oxygen utilization	0.9523	0.08	2	406	1810	17	2012.611111
application	-0.046	-0.3876	2	936	6804	76	2012.361823
approach	0.0475	-0.3317	2	1104	10764	110	2013.011682
approximation	-0.7515	-0.6272	1	530	2668	33	2011.077491
arabian sea	-0.2912	0.7787	3	442	1938	17	2009.5
archipelago	-0.5269	0.3536	5	478	2032	23	2011.082609
arctic	0.1052	-0.4835	1	991	9342	103	2012.189504
arctic ocean	-0.1706	-0.5827	1	765	5166	57	2010.893127
area	0.2161	0.3842	4	1415	39648	390	2011.37466
argentine basin	-0.8169	0.9072	3	593	3876	33	2003.230769
argo	-0.3125	0.1479	3	1106	15518	148	2013.487705
argo data	-0.4996	0.2317	3	643	3946	37	2014.074074
argo floats	-0.2941	0.2643	3	948	8972	84	2014.111111
array	-0.6251	0.2781	3	904	7332	73	2011.101235
assemblages	0.1099	0.8876	5	328	1354	16	2012.247588
assessment	0.7759	-0.5528	2	916	7888	71	2013.024899
assimilation	0.059	-0.6397	2	762	5426	55	2012.629787
association	-0.3078	-0.0866	5	475	1870	18	2011.081886
asymmetry	0.1943	-0.4456	5	468	1864	18	2011.45509
atlantic	-0.3022	0.1077	3	1420	69072	670	2010.236737
atlantic circulation	-0.3553	-0.3128	3	457	2006	19	2010.478788
atlantic current	-1.0481	0.3875	3	555	3252	31	2007.777251
atlantic meridional circulation	0.1099	-0.9323	1	512	2688	24	2014.038889
atlantic meridional overturning	0.0278	-1.0375	1	534	3276	30	2014.908714
atlantic meridional overturning circulation	0.0233	-1.0383	1	530	3174	29	2014.995726
atlantic ocean	-0.3804	0.2076	3	1236	20860	201	2009.615463
atlantic ridge	-0.9948	0.3978	3	365	1648	18	2009.058824
atlantic sector	0.4575	0.4916	5	624	3466	33	2011
atlantic southern ocean	0.4841	0.0044	2	766	4682	41	2011.613208
atlantic water	-0.22	0.5028	3	736	4586	40	2010.080056
atlas	0.467	-0.157	2	630	3312	30	2010.318182
atm	1.0108	-0.4808	2	333	1726	15	2014.48731
atmosphere	0.7	-0.3108	2	1257	20562	194	2011.581199
atmospheric circulation	0.7775	-0.378	4	475	1804	16	2012.002058
atmospheric co2	1.1331	-0.559	2	418	2334	20	2013.148148
attention	-0.4087	-0.497	1	545	2272	25	2012.917808
austral summer	0.1265	0.8255	5	839	6430	63	2012.0726
austral winter	0.2554	0.5102	4	608	2998	30	2010.937853
australia	-0.5144	0.5397	3	954	9216	80	2010.617438
australian	-0.2044	0.585	3	785	5528	50	2010.832787
autumn	0.2335	0.7614	5	535	2580	28	2011.726708
availability	0.6484	0.3266	2	596	2850	26	2012.908905
available potential energy	-0.627	-0.8679	1	499	2412	26	2011.804348
balance	-0.364	-0.6697	1	1179	16300	166	2011.539286
bands	-0.2201	0.3058	3	699	4142	35	2010.501538
baroclinic	-0.9332	-0.524	1	873	8796	95	2009.016779
baroclinic instability	-0.6796	-0.8415	1	774	6488	71	2008.354651
baroclinic tides	-0.7722	-0.2842	1	340	1352	15	2008.117647
baroclinic transport	-1.0202	0.3375	5	508	2952	25	2006.395833
barotropic	-0.8801	-0.5172	1	1079	16378	179	2008.382671
barotropic tide	-0.8677	-0.4786	1	390	1878	23	2008.193548
barotropic transport	-0.9796	-0.3426	1	381	1586	16	2005.387097
barrier	-0.3069	0.2456	4	850	5540	55	2010.248366
basin	-0.5143	0.3589	3	1413	48478	478	2010.09645
bathymetry	-0.5795	0.0796	5	979	8642	87	2011.112299
bay	0.6433	0.577	4	906	8586	82	2010.11814
behavior	-0.1992	-0.545	1	841	5306	56	2011.103784
behaviour	0.408	0.1605	4	526	2090	21	2010.943662
belt	-0.5597	0.039	3	635	3156	29	2010.458182
bengal	-0.4413	0.6348	3	368	1508	15	2010.568966
benguela	-0.7556	0.7887	3	546	3418	29	2007
benguela current	-0.9399	0.7277	3	450	2584	22	2004.384615
bering	-0.3602	0.1128	3	509	2120	20	2009.747987
beta	-0.9663	-0.5823	1	480	2418	27	2009.417219
beta plane	-1.003	-0.8095	1	319	1484	22	2000.714286
bias	0.496	-0.5812	2	715	4450	43	2013.065051
biases	0.7038	-0.5335	2	742	5186	50	2013.826211
bifurcation	-1.0679	0.6055	3	377	1610	16	2008.516667
biogeochemical model	1.0629	-0.4317	2	392	1732	19	2014.390805
biogeochemical tracers	0.7126	-0.4265	2	419	1610	15	2013.529412
biogeochemistry	0.8135	-0.3846	2	750	4866	44	2014.025316
biological production	0.7483	-0.181	2	462	1956	19	2012.25974
biological productivity	0.951	0.1018	2	481	1942	17	2011.175824
biology	0.9053	-0.0412	2	509	2032	16	2011.284153
biomass	0.4841	0.6936	5	571	3724	40	2012.021332
bloom	0.5849	0.5818	5	644	3816	37	2012.055462
body	-0.1953	0.5225	5	459	1702	20	2011.227462
bottom boundary layer	-0.811	-0.5775	1	441	2060	22	2008.092308
bottom currents	-0.7921	0.1819	3	577	3154	34	2008
bottom friction	-0.8751	-0.9086	1	479	2786	29	2004.809524
bottom pressure	-0.7658	-0.684	1	594	3980	42	2008.664
bottom topography	-0.8683	-0.2318	1	1000	10064	106	2005.328205
bottom water	0.2273	0.5926	4	1362	42358	426	2008.220624
bottom water formation	0.7922	0.4625	4	777	6052	54	2007.378049
boundary	-0.684	0.4508	3	1344	30110	294	2008.420868
boundary conditions	-0.155	-0.828	1	637	3660	36	2010.430736
boundary current	-0.8062	0.1754	3	1209	18262	174	2008.432071
boundary flow	-0.9082	0.8432	3	393	1724	15	2005.21875
boundary layer	-0.4442	-0.6159	1	893	7432	77	2009.971272
box model	0.0563	0.4403	3	501	2388	21	2006.816327
bransfield	0.0316	0.9898	3	339	1420	15	2008.929577
bransfield strait	0.0303	0.9887	3	339	1420	15	2008.107692
brazil	-0.8082	0.5659	3	1000	13086	125	2006.401914
brazil basin	-0.9556	0.5826	3	564	4100	43	2002.466667
brazil current	-0.9042	0.6531	3	776	6836	63	2004.657143
brazil-malvinas confluence	-0.6658	0.3452	5	700	4682	43	2007.255319
brine rejection	1.1706	0.3001	4	399	1868	16	2007.467532
budget	0.3018	-0.6068	2	1263	20040	188	2011.153068
buoy	0.1715	0.3551	5	544	2272	24	2007.544828
buoyancy	-0.0998	-0.9126	1	1158	19082	190	2009.220441
buoyancy flux	0.0075	-0.9607	1	869	8174	78	2007.802469
buoyancy forcing	-0.1614	-1.2294	1	518	2968	30	2007.539683
c-14	0.6663	0.0904	2	395	1560	15	2010.938406
c-ant	0.9962	0.1581	2	440	2262	21	2013.2
calving	1.2113	0.47	4	390	2270	22	2012.793722
canyon	-0.3925	0.2499	1	393	1714	20	2010.723005
capacity	0.7185	-0.2725	2	606	3182	27	2013.094099
cape	-0.1233	0.8304	3	862	6666	65	2009.255255
cape basin	-0.8257	0.8025	3	439	2160	20	2007.807692
carbon	0.9579	-0.2394	2	1252	28230	270	2013.107259
carbon budget	1.0509	-0.521	2	521	3132	27	2012.466216
carbon cycle	1.0488	-0.3948	2	822	8150	74	2014.082353
carbon dioxide	1.0401	-0.2605	2	866	8208	75	2013.148903
carbon sinks	1.1603	-0.5343	2	506	3086	32	2013.912698
carbon uptake	1.0703	-0.4547	2	597	3846	35	2013.70922
carbonate	1.0532	0.1777	2	545	2762	25	2011.940552
cascade	-0.552	-0.6064	1	456	1924	20	2012.034783
case	-0.4786	-0.5869	1	1113	12674	140	2010.847835
case study	-0.264	-0.2213	4	457	1750	19	2012.678179
cause	0.2225	-0.2553	2	950	7184	69	2011.675244
cell	-0.3337	-0.5007	1	1020	11980	117	2011.359784
central water	-0.2305	0.9113	3	676	4944	44	2007.57
century	0.8863	-0.3771	2	773	5538	54	2012.205869
cfc	0.587	0.6115	2	826	7918	82	2004.617284
cfc-11	0.7049	0.1979	2	612	3990	42	2005.583333
cfc-12	0.8065	0.3037	2	546	3444	36	2006.346154
chain	-0.7297	0.6577	3	473	2194	23	2011.096866
challenges	0.4203	-0.6916	2	620	3210	31	2014.48237
changes	0.491	-0.2226	2	1455	68976	693	2012.206219
channel	-0.8363	-0.1877	1	1121	15748	174	2009.903036
channel flow	-0.9494	-0.8511	1	381	1818	22	2011.147059
characteristics	-0.366	0.4112	3	1312	22374	222	2010.936545
characterization	-0.1363	-0.1536	2	450	1644	16	2012.72969
chemical	0.2718	0.5218	5	547	2286	21	2011.607029
chemistry	1.0406	-0.1767	2	510	2164	19	2012.465976
china	0.6277	-0.3164	2	438	2034	20	2013.948798
chlorophyll	0.4144	0.5839	5	740	4792	49	2011.700197
chlorophyll alpha	0.2397	0.8459	5	420	1948	21	2012.767568
circulation	-0.2201	-0.2176	1	1456	109006	1055	2010.44219
circulation changes	0.6612	-0.5675	2	578	3122	30	2012.23125
circulation model	-0.0095	-0.8325	1	1188	17852	166	2009.61811
circulation patterns	-0.5563	0.5406	3	783	5338	43	2010.597956
circulation variability	-0.2028	-0.2397	2	646	3128	28	2010.532995
circumpolar	-0.6064	-0.0644	5	1448	85910	844	2008.65295
circumpolar current	-0.7071	-0.205	1	1416	71396	710	2008.384884
circumpolar deep	0.1279	0.8872	3	1217	21306	186	2009.743363
circumpolar deep water	0.1371	0.8924	3	1186	19392	168	2009.940625
citation	0.3325	-0.4685	4	633	3358	45	2010.689507
climate	0.5923	-0.5678	2	1403	49746	484	2012.847305
climate change	0.887	-0.456	2	1045	13250	131	2013.106897
climate model	0.6136	-0.7672	2	1142	18004	176	2013.16224
climate system	0.7001	-0.4393	2	819	5924	59	2012.717277
climate variability	0.7623	-0.4414	2	821	5772	53	2012.20898
climatology	0.0773	-0.1713	2	1068	9882	95	2010.440048
closure	-0.5495	-0.9321	1	537	2674	28	2009.644444
cloud	0.516	-0.4581	4	405	1504	16	2010.976891
cmip5	0.9991	-0.7261	2	571	4080	37	2015.883929
cmip5 models	1.0112	-0.6741	2	449	2322	22	2015.970588
co2	1.0384	-0.3512	2	1060	17898	177	2013.165022
co2 concentrations	1.056	-0.6523	2	489	3096	26	2012.696319
co2 emission	1.1107	-0.649	2	303	1852	21	2014.889447
co2 flux	1.1394	-0.2757	2	623	4520	40	2014.428571
co2 sink	1.132	-0.4884	2	467	2898	29	2014.30303
co2 uptake	1.1646	-0.3731	2	452	2308	22	2014.325
coast	0.1861	0.5545	4	1217	16142	157	2010.134684
coastal	0.3724	0.6081	4	898	6872	64	2010.739865
coastal currents	-0.031	0.6558	4	450	1868	16	2008.525974
coastal polynyas	1.0752	0.3194	4	626	4816	43	2008.788136
coastal regions	0.8121	0.0427	4	451	1690	15	2011.633188
coastline	0.38	-0.5017	4	487	1950	19	2010.273529
coefficients	-0.1635	-0.2364	1	685	3394	32	2010.617647
coherent	-0.5566	-0.4358	1	713	4296	46	2010.047859
cold	-0.0748	0.5182	4	811	5420	48	2011.824903
cold water	-0.0294	0.8332	3	638	3348	30	2009.137255
collection	0.1904	0.1199	2	414	1454	16	2011.129412
column	0.2802	0.3027	4	1308	20580	196	2010.224159
community	0.7234	0.1928	2	989	11016	110	2013.620087
community production	1.0733	0.1937	2	392	1722	15	2014.055556
comparison	-0.1816	-0.124	5	1312	20028	210	2010.70057
