id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.8825	-0.189	1	424	1694	17	2011.125
aaiw	-0.9121	-0.7447	4	369	2160	23	2008.433333
abyssal	-0.6508	0.1421	4	604	3406	33	2008.271255
acceleration	-0.2141	0.6939	2	503	2140	19	2012.217042
accumulation	0.1905	-0.7414	4	561	2678	24	2011.1675
accuracy	0.1589	0.3625	2	448	1774	22	2012.031588
acoustic	-0.9979	-0.1007	3	437	1836	18	2009.018519
acoustic doppler current profiler	-1.008	-0.3676	3	354	1616	17	2007.4
action	0.3398	0.3421	2	334	1172	12	2009.595808
activity	0.2673	-0.2921	1	822	6768	63	2011.741747
adcp	-1.0111	-0.144	3	477	2774	28	2007.919643
addition	-0.3365	-0.1116	4	963	9220	86	2012.072879
adjoint	0.9418	0.3897	1	326	1266	12	2010.905405
adjustment	0.3385	0.6269	1	724	4748	45	2011.543956
advance	0.7977	-0.4381	1	373	1364	13	2012.223684
advection	0.2584	0.0405	1	1059	14370	138	2010.324162
africa	-0.4257	-0.7107	4	402	1682	15	2009.943515
age	-0.0236	-0.8444	4	547	3458	32	2010.368729
agreement	-0.1377	0.514	2	1024	12744	121	2010.554303
air	0.8863	0.1056	1	835	7430	70	2011.976061
air temperature	1.126	0.0084	1	677	5242	48	2012.218924
air-sea	0.3363	-0.4869	1	735	5104	45	2011.236364
air-sea fluxes	0.7232	-0.0609	1	436	1866	17	2011.183908
air-sea heat fluxes	0.3757	-0.4206	1	483	2086	18	2012.648649
air-sea interaction	0.5164	-0.6902	3	552	2946	26	2011.566667
al	-0.3074	0.3238	2	617	3190	32	2010.555118
algorithm	-0.0601	0.67	2	453	1902	21	2011.916828
altimeter	-0.3032	0.1781	3	622	4056	38	2009.018667
altimeter data	-0.2707	0.2091	3	547	3046	28	2007.217143
altimetry	-0.5536	-0.0289	3	710	5958	61	2011.731674
altimetry data	-0.3614	0.0402	3	359	1404	13	2011.834356
amo	1.1702	-0.3396	1	461	2998	28	2014.908333
amoc	1.1226	-0.0651	1	981	18832	160	2015.163347
amplitude	0.3387	0.2402	3	894	7810	74	2010.372165
analysis	0.0058	-0.1703	3	1212	33752	332	2011.656462
analysis model	0.3409	0.2615	1	325	1014	11	2010.318966
analytical model	-0.6078	0.8636	2	266	888	11	2006.887324
analytical solution	0.1324	0.9508	2	281	1008	12	2010.041096
angle	-0.5943	1.0167	2	283	1042	13	2010.915493
annual cycle	0.035	0.1069	3	620	3342	29	2009.189944
annual variability	0.0019	-0.8309	3	398	1526	13	2012.096045
anomaly	0.581	-0.1707	1	1177	31654	291	2010.997204
antarctic	-0.4406	-0.0344	4	938	10204	101	2010.797819
antarctic bottom water	-0.5783	-0.3786	4	547	2878	24	2008.305764
antarctic circumpolar current	0.2384	0.7453	2	387	1588	17	2008.485816
antarctic intermediate water	-0.9281	-0.6122	4	546	4136	41	2007.646865
anthropogenic carbon	-0.2433	-1.1126	4	346	1606	16	2013.384615
anticyclone	-0.8813	0.6487	2	536	3130	35	2010.766562
anticyclonic eddy	-0.9727	0.6561	2	291	1070	12	2008.5
application	0.0237	0.6092	2	690	3666	40	2012.361823
approach	0.2097	0.3859	2	915	7520	77	2013.011682
approximation	-0.3021	1.0419	2	289	1030	15	2011.077491
archipelago	0.024	-0.2936	3	396	1422	13	2011.082609
arctic	0.428	-0.2732	3	1188	31816	311	2012.189504
arctic basin	0.6325	-0.2004	1	297	1024	11	2009.680952
arctic climate	1.0758	-0.0741	1	326	1206	12	2013.150824
arctic freshwater	0.3247	-0.7519	3	392	1696	16	2012.838983
arctic greenland	0.1667	-0.5465	3	415	1762	15	2011.165468
arctic intermediate water	-0.9773	-0.4731	4	420	2334	23	2006.116279
arctic mediterranean	-0.2033	-0.6001	3	451	2236	21	2008.704545
arctic ocean	0.3938	-0.1274	3	1003	13008	126	2010.893127
arctic sea ice	1.3573	-0.0817	1	425	2342	21	2014.367364
arctic seas	1.1812	-0.1468	1	539	3106	28	2014.010669
arctic waters	0.2734	-0.5615	3	506	2226	20	2011.466431
area	-0.2036	-0.0524	4	1190	26044	256	2011.37466
argo	0.0431	-0.2629	3	678	4836	52	2013.487705
argo floats	-0.3137	-0.508	3	502	2652	29	2014.111111
array	-0.4794	-0.0045	3	769	6604	63	2011.101235
