id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
16s rrna	1.3423	0.7267	3	173	658	2012.266949
1960s	-0.8366	-0.3228	4	260	920	2007.723464
20th century	-0.2308	0.0999	4	379	1460	2009.625488
ablation	0.0851	-0.5327	2	188	496	2009.488128
abrupt	-0.1961	-0.5589	4	193	524	2008.765363
absorption	0.3296	0.529	3	295	930	2007.595437
abundance	1.0383	0.2353	3	822	7012	2008.576098
acceleration	-0.247	-0.7739	2	273	854	2010.334658
access	-0.2986	-0.1893	1	500	2088	2011.56924
accumulation	0.5535	-0.1502	2	1033	10630	2008.145056
accumulation rates	1.2082	0.1801	3	261	850	2006.241987
accuracy	-0.8915	-0.2596	1	890	9292	2010.08255
acetate	1.2239	0.479	3	233	828	2008.438819
acidity	0.5602	0.417	3	223	722	2006.631579
acids	1.0989	0.3631	3	351	1468	2008.50144
acquisition	-0.4162	-0.4597	1	351	1220	2009.628664
actinobacteria	1.3563	0.812	3	127	406	2013.37931
action	0.3961	-0.3654	2	338	1148	2008.283128
activation	0.3714	-0.1581	2	223	672	2007.091503
active layer	-0.058	0.1194	4	1395	35126	2010.711438
active layer thickness	-0.7418	0.4468	4	988	12770	2013.433476
activity	0.2229	0.0902	3	1226	16806	2008.699084
adaptation	-0.4645	0.2882	1	470	2230	2009.276196
addition	0.1267	0.21	4	1121	12402	2009.285986
administration	-1.0618	0.2539	4	215	622	2008.585608
advance	-0.5143	-0.2815	1	531	2398	2009.278139
advection	-0.4255	-0.2224	4	329	1252	2008.192895
aerial	-0.1335	-0.7788	1	331	1202	2008.989071
aerial photographs	-0.3632	-0.902	2	370	1494	2008.57197
age	0.7254	-0.2641	2	838	6826	2007.797965
aggradation	0.4987	-0.7284	2	595	3428	2008.813688
aggregates	0.9361	0.4324	3	226	650	2008.541433
agreement	-0.7912	0.1655	1	823	6490	2007.890269
agriculture	0.0831	-0.2218	2	139	348	2011.68272
air	-0.6901	0.1875	4	1350	36104	2008.618101
air temperature	-0.8842	0.2051	4	1108	19178	2010.069914
airborne	-0.8054	-0.0178	1	259	798	2006.453571
aircraft	-0.4949	0.4916	1	286	1072	2006.227098
al	0.627	0.1481	3	506	2182	2007.388849
alaska	0.1957	-0.1	1	1454	40990	2008.146234
alaskan	0.296	0.4731	3	798	6912	2008.305085
alaskan arctic	-0.2469	0.893	4	328	1484	2010
albedo	-0.7514	0.7418	4	475	2444	2009.324338
alberta	0.3762	-0.8044	2	181	556	2007.302682
algorithm	-0.9753	-0.158	1	642	4186	2010.210584
allocation	0.1781	0.3279	2	164	440	2008.708333
alpine	-0.2524	0.7338	4	828	9464	2009.603145
alteration	0.0503	-0.3361	1	341	1146	2008.680165
