id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	-0.4561	-0.9988	2	386	1514	15	2011.125
absorption	-0.2451	0.0701	1	1183	18334	171	2011.930081
absorption coefficient	0.2288	0.3145	1	529	2612	24	2011.888889
absorption cross section	0.2104	-0.7493	2	328	1220	11	2015.166667
abundance	0.6499	-0.4137	3	953	7596	69	2012.159769
access	-0.4349	-0.0645	2	354	1160	13	2013.769679
accumulation	0.7544	0.3494	4	1064	12676	112	2011.1675
accumulation mode	0.7846	0.6247	4	911	9290	80	2009.950617
accumulation mode particles	0.7028	0.7934	4	547	2640	22	2009.681818
accuracy	-0.1584	0.0858	1	717	3674	38	2012.031588
acids	1.0203	-0.5884	3	836	9366	105	2009.964637
activation	0.8314	0.111	4	624	4132	39	2011.521429
activity	0.3252	-0.2175	3	1129	11688	116	2011.741747
addition	0.1212	-0.1624	3	1159	11780	110	2012.072879
advection	0.3639	0.6818	4	613	3056	28	2010.324162
aerocom	-1.1301	-0.2374	2	354	1382	11	2013.545455
aeronet	-0.4208	1.0295	1	712	5564	51	2013.245283
aerosol	0.2864	-0.0097	3	1363	103468	1030	2011.217627
aerosol black carbon	0.1628	0.0217	4	368	1362	15	2009
aerosol burden	-0.7067	-0.1227	2	419	1558	15	2011.411765
aerosol chemical composition	0.7433	0.4116	3	567	2502	19	2010.55
aerosol chemistry	0.4618	0.21	3	454	1718	15	2012.157895
aerosol composition	0.8885	0.0153	3	702	4030	36	2010.475
aerosol concentrations	0.0458	0.1957	4	922	6498	59	2012
aerosol deposition	-0.286	-0.8475	2	438	1704	15	2013.7
aerosol dynamics	0.6176	0.5152	4	388	1570	14	2010.071429
aerosol effect	-0.8338	-0.4676	2	750	5304	48	2010.771084
aerosol extinction	-0.3196	0.9279	1	582	2810	23	2012.555556
aerosol forcing	-0.7685	-0.4841	2	691	4474	39	2012.561404
aerosol formation	0.8537	0.0903	4	565	3006	28	2011.733333
aerosol layers	-0.0738	0.9945	1	618	3554	31	2009.410256
aerosol mass	0.7929	0.0015	3	937	8128	72	2011.671053
aerosol mass spectrometer	0.9413	0.1864	3	458	2026	16	2014
aerosol mass spectrometry	0.9546	0.1063	3	360	1312	11	2014.25
aerosol model	-0.4473	-0.2113	2	559	2444	23	2011.290323
aerosol optical depth	-0.5577	0.7031	1	1043	13820	123	2012.530769
aerosol optical properties	-0.1479	0.9416	1	784	6504	57	2012.931034
