id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.4721	-0.0595	6	398	1416	13	2011.125
ablation	0.3544	-0.2902	6	856	6252	66	2012.339583
absorption	-0.1064	-1.0219	2	261	930	11	2011.930081
acceleration	-0.1527	0.668	3	1060	11730	120	2012.217042
access	0.3829	-0.6576	2	872	6884	75	2013.769679
accretion	0.2962	-0.8097	2	697	4654	50	2009.336634
accretion ice	0.2815	-0.8797	2	507	2794	34	2009.195122
accumulation	-0.4405	-0.4418	6	1318	24232	254	2011.1675
accumulation rates	-0.7939	-0.4499	2	893	8420	90	2010.201613
accuracy	-0.7963	0.1622	4	1058	11548	133	2012.031588
action	0.1087	0.3491	3	404	1440	18	2009.595808
activity	-0.0477	-0.5805	2	845	5640	60	2011.741747
adaptation	0.3155	-0.0444	4	462	1644	18	2013.458029
addition	0.1281	-0.2401	1	1041	7946	84	2012.072879
adelie	0.2653	-0.6173	6	349	1216	12	2010.903226
adjoint	-0.6032	0.6282	4	312	1384	16	2010.905405
adjustment	-0.389	0.2904	5	684	3750	38	2011.543956
advance	0.0199	0.4648	5	962	8240	90	2012.223684
advection	0.7514	-0.176	1	880	6730	62	2010.324162
age	-0.007	-0.2205	5	922	7538	75	2010.368729
agreement	0.1984	0.1845	4	1115	10840	111	2010.554303
air	0.5214	-0.3225	6	863	6558	65	2011.976061
air temperature	0.748	-0.1018	6	639	3900	39	2012.218924
airborne	-0.8142	-0.6775	2	563	2802	30	2011.99435
airborne radar	-0.7637	-0.6719	2	717	4568	50	2012.707317
aircraft	-0.2241	-0.6569	2	380	1292	16	2010.584541
ais	0.2229	0.4011	6	677	3958	39	2014.4625
al	-0.1106	0.399	4	419	1512	18	2010.555118
algorithm	-0.6344	0.2168	4	792	4766	54	2011.916828
alternative	0.307	0.3872	4	342	1030	12	2011.356436
altimeter	-1.0584	-0.1528	3	758	6840	70	2009.018667
altimeter data	-1.0981	-0.2756	3	518	3036	30	2007.217143
altimetry	-1.0054	-0.0753	3	1089	15700	154	2011.731674
altimetry data	-1.1748	-0.1174	3	590	3508	32	2011.834356
altitude	-0.3544	-0.4897	6	335	1192	14	2011.218807
amery ice shelf	0.0677	-0.3835	3	837	6672	76	2010.068966
amplitude	-0.1686	-0.1102	3	826	5096	61	2010.372165
amundsen	0.6467	0.4715	5	1215	21318	197	2012.553846
amundsen sea	0.6473	0.4784	5	1182	19430	180	2013.842105
amundsen sea embayment	0.2523	0.6753	5	801	6608	61	2014.621622
amundsen sea sector	0.0903	0.951	5	658	4540	40	2013.240741
analogue	0.348	-0.1772	2	346	1146	14	2011.282609
analysis	-0.3503	-0.2013	3	1492	32630	368	2011.656462
analytical solution	-0.5739	0.9747	4	285	1236	16	2010.041096
angle	-0.552	-0.2409	2	275	836	12	2010.915493
annular mode	1.0607	-0.0555	1	413	1856	15	2012.262136
anomaly	0.3621	-0.2971	1	924	6736	69	2010.997204
antarctic	0.1394	-0.1115	6	1572	114308	1236	2010.797819
antarctic bottom water	1.4671	-0.0784	1	507	3066	25	2008.305764
antarctic circumpolar current	1.3201	0.2288	1	353	1446	12	2008.485816
antarctic coast	0.616	0.3144	1	416	1530	13	2011.285714
antarctic coastline	0.745	0.2389	1	383	1452	14	2015.347826
antarctic continent	0.2003	-0.4944	1	599	2720	29	2010.136364
antarctic continental shelf	1.2849	0.175	1	495	2556	21	2012.46875
antarctic expedition	-0.6793	-0.9674	2	363	1738	21	2010.220588
antarctic glacier	-0.3574	0.7433	3	341	1178	12	2012.1
antarctic glaciology	-0.6239	-0.1407	3	863	5996	68	2015.47619
antarctic ice	0.0585	0.0891	5	1569	75194	787	2012.455772
antarctic ice sheet	-0.0606	0.185	5	1529	56280	574	2012.616541
antarctic ice shelf	0.5995	0.0055	1	870	6516	68	2012.618421
antarctic ice shelves	0.7311	0.188	1	1134	13228	133	2013.526667
antarctic icebergs	0.412	-0.2542	3	287	986	14	2011.375
antarctic lakes	-0.4409	-0.9123	2	504	2510	26	2011.024096
antarctic margin	0.8229	0.3024	5	394	1550	12	2013.2
antarctic peninsula	0.2042	0.1477	6	1265	22728	245	2011.82716
antarctic peninsula ice sheet	0.557	0.5654	5	339	1400	14	2013
antarctic peninsula region	-0.2145	0.1149	3	312	1108	12	2011.944444
antarctic plateau	-0.5839	-0.7832	2	415	1846	19	2010.053333
antarctic research	-0.5257	-0.9021	2	357	1406	16	2011.169643
antarctic sea	0.9276	-0.0086	1	568	2878	29	2013.249337
antarctic sea ice	1.0468	-0.2648	1	406	1760	17	2013.381098
antarctic shelf	1.105	0.2368	1	506	2308	19	2012.952381
antarctic slope front	1.4593	-0.0298	1	330	1570	14	2010.588235
antarctic subglacial lakes	-0.3853	-0.9587	2	491	2662	28	2009.766667
antarctic surface mass balance	0.2134	-0.5902	6	337	1654	17	2013.037037
antarctic surface water	1.1964	-0.2734	1	368	1480	12	2009.521739
antarctica	-0.0962	-0.2607	2	1573	125882	1376	2011.220175
antarctica ice	-0.1407	-0.0749	3	1379	20588	209	2011.795666
antarctica ice sheet	-0.2159	0.1564	5	689	3562	36	2011.758065
antarctica lakes	-0.3381	-0.9045	2	271	1000	11	2012.214286
antarctica mass balance	-0.7347	0.2201	6	338	1276	13	2010.416667
antarctica peninsula	0.3432	-0.3857	6	324	1198	12	2013.348837
ap	0.2149	0.1107	6	469	1982	19	2012.867647
application	-0.4857	0.1171	4	1095	9720	115	2012.361823
approach	-0.3436	0.2441	4	1274	15626	175	2013.011682
approximation	-0.5405	0.8822	4	768	7292	94	2011.077491
architecture	-0.6079	-0.0756	2	384	1226	13	2011.802326
archives	0.1486	-0.4244	1	457	1568	14	2012.62249
arctic	0.2825	-0.4615	1	568	2262	28	2012.189504
area	-0.1934	-0.2954	2	1551	55088	577	2011.37466
array	0.0562	-0.5477	2	435	1490	19	2011.101235
ase	0.5498	0.7018	5	442	1988	18	2014.863636
aspect	-0.5554	0.6908	4	363	1302	16	2011.749104
aspect ratio	-0.2877	0.7287	4	235	782	11	2010.805556
assemblages	0.5982	0.3479	5	405	1858	18	2012.247588
assessment	-0.3862	0.0694	4	1001	8012	87	2013.024899
assimilation	-0.6664	0.5469	4	590	3262	34	2012.629787
aster	-1.0138	-0.0424	3	272	1012	11	2013.326733
atlantic	0.8133	0.358	1	440	1764	17	2010.236737
atmosphere	0.7452	-0.2602	6	805	5234	52	2011.581199
atmospheric circulation	0.8085	-0.0811	6	401	1708	15	2012.002058
atmospheric temperature	0.3977	0.5707	5	385	1298	12	2010.509554
attention	0.2534	0.2577	4	525	1982	22	2012.917808
attenuation	-0.5539	-0.759	2	537	2874	32	2011.218605
aurora	-0.4658	-0.6072	2	345	1354	14	2012.75
austral summer	0.352	-0.4695	1	792	4856	50	2012.0726
austral winter	0.7761	-0.4142	1	325	1096	11	2010.937853
australian	0.4447	-0.7413	1	340	1150	11	2010.832787
automatic weather stations	0.431	-0.6855	6	364	1702	18	2012.382813
autumn	0.998	-0.3894	1	349	1236	11	2011.726708
availability	0.1974	-0.2375	1	511	1926	20	2012.908905
backscatter	-0.0988	-0.4856	3	536	2362	26	2011.126712
balance	-0.2596	-0.0676	6	1455	37738	381	2011.539286
balance model	0.1961	-0.5888	6	399	1426	14	2011.842391
balance velocity	-1.0558	0.2847	4	304	1074	12	2009.111111
bands	-0.1987	0.0314	3	355	1260	15	2010.501538
barotropic	1.1455	0.0214	1	399	1830	17	2008.382671
barrier	0.8892	-0.2879	1	415	1476	16	2010.248366
basal	-0.0192	0.217	4	1524	54130	538	2012.568254
basal channels	0.6756	0.8472	1	292	1208	12	2014.785714
basal conditions	-0.8684	0.1332	4	756	5320	53	2013.780822
basal crevasses	-0.0504	0.6778	3	387	1574	16	2013.846154
basal friction	-0.5048	0.956	4	568	3342	32	2015.45283
basal ice	0.2448	-0.3169	2	1067	9590	90	2011.547945
basal mass balance	0.2516	-0.4663	1	504	2264	19	2011.666667
basal melt	0.8234	0.0418	1	1240	20232	181	2013.159817
