id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	-0.7453	0.4877	5	124	290	3	2011.125
abrasion	0.0249	0.9197	1	180	480	4	2011.636364
abundance	-0.6244	-0.4829	2	128	272	3	2012.159769
acceleration	-0.1552	0.4241	1	347	960	8	2012.217042
accommodation	-0.5776	-0.4663	2	170	432	4	2010.75
accommodation space	-0.7737	-0.4197	2	101	220	2	2010
accretion	-0.2815	0.0035	2	304	848	7	2009.336634
accretionary coast	0.2344	0.7484	1	86	184	2	2008
accumulation	-0.4471	-0.0145	3	515	1738	16	2011.1675
accumulation rates	-0.886	-0.5279	3	205	480	3	2010.201613
accuracy	0.0551	0.2016	5	110	258	3	2012.031588
acidification	1.4847	-0.6851	4	15	60	2	2014.569472
acquisition	-0.4942	0.8376	5	125	258	2	2012.112069
action	-0.01	0.3198	1	478	1686	17	2009.595808
active layer	0.7997	0.8835	1	160	372	3	2012.332634
active margins	-0.8955	-0.5421	3	166	364	2	2013
activity	-0.1513	0.2165	3	649	2344	19	2011.741747
adaptation	-0.0168	0.9454	1	104	242	3	2013.458029
adcp	0.3185	-0.6357	2	94	198	2	2007.919643
addition	0.9353	-0.3929	4	362	1116	10	2012.072879
adjustment	-0.8615	-0.0725	3	142	330	3	2011.543956
advance	-0.7758	0.1704	5	270	732	7	2012.223684
adventfjorden	0.4031	0.8394	1	91	200	2	2015.8
aerial	-1.1248	0.4367	5	83	170	2	2012.465517
aerial imagery	0.3329	1.1994	1	121	272	2	2015.518519
aerial photographs	0.1117	0.9699	1	251	700	5	2010.535714
aerial photography	0.7394	0.8527	1	70	166	2	2010.65
age	-0.8684	0.1924	5	413	1440	13	2010.368729
aggradation	-0.4087	0.0612	5	314	918	8	2012.058824
aggregates	0.0848	-0.7031	2	95	208	2	2009.96124
agreement	1.3174	0.0895	4	211	630	5	2010.554303
air	0.4299	0.4901	1	430	1446	11	2011.976061
air temperature	0.3987	0.4352	1	353	1070	8	2012.218924
alabama	0.1958	-0.7437	2	84	188	2	2012.625
alaska	0.4403	0.335	1	715	3732	36	2010.597746
alaska beaufort sea	0.9852	0.1883	4	128	336	3	2012.545455
alaska north slope	0.3788	0.849	1	141	374	4	2011.71978
alaskan	0.2719	0.6949	1	324	962	8	2011.071579
alaskan beaufort sea	0.6836	0.7009	1	122	310	3	2012.294118
algorithm	0.2166	-0.2472	2	225	564	6	2011.916828
alluvial fan	-1.1517	-0.0271	5	148	368	3	2013.233333
alpine	-0.2209	0.5951	1	105	230	2	2012.280161
amundsen	0.6	-1.0011	2	122	282	2	2012.553846
amundsen gulf	0.5992	-1.0013	2	122	282	2	2012.409091
analogue	0.1482	-0.9564	2	117	264	3	2011.282609
analysis	-0.072	0.3701	1	924	4816	49	2011.656462
analysis system	0.0522	0.962	1	189	496	4	2011.352941
analytical model	0.4836	0.6589	1	65	136	2	2006.887324
anchor ice	-0.7238	-0.7511	2	98	216	2	2008.4
ancient	-0.7953	-0.1597	3	87	188	2	2012.618557
angle	-0.3112	-0.7599	2	122	262	2	2010.915493
annual	0.892	0.3222	4	94	222	3	2010.264808
annual cycle	-0.3613	-0.4056	2	104	234	2	2009.189944
annual variability	0.2324	1.0621	1	92	202	2	2012.096045
annual variation	0.522	0.9735	1	132	290	2	2011.130137
anomaly	0.1693	0.0751	1	201	448	5	2010.997204
antarctic	-0.9445	0.0395	3	146	366	5	2010.797819
antarctic peninsula	-1.2281	0.184	3	107	260	3	2011.82716
antarctica	-0.8309	-0.1123	3	305	780	7	2011.220175
application	-0.0929	0.2776	1	178	450	7	2012.361823
approach	0.0017	0.1597	1	443	1372	14	2013.011682
archipelago	-0.6516	0.2161	5	340	1076	10	2011.082609
architecture	-0.8741	-0.077	3	254	680	6	2011.802326
archives	-0.5472	0.2454	3	283	866	8	2012.62249
arctic	0.2872	0.1407	1	1306	12022	124	2012.189504
arctic alaska	0.5752	0.5894	1	173	448	5	2012.700935
arctic archipelago	-0.7058	0.1674	3	205	598	5	2012.018987
arctic assessment	0.7303	0.2635	1	91	192	2	2013.714286
arctic canada	0.4434	-0.4971	4	126	336	4	2010.042017
arctic change	0.2067	0.6008	1	78	164	2	2013.297297
arctic climate	0.3013	0.4003	1	446	1544	12	2013.150824
arctic coast	0.2005	0.6155	1	565	2552	26	2011.666667
arctic coastal dynamics	-0.0327	0.6396	1	153	380	5	2011.666667
arctic coastal erosion	0.5519	1.0363	1	265	876	7	2014.846154
arctic coastal zone	0.0817	1.1665	1	96	218	2	2007.8
arctic coastline	0.5552	0.9056	1	135	326	3	2012.111111
arctic conditions	0.1654	-0.0249	2	167	454	5	2011.352113
arctic delta	-0.562	-0.1759	5	111	242	2	2010.4375
arctic environments	0.1444	-0.1427	4	158	356	3	2012.708108
arctic freshwater	0.1838	-0.606	2	152	366	3	2012.838983
arctic ice	0.5139	-0.0114	2	199	536	5	2013.034188
arctic morphology	0.4029	0.8003	1	69	158	2	2010.666667
arctic observations	0.5695	0.1194	1	141	302	2	2013.9125
arctic ocean	0.4734	-0.2206	2	524	2056	20	2010.893127
arctic permafrost	0.4007	1.1071	1	157	422	4	2014.890173
arctic regions	0.2681	0.7614	1	152	358	3	2013.278834
arctic rivers	-0.166	0.1619	5	253	706	7	2011.739496
arctic sea ice	0.0844	0.8198	1	253	802	9	2014.367364
arctic sea ice extent	0.32	1.2429	1	92	222	2	2015.271084
arctic seas	0.1889	0.8646	1	351	1262	14	2014.010669
arctic sediments	-0.3023	-0.5431	3	111	254	3	2009.5875
arctic shelf	0.9731	-0.4151	4	301	906	10	2011.55615
arctic storm	-0.0219	0.5772	1	167	424	4	2012.55
arctic summer	0.6544	1.1095	1	131	282	2	2013.466368
arctic system	0.539	0.8756	1	139	344	3	2013.735294
arctic waters	0.633	-0.3823	2	110	236	3	2011.466431
area	-0.0218	-0.0186	3	1260	8962	84	2011.37466
asia	-0.8876	-0.0569	3	67	144	2	2013.012594
aspect	2.0055	-0.3657	4	84	330	2	2011.749104
assemblages	-0.5152	-0.2761	3	116	236	2	2012.247588
assessment	0.7048	-0.0654	4	435	1566	15	2013.024899
association	-0.4711	-0.2686	2	88	188	3	2011.081886
atlantic	-0.5591	-0.0291	3	211	528	5	2010.236737
atlantic coast	-0.5129	-0.5643	3	119	254	2	2009.675
atmosphere	1.4004	0.1167	4	180	576	4	2011.581199
attack	0.5824	1.1402	1	137	334	2	2009.363636
attention	-0.3557	0.4477	3	245	614	6	2012.917808
australia	-0.5487	0.0716	3	113	250	3	2010.617438
austre lovenbreen	-0.9256	0.6673	5	94	244	2	2016.333333
autumn	0.1455	0.2055	1	191	452	4	2011.726708
availability	-0.587	0.58	5	209	546	5	2012.908905
awareness	-0.1524	0.0807	2	116	246	2	2014.701754
backscatter	0.3647	-0.8296	2	155	354	3	2011.126712
balance	0.0109	0.1337	1	295	894	10	2011.539286
baltic	-0.8261	-0.6346	3	94	200	2	2011.08982
baltic sea	-0.8268	-0.6339	3	94	200	2	2011.529412
banks	0.5521	0.7342	1	73	158	2	2009.070423
barents	0.6753	0.4217	4	96	206	2	2010.39816
