id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	0.391	-0.5335	1	505	1978	25	2011.125
abisko	0.587	0.4425	1	270	920	12	2011.45098
ablation	0.2908	-0.3948	1	491	1992	22	2012.339583
abundance	0.5261	0.0864	1	582	2420	25	2012.159769
acceleration	-0.5223	-0.6227	2	505	2432	23	2012.217042
access	-0.5755	-0.5411	2	351	1302	14	2013.769679
accumulation	0.4187	0.1238	1	1005	7622	86	2011.1675
accuracy	-0.6082	-0.7008	2	672	4000	44	2012.031588
acquisition	-0.7839	0.0011	3	519	2308	25	2012.112069
action	0.233	0.9311	4	665	3704	41	2009.595808
active layer	-0.6944	0.5142	3	1072	12796	137	2012.332634
active layer depth	-0.6529	0.7647	3	340	1130	12	2011.505882
active layer thickness	-1.0142	0.2878	3	460	2104	22	2013.05
active rock glaciers	-0.1726	-0.6886	2	838	7256	77	2009.285714
activity	0.3901	-0.4647	1	1247	21290	237	2011.741747
adaptation	-0.5029	-0.5958	2	408	1576	18	2013.458029
addition	0.0807	0.3114	1	992	7044	81	2012.072879
adjustment	0.826	-0.4298	1	472	1964	19	2011.543956
advance	0.3063	-0.358	1	915	6424	71	2012.223684
aerial photographs	0.3277	-0.9676	2	349	1240	15	2010.535714
africa	0.3867	0.811	1	177	486	9	2009.943515
age	0.7561	-0.2007	1	1160	15698	177	2010.368729
age dating	1.0591	-0.0274	1	357	1534	16	2013.111111
aggradation	0.5144	0.0159	1	503	2000	21	2012.058824
agreement	-0.4424	0.1117	3	559	2382	28	2010.554303
air	-0.5272	0.2317	3	1243	20988	220	2011.976061
air circulation	-0.8083	0.751	3	268	1044	13	2010.5
air temperature	-0.4651	0.1448	3	1175	16360	169	2012.218924
al	0.6622	0.7907	1	346	1190	20	2010.555118
alaska	0.1223	-0.0729	4	595	2680	32	2010.597746
albedo	-0.7677	0.5815	3	332	1122	12	2012.060567
algorithm	-0.7946	-0.5767	2	492	2152	24	2011.916828
alluvial fan	0.8675	-0.3665	1	513	2228	20	2013.233333
alpine	-0.1529	-0.0293	3	1295	22286	244	2012.280161
alpine environments	0.4259	0.3927	1	792	4770	54	2010.582418
alpine glaciers	0.4632	-0.4493	1	398	1400	14	2012.819277
alpine landscapes	0.5451	0.2386	1	297	888	9	2012.47619
alpine permafrost	-0.8407	-0.1759	3	839	6434	71	2011.692308
alpine regions	-0.4466	-0.6443	2	521	2364	25	2012.662791
alpine zone	0.9306	0.3774	1	264	774	11	2010.84375
alps	-0.5255	-0.31	2	1286	32218	354	2011.372549
altitude	0.0549	-0.1788	2	912	6618	74	2011.218807
altitudinal limit	-1.028	-0.054	3	269	832	9	2011.111111
america	0.2718	-0.3111	2	335	1108	13	2011.440252
amplitude	-0.5269	0.0759	4	503	2102	23	2010.372165
analysis	0.0602	-0.2158	2	1368	33874	375	2011.656462
andean	-0.1715	-0.7633	2	277	884	11	2013.395349
andes	-0.1899	-0.9041	2	640	4318	53	2012.5
angle	0.4221	0.3043	1	582	2568	28	2010.915493
annual	0.5489	0.1195	1	401	1494	17	2010.264808
annual cycle	-0.4778	0.7478	4	353	1158	12	2009.189944
annual precipitation	0.6554	0.0015	1	327	1184	13	2011.851852
annual temperature	-0.4431	-0.1082	2	401	1428	16	2010.649254
anomaly	-0.4798	0.3861	3	485	2008	24	2010.997204
antarctic	0.2582	0.7857	1	539	2456	29	2010.797819
antarctica	0.4096	0.771	1	672	3992	56	2011.220175
application	-0.653	-0.3566	2	995	9586	111	2012.361823
approach	-0.5382	-0.3314	3	1209	16328	178	2013.011682
archives	0.3938	-0.3964	1	410	1438	16	2012.62249
arctic	0.4739	0.5119	1	937	7586	89	2012.189504
arctic environments	0.8985	0.553	1	418	1594	18	2012.708108
arctic-alpine	0.9688	0.7556	1	342	1486	19	2010.826446
area	-0.0527	-0.2426	2	1390	52568	593	2011.37466
argentina	-0.2278	-0.9563	2	316	1282	16	2013.052632
aridity	0.2027	0.2839	1	228	708	9	2011.457143
array	-0.8079	0.2413	3	413	1686	20	2011.101235
asia	-0.5862	-0.435	2	328	1134	15	2013.012594
asl	-0.5804	-0.059	3	717	4202	49	2011.607477
aspect	-0.2898	-0.3953	2	781	5492	57	2011.749104
assemblages	0.6392	0.08	1	397	1388	16	2012.247588
assessment	-0.3486	-0.5023	2	1075	10824	112	2013.024899
association	0.7181	-0.1117	1	492	1868	22	2011.081886
atlantic	0.5902	-0.3511	1	386	1466	16	2010.236737
atmosphere	-0.2063	0.5803	3	462	1654	17	2011.581199
atmospheric temperature	0.0206	-0.6676	2	332	1086	11	2010.509554
attention	0.0952	-0.3031	2	669	3390	39	2012.917808
austria	-0.5102	-0.2147	2	799	5632	57	2011.948718
austrian alps	-0.7437	-0.3153	2	449	1736	16	2011.727273
autumn	-0.0802	0.4796	4	656	3344	33	2011.726708
availability	0.2658	0.5289	4	759	3924	40	2012.908905
avalanche	0.4601	-0.5512	1	1089	13168	152	2010.643275
avalanche activity	0.71	-0.5557	1	494	2426	27	2010.962963
avalanche frequency	0.8389	-0.619	1	241	802	10	2008.3
balance	-0.3923	0.2119	3	876	6116	65	2011.539286
bands	0.287	-0.0884	1	255	698	9	2010.501538
basal	0.2141	0.4417	1	645	3076	37	2012.568254
basalts	0.4298	0.8225	1	235	640	11	2010.666667
baseline	-0.6226	-0.573	2	364	1136	11	2012.74934
basin	0.887	-0.1144	1	913	7892	83	2010.09645
bay	0.5356	0.5897	1	229	652	10	2010.11814
be-10	1.1192	-0.4189	1	263	840	9	2010.8
bed	0.5249	-0.2205	1	436	1614	17	2012.649281
bedload	1.0916	0.0317	1	418	2140	24	2008.892857
bedload transport	1.0254	0.0548	1	311	1334	14	2013.0625
bedrock	-0.0101	0.4988	4	1252	17314	191	2011.093588
bedrock permafrost	-0.8533	0.445	3	398	1612	17	2012.352941
behavior	-0.4295	-0.274	2	455	1660	17	2011.103784
behaviour	-0.5086	-0.1733	2	697	3564	40	2010.943662
belt	0.3503	-0.5171	1	570	2832	29	2010.458182
blockfields	0.3335	0.4078	1	349	1264	17	2011.764706
body	-0.2962	-0.2253	2	979	8142	92	2011.227462
border	0.4372	0.2141	1	304	846	13	2011.672897
borehole	-1.1316	0.2524	3	837	7356	77	2012.604563
borehole temperatures	-1.2405	0.4136	3	465	2320	23	2011.555556
bottom temperature	-1.2335	0.0203	3	472	2742	30	2010.236559
boulders	0.742	0.32	1	922	7178	85	2007.94958
boundary	-0.0721	0.0062	3	744	4010	45	2008.420868
boundary conditions	-0.4949	0.2634	3	390	1384	13	2010.430736
bp	0.9771	0.0619	1	614	3520	43	2012.006369
breakdown	0.5066	1.0123	1	241	744	9	2010.515152
british columbia	0.465	-0.3375	1	253	750	9	2010.564356
bts	-1.0751	-0.1004	3	540	3506	40	2006.477273
bts measurements	-1.2258	-0.003	3	292	1268	15	2004.1875
budget	0.7664	-0.0048	1	739	4620	48	2011.153068
building	-0.2398	0.2693	2	445	1470	17	2011.116071
c-14	0.8818	0.2861	1	390	1506	17	2010.938406
ca	0.8415	0.8393	1	213	704	9	2010.753333
calibration	-0.1854	-0.2935	3	516	2188	24	2011.99511
california	0.6679	0.3753	1	276	882	10	2009.673387
camera	-0.3869	-0.1601	2	358	1160	11	2013.671756
canada	0.0654	0.3516	1	725	4174	53	2011.058788
canadian	0.0178	0.456	1	240	634	9	2010.480463
capacity	0.0126	0.2669	2	524	2150	24	2013.094099
carbon	0.4913	0.5366	1	348	1138	12	2013.107259
carbonate	0.6915	0.6808	1	331	994	12	2011.940552
carpathians	-0.9474	0.318	3	296	1152	12	2013.52381
cascade	0.6486	-0.7561	1	370	1210	12	2012.034783
case	0.0043	-0.2697	2	1172	13570	150	2010.847835
case study	-0.0656	-0.5283	2	896	6340	69	2012.678179
catchment	0.7876	-0.0787	1	876	7350	76	2013.188825
cause	0.0962	0.0656	1	708	3452	37	2011.675244
cave	-0.0407	0.6035	1	453	2146	29	2012.349206
cell	-0.8673	-0.4661	2	296	1074	13	2011.359784
century	0.1399	-0.591	2	944	8344	95	2012.205869
chain	-0.4906	-0.804	2	454	1804	17	2011.096866
