id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
absorption	-0.9051	-0.0958	1	236	942	2007.595437
abundance	-0.1657	0.1624	4	291	1164	2008.576098
access	0.8304	0.1289	4	68	136	2011.56924
accuracy	-0.1936	-0.117	1	263	1044	2010.08255
activity	0.5327	-0.4458	2	122	292	2008.610119
addition	-0.2732	0.7893	5	180	520	2009.285986
adelie	1.2345	-0.6049	2	88	270	2007.709635
adult	1.3221	-0.304	2	43	100	2007.718974
advance	0.5779	-0.2595	2	43	88	2009.278139
aerial	0.8249	-0.3277	2	102	240	2008.989071
age	-0.0129	0.2479	6	69	148	2007.797965
agreement	-0.0162	0.4701	6	181	476	2007.890269
air	1.0018	-0.3171	2	58	122	2008.618101
airborne	-0.5323	0.1314	1	118	294	2006.453571
aircraft	0.9034	-0.4574	2	157	502	2006.227098
al	-0.9906	0.1721	1	84	184	2007.388849
alaska	0.6544	-0.0305	2	90	206	2008.146234
albatrosses	1.1912	-0.3898	2	39	80	2007.274436
algorithm	-0.5936	0.3314	3	350	1836	2010.210584
alteration	-0.9837	-0.471	3	280	1866	2008.680165
altitude	1.153	-0.3828	2	129	360	2007.653347
america	0.87	0.2671	4	80	168	2008.697703
analyses	-0.185	0.6622	5	162	374	2009.301682
analysis	-0.1761	0.0126	3	526	4088	2009.366286
angle	0.1261	-0.4122	6	182	552	2007.895326
animals	0.9432	-0.4352	2	92	228	2008.315789
anomalies	-0.7847	0.0678	3	119	330	2009.553394
antarctic	0.3175	-0.4156	2	323	1584	2007.820711
antarctic peninsula	-1.2312	-0.2633	1	115	406	2009.392737
antarctica	0.2794	-0.5031	2	289	1392	2007.877974
application	0.0357	-0.1782	2	438	2196	2010.011511
approach	-0.0873	0.2342	5	468	2786	2011.153242
arc	-0.8885	-0.5401	3	120	404	2008.731343
archaean	-0.8332	0.5727	3	60	152	2004.850365
arctic	0.1215	-0.2718	1	313	1390	2009.446222
area	-0.0237	-0.2679	1	539	4330	2008.578401
array	-0.2947	-0.2338	3	223	726	2008.688032
asia	0.6151	0.16	4	106	244	2010.858426
aspect	0.3443	-0.1991	4	104	222	2009.986813
assemblages	-1.14	-0.515	3	202	1098	2007.880667
assessment	-0.1045	-0.0667	1	280	918	2011.123547
association	-0.1736	-0.5305	3	164	466	2009.179096
aster	-1.0927	-0.5408	3	260	1666	2012.45977
atmosphere	-0.3023	0.4527	1	96	220	2008.501913
automated	-0.3921	0.3655	1	79	170	2010.614379
background	0.6168	-0.1562	2	76	174	2009.681872
backscatter	-0.4276	-0.7063	3	104	274	2008.125292
baffin	-0.1899	-0.2443	1	137	420	2007.975111
balance	1.1502	0.431	4	57	134	2009.168937
bands	-0.5859	-0.3924	3	289	1436	2007.694277
basin	-0.1789	-0.1098	4	105	252	2008.451393
bay	0.4036	-0.5483	2	126	304	2007.629364
bayesian	-0.2015	1.314	5	101	326	2013.3809
bedrock	-0.2022	-0.0294	6	135	362	2009.117398
behavior	-0.4233	0.1854	1	52	110	2008.780232
behaviour	1.2857	-0.6063	2	44	114	2008.035198
belt	-0.9198	-0.1982	3	221	858	2007.364949
benefits	0.5598	0.0684	2	167	456	2011.531274
bering	-0.1975	1.3134	5	101	326	2008.596391
bering sea	-0.2053	1.3128	5	101	326	2010.469178
beta	0.1135	0.5021	1	50	114	2008.071429
biomass	0.7319	0.513	4	70	156	2008.040883
biotite	-0.9943	-0.4646	3	144	484	2005.942708
birds	1.1745	-0.3072	2	120	344	2007.764282
body	0.714	-0.3359	2	102	250	2007.977291
boundary	-0.554	-0.1163	3	224	712	2007.239183
breeding	1.2111	-0.5494	2	49	104	2008.159905
broadband	-0.5699	0.0527	1	97	256	2009.503198
budget	0.517	0.1481	2	76	162	2008.970525
calcite	-0.8703	-0.8307	3	113	298	2008.115055
calibration	-0.0453	0.1812	1	168	512	2009.197434
camera	0.9984	-0.4504	2	142	398	2010.289708
campaign	-0.7795	0.3739	1	72	164	2008.901876
canada	-0.2834	-0.1086	1	212	820	2008.358354
canopy	0.9646	0.4607	4	87	220	2008.318982
capabilities	-0.4802	0.0141	1	77	194	2010.500666
cape	-0.5893	0.2081	1	72	174	2007.560284
carbon	0.265	0.2339	4	270	956	2009.564589
carbon balance	1.0984	0.4063	4	60	146	2008.833333
carbonatite	-0.8647	0.5288	3	74	230	2007.66
case	-0.1929	-0.4434	1	282	1018	2008.95177
cause	0.1351	-0.6693	2	68	144	2008.342905
census	1.2638	-0.3897	2	78	190	2009.334385
chain	-0.5015	0.9302	5	89	186	2008.08967
challenges	0.458	-0.2269	1	51	108	2013.058999
changes	0.5126	0.2224	4	311	1232	2009.682502
channel	0.1145	0.0867	2	91	204	2008.014353
characteristics	-0.0251	0.1182	6	300	1194	2008.736404
characterization	-0.2555	-0.3355	1	156	490	2010.633346
chemical	-0.6761	0.1029	1	94	214	2007.921949
chemical composition	-0.2367	-0.2891	1	57	116	2008.202447
chicks	1.323	-0.3036	2	43	100	2006.438579
china	-0.405	0.749	5	56	120	2011.999131
chinstrap	1.1904	-0.6026	2	59	156	2008.7109
chlorite	-1.0865	-0.3888	3	198	852	2006.136564
class	0.0319	-0.1475	4	83	186	2008.629702
classification	-0.4615	0.4765	5	292	1288	2009.286924
clay	0.0027	0.8193	5	98	214	2007.780506
climate	0.3004	0.1517	4	266	854	2010.804187
cluster	0.0189	0.7125	5	180	490	2009.267877
coast	-1.0596	-0.408	1	80	218	2007.916968
coastal	0.3248	-0.0933	2	93	216	2008.750196
coatings	-0.3669	0.2547	1	95	242	2011.219355
coherent	-1.3621	-0.423	3	69	176	2008.626866
collision	-0.8261	-0.7679	3	60	146	2007.91215
colonies	1.1919	-0.4214	2	89	246	2008.687658
color	-0.4702	-0.0572	3	60	128	2008.761453
