id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
20th century	-0.3028	1.0191	2	369	1344	13	2011.125
abundance	0.6739	0.2988	1	414	1548	16	2012.159769
abyssal	1.1074	-0.1532	1	391	1764	18	2008.271255
abyssal plain	1.1265	-0.1474	1	365	1574	16	2007.926829
acceleration	-0.2115	0.2087	2	465	1612	16	2012.217042
accumulation	0.0955	0.8285	2	744	4820	41	2011.1675
acoustic	-0.3941	-0.9555	3	376	1468	15	2009.018519
acoustic doppler current profiler	-0.4033	-1.0127	3	307	1148	12	2007.4
action	-0.8511	0.1676	2	302	906	9	2009.595808
activity	0.2772	-0.0493	1	820	5336	51	2011.741747
adcp	-0.0078	-1.0417	3	444	2050	21	2007.919643
addition	0.0905	0.0903	1	1064	9032	79	2012.072879
adjustment	-0.6857	-0.5321	3	578	2900	30	2011.543956
advance	-0.2458	0.2586	2	265	796	9	2012.223684
advection	-0.0154	-0.0985	5	1111	12100	113	2010.324162
age	0.9919	-0.1429	1	471	2080	22	2010.368729
agreement	-0.5136	-0.2819	3	964	8142	77	2010.554303
air	-0.7594	0.2838	2	965	9044	83	2011.976061
air temperature	-0.8797	0.2997	2	793	5908	52	2012.218924
air-sea	0.0165	-0.3319	5	432	1686	15	2011.236364
aircraft	-0.4577	-0.3399	4	353	1230	14	2010.584541
al	0.1252	0.208	1	687	3182	31	2010.555118
alaska	0.3865	0.1869	1	638	3160	28	2010.597746
alaskan	0.4098	-0.1841	1	629	3806	35	2011.071579
alaskan coastal current	0.7576	-0.1763	1	254	1010	9	2012.555556
albedo	-0.5611	0.0273	4	401	1370	12	2012.060567
algorithm	-0.8213	-0.4845	4	413	1724	18	2011.916828
alkalinity	1.1067	0.7589	1	401	1800	17	2012.733333
alpha	1.1834	0.2012	1	302	1262	12	2010.514493
america	0.6786	0.6949	1	254	772	9	2011.440252
amplitude	-0.3573	-0.6615	3	573	2890	32	2010.372165
amsr-e	-1.0335	-0.3053	4	326	1144	9	2012.081633
amundsen	0.9458	-0.0465	1	744	5798	55	2012.553846
amundsen basin	0.9075	-0.394	1	569	3556	33	2008.225
analysis	-0.196	0.0076	2	1276	23340	235	2011.656462
analytical model	-0.286	-0.781	3	328	1076	11	2006.887324
angle	-0.4814	-0.4935	4	340	1030	9	2010.915493
annual	0.0416	1.0058	2	289	956	9	2010.264808
annual cycle	0.4603	0.2328	1	470	1800	16	2009.189944
annual variability	-0.7409	0.4041	2	285	924	9	2012.096045
anomaly	-0.5946	0.7331	2	1095	16928	161	2010.997204
antarctic	-0.1515	-0.7264	3	477	2006	20	2010.797819
antarctica	-0.4516	-0.6489	4	232	644	9	2011.220175
anticyclone	-0.1687	-0.4523	3	563	2998	34	2010.766562
anticyclonic circulation	-0.6046	0.287	2	553	2596	24	2009.144444
anticyclonic eddy	0.7138	-0.8542	3	282	972	10	2008.5
ao	-0.6707	0.7917	2	660	3978	35	2011.098916
ao index	-0.802	0.9131	2	363	1422	12	2010.672
application	-0.5347	-0.4389	4	653	3186	34	2012.361823
approach	-0.2174	0.0801	4	761	4162	47	2013.011682
approximation	0.0423	-0.6861	3	288	860	9	2011.077491
archipelago	-0.4101	0.6714	2	995	11460	98	2011.082609
arctic	0.1205	0.1917	2	1359	106016	1076	2012.189504
arctic archipelago	-0.2378	0.9214	2	746	6166	53	2012.018987
arctic atmosphere	-0.847	0.7019	2	398	1504	12	2011.826087
arctic basin	-0.2515	0.3804	2	936	7754	79	2009.680952
arctic canada	0.7849	-0.3152	1	373	1528	14	2010.042017
arctic change	0.0129	0.8899	2	412	1492	13	2013.297297
arctic circulation	-0.3345	0.5883	2	621	3194	30	2010.846154
arctic circumpolar boundary current	0.9863	-0.1025	1	366	1354	9	2014.111111
arctic climate	-0.3344	0.9337	2	750	5650	55	2013.150824
arctic climate system	-0.5975	0.8263	2	296	1058	11	2013.39726
arctic data	-0.3745	-0.1627	4	440	1472	12	2011.115942
arctic freshwater	-0.0902	1.0929	2	772	6172	54	2012.838983
arctic greenland	-0.3288	0.3125	2	658	3588	31	2011.165468
arctic halocline	0.6955	-0.2647	1	767	4864	44	2008.509804
arctic heat	-0.4061	0.5206	2	459	2178	19	2013.35
arctic high	-0.1546	0.531	2	555	2246	18	2013.101695
arctic ice	-0.7079	0.39	2	889	7028	63	2013.034188
arctic intermediate water	0.6159	-0.4623	5	387	1616	15	2006.116279
arctic marine	0.4344	0.3582	1	441	1724	17	2013.75576
arctic mediterranean	0.6393	-0.5501	5	346	1490	13	2008.704545
arctic observations	-0.1315	0.4524	2	408	1698	17	2013.9125
arctic ocean	0.2389	0.2386	2	1354	79182	782	2010.893127
arctic ocean basin	0.5424	0.1649	3	337	1254	13	2010.434783
arctic ocean changes	-0.1972	0.909	2	429	1938	18	2011.674419
arctic ocean circulation	0.1342	0.546	2	732	4734	44	2009.890625
arctic ocean freshwater	-0.3079	1.1874	2	585	3958	32	2011.4
arctic ocean halocline	0.793	-0.2654	1	611	3306	29	2007.966667
arctic ocean sea ice	-0.434	0.8081	2	570	2892	28	2011.955882
arctic ocean variability	-0.5763	0.6573	2	294	996	10	2007.352941
arctic oceanography	0.3294	0.0255	1	331	1006	13	2006.9375
arctic oscillation	-0.4577	0.9254	2	812	6350	56	2011.24912
arctic outflow	0.2949	0.6792	1	418	1484	12	2009.444444
arctic regions	-0.3872	0.8075	2	564	2550	23	2013.278834
arctic river runoff	0.1063	1.0353	2	426	1896	16	2007.555556
arctic rivers	0.4873	0.9892	1	657	4440	38	2011.739496
arctic sea ice	-0.4866	0.6222	2	1076	14908	136	2014.367364
arctic sea ice cover	-0.7058	0.5564	2	422	1814	14	2013.896552
arctic seas	-0.3212	0.6462	2	1167	18356	173	2014.010669
arctic shelf	0.9398	0.1445	1	745	5112	48	2011.55615
arctic shelves	0.4442	-0.2153	1	558	2706	24	2010.447761
arctic summer	0.0075	0.467	2	411	1634	15	2013.466368
arctic svalbard	-0.275	-0.7887	5	316	1218	10	2012.8125
arctic system	-0.6581	0.8787	2	302	1144	10	2013.735294
arctic temperature	0.0238	0.5205	2	397	1418	13	2012.593301
arctic warming	0.204	-0.2359	3	449	1828	17	2014.481818
arctic waters	0.3094	0.108	5	894	6752	66	2011.466431
arctic winter	-0.4339	0.1756	4	602	2754	21	2011.690678
area	-0.2518	-0.1284	4	1302	31786	312	2011.37466
array	-0.2035	-0.4931	3	626	3814	38	2011.101235
assemblages	0.8374	0.376	1	299	930	9	2012.247588
assessment	-0.0384	0.5499	2	638	2992	31	2013.024899
assimilation	-0.223	0.1071	2	413	1530	15	2012.629787
association	-0.4465	0.1401	2	346	1114	11	2011.081886
atlantic	0.1422	0.286	2	1338	57576	543	2010.236737
atlantic current	-0.5223	0.0666	5	417	1882	16	2007.777251
atlantic inflow	-0.3446	0.2945	2	646	3778	34	2009.471264
atlantic layer	0.6963	0.1351	1	816	6652	61	2005.135135
atlantic ocean	-0.45	0.61	2	751	4910	44	2009.615463
atlantic oscillation	-1.0322	0.8083	2	575	3996	37	2010.516074
atlantic sector	0.5057	0.1708	1	410	1468	11	2011
atlantic water	0.3289	-0.2022	5	1276	34838	328	2010.080056
atlantic water inflow	-0.1895	0.4466	2	376	1574	14	2013.848485
atlantic water layer	0.1289	0.3179	3	633	3804	33	2012.857143
atmosphere	-0.4966	0.3928	2	1107	14194	131	2011.581199
atmospheric circulation	-0.5864	0.9711	2	733	5958	57	2012.002058
atmospheric conditions	-0.5791	-0.2504	4	307	978	9	2011.328431
atmospheric forcing	-0.0981	0.7082	2	352	1318	12	2011.295082
atmospheric pressure	-0.4438	0.7602	2	431	1778	16	2008.613793
atmospheric reanalysis	-1.0811	-0.2162	4	371	1328	9	2014.7
atmospheric variability	-0.7821	0.7343	2	372	1474	13	2010.788382
attention	0.1252	0.0396	1	354	1284	13	2012.917808
autumn	-0.0551	-0.2848	4	663	3604	34	2011.726708
availability	0.9926	0.2819	1	312	1010	9	2012.908905
avhrr	-0.8809	-0.6046	4	307	1128	12	2006.133333
ba	1.238	0.5667	1	281	1074	9	2011.655172
baffin	-0.8208	0.2892	4	779	6494	57	2010.510917
baffin bay	-0.8747	0.2084	4	762	6296	56	2010.593939
baffin island	-0.3901	0.4919	4	285	990	9	2009.5
balance	-0.3992	0.1318	2	1060	11464	104	2011.539286
barents	0.0715	0.184	5	1216	23400	221	2010.39816
barents sea	0.0537	0.1331	5	1175	20424	194	2010.27735
barents sea opening	-0.4618	0.3041	2	442	2110	17	2012.30303
barents sea shelf	0.7556	-0.0356	5	301	1058	11	2007.714286
barents sea water	0.621	0.186	5	355	1386	11	2010.181818
barium	1.2186	0.6506	1	318	1410	12	2010.407407
baroclinic	0.1079	-0.8358	3	524	2370	26	2009.016779
baroclinic instability	-0.0381	-1.0564	3	347	1398	15	2008.354651
barotropic	-0.3689	-0.7468	3	774	6328	65	2008.382671
barrier	0.1908	-0.5279	4	500	1996	22	2010.248366
barrow	0.4358	-0.4227	1	714	5622	49	2011.224344
barrow canyon	0.5223	-0.4515	1	601	4116	35	2011.671053
basin	0.5113	0.0505	1	1343	49856	487	2010.09645
bathymetry	0.0468	-0.6741	3	608	2998	28	2011.112299
bay	-0.779	0.0752	4	847	7594	71	2010.11814
bear island	-0.2241	-1.0125	3	236	900	9	2002.631579
bears	-0.1241	-0.9801	3	259	1014	11	2006.862745
beaufort	0.2009	0.4413	1	1211	25176	234	2010.621769
beaufort gyre	-0.06	0.6274	2	1030	14132	130	2012.013158
beaufort sea	0.3317	0.2842	1	1016	11302	104	2010.009921
beaufort shelf	0.6888	0.0884	1	541	2612	21	2009.78125
behavior	-0.4781	-0.1193	4	613	2652	25	2011.103784
bering	0.3654	0.3745	1	1093	14504	126	2009.747987
bering sea	0.2603	-0.3551	4	611	3568	33	2009.417822
bering strait	0.4488	0.5834	1	998	11106	94	2011.176923
bering strait inflow	0.6264	0.5824	1	462	1846	14	2010
bias	-0.6966	0.5527	2	285	1028	9	2013.065051
biological processes	0.5092	0.4591	1	459	1854	17	2011.762963
biological productivity	1.0193	0.4959	1	310	1102	12	2011.175824
biomass	0.7838	0.1615	1	440	1804	16	2012.021332
bloom	0.739	0.22	1	533	2776	23	2012.055462
body	0.3701	-0.8124	3	269	818	10	2011.227462
bottom boundary layer	0.1285	-1.0785	3	266	870	10	2008.092308
bottom pressure	-0.7953	0.0505	2	286	940	9	2008.664
bottom slope	0.0737	-0.895	3	330	1250	13	2006.241379
bottom topography	-0.2124	-0.3972	3	499	2102	20	2005.328205
bottom water	0.5896	-0.4217	5	638	3706	37	2008.220624
boundary	0.3537	-0.5224	3	1046	10366	104	2008.420868
boundary conditions	-0.3136	-0.3104	3	597	2646	26	2010.430736
boundary current	0.7095	-0.334	1	736	5190	44	2008.432071
boundary layer	-0.4034	-0.8018	3	662	3840	41	2009.971272
