id	x	y	cluster	weight<Links>	weight<Total link strength>	score<Avg year>
se	0.7352	0.3784	4	311	1116	2008.4
sea	0.3525	0.2565	4	1304	38832	2008.689398
sea ice	0.3042	0.1267	4	862	7648	2010.083703
sea ice extent	0.2475	0.8786	3	233	752	2011.431635
sea level	0.2513	0.3402	5	893	10924	2008.698807
sea level rise	0.1147	0.493	3	1030	16386	2011.57856
sea surface	-0.0222	-0.4516	4	249	754	2008.069565
sea surface temperature	0.6312	0.9676	3	362	1830	2009.815317
sea water	1.0722	0.166	4	131	342	2006.457718
search	-0.3834	-0.6184	1	234	720	2009.995035
season	0.0755	0.0291	6	1152	23926	2009.082749
seasonal changes	0.598	-0.5045	2	398	1714	2008.582435
seasonal cycle	0.216	0.6402	3	378	1734	2008.792717
seasonal evolution	0.7934	-0.6019	2	276	1156	2009.282723
seasonal variability	1.0769	-0.1865	4	298	1156	2009.932458
seasonal variation	0.2664	-0.7293	2	484	2802	2007.929683
seawater	0.9821	-0.5375	4	244	864	2009.025287
sections	0.4228	-0.5986	4	425	2112	2007.337998
sediment cores	0.9794	0.3939	5	142	382	2009.210033
sediment transport	0.6466	-0.1939	4	119	356	2009.273616
sediments	0.6977	0.047	5	789	6968	2008.031847
segments	-0.4362	-0.3946	1	361	1216	2008.049369
seismic	0.0687	-1.0088	2	424	2462	2008.590452
selection	-0.6217	0.3096	1	242	698	2009.482489
sensing	-0.7401	-0.0023	1	765	6320	2011.019623
sensitivity	0.194	0.4789	3	1066	15912	2009.595052
sensitivity analysis	-0.6481	0.0462	1	163	424	2010.599156
sensitivity experiments	0.5931	0.9782	3	232	872	2009.214286
sensors	-0.8272	-0.1819	1	865	9408	2009.759019
separation	-0.0455	-0.5886	6	370	1400	2007.566611
sequence	0.1465	-0.3146	5	429	1640	2008.54367
series	-0.2569	0.3807	3	1100	16950	2008.676664
shallow water	1.0314	-0.6633	4	162	432	2007.041667
shape	-0.0999	-0.2615	1	603	3434	2008.770625
shear	0.1998	-1.0774	2	316	1394	2007.066225
shelf	0.6949	-0.2506	4	860	8570	2008.672172
shelves	0.2498	-0.4409	2	622	4408	2009.828045
shetland	-0.2632	-0.2308	5	250	850	2008.115064
shift	0.4848	0.3863	4	648	3958	2010.334777
ship	0.6704	-0.2812	4	224	668	2010.548666
shore	0.5618	-0.0574	4	149	360	2007.399663
short-term	0.2674	-1.2528	2	183	618	2008.362637
shortwave	-0.1818	1.2015	3	275	1196	2010.126492
shortwave radiation	0.1123	1.1809	3	249	1124	2009.857143
shrinkage	-0.2102	0.6617	5	267	1010	2011.221649
signal	-0.391	-0.5213	1	939	10114	2009.224031
significance	-0.0671	0.191	3	440	1914	2008.013281
sill	1.1846	-0.3954	4	409	2310	2007.892994
similarity	-0.6947	0.0829	1	268	790	2009.020248
simulations	0.3565	0.4123	3	1155	21452	2010.182554
sink	0.7337	-0.1349	4	175	486	2008.9164
sites	-0.1948	-0.102	6	990	12396	2008.514265
size	-0.0145	-0.1862	1	965	11250	2008.248059
size distribution	0.2911	-0.2996	1	177	508	2007.239521
skill	-0.2458	0.6601	1	205	596	2012.574869
sliding	0.1081	-0.8474	2	600	4458	2008.471196
slip	0.1762	-1.0105	2	326	1292	2008.519403
slope	-0.2563	-0.4203	1	909	9810	2008.522006
smb	-0.0244	1.2132	3	683	8548	2014.035354
snow	-0.6528	0.226	6	1061	17802	2008.843053
snow accumulation	-0.5661	0.8042	3	463	2744	2008.890244
snow depth	-1.113	-0.2084	1	248	994	2011.340979
snow surface	-0.7188	-0.384	6	273	1018	2008.346535
snow/ice	-0.6916	0.5913	1	382	1578	2010.232432
snowfall	-0.2923	0.7998	3	538	3668	2010.160714
snowmelt	-0.7938	0.2701	1	550	3728	2009.443804
snowpack	-0.7171	-0.0111	6	660	5400	2009.730081
society	-0.5073	0.3482	1	445	1756	2008.419795
software	-0.5138	-0.3139	1	462	1980	2011.491499
soil	-0.0604	0.5538	3	246	756	2010.0138
solar	0.529	0.8965	3	186	622	2008.730461
solar radiation	0.2168	0.7735	3	382	1824	2009.055833
solution	-0.2846	-0.3007	2	695	4864	2008.161376
sound	0.0673	-0.5032	4	689	4572	2007.411115
sounder	-0.665	-0.5186	1	233	730	2008.856481
source	0.2425	-0.2138	4	1111	15432	2008.933035
south	-0.0771	0.4225	5	723	5768	2007.747219
southern	-0.223	0.3011	5	592	3690	2009.223665
southern ocean	0.4006	0.2468	4	209	626	2009.57408
southwest	0.761	0.2757	4	538	3256	2008.084584
space	-0.7024	-0.1937	1	818	7584	2009.666286
spacing	-0.3716	-0.4597	1	476	2068	2008.075342
span	-0.8039	0.0351	1	298	1092	2008.666667
sparse	0.1555	0.6321	3	243	798	2009.608974
spatial	-0.4833	-0.3539	1	669	4478	2009.53617
spatial distribution	-0.3433	0.1557	6	551	2824	2010.361231
spatial extent	-0.7647	-0.1119	1	281	992	2011.278351
spatial patterns	-0.1273	0.4712	3	534	3060	2010.619556
spatial resolution	-0.9284	0.3031	1	516	2886	2010.654237
spatial scales	-0.3401	-0.9248	2	189	530	2009.793421
spatial variability	-0.2616	0.4128	6	405	1844	2009.941935
spatial variation	0.7437	0.41	5	334	1378	2009.989535
spectra	-0.1876	-0.7243	1	216	618	2007.31392
spectroradiometer	-0.6215	0.7539	3	472	3076	2012.221622
spectrum	-0.2946	-0.7711	1	263	774	2007.745108
speed	0.3106	-0.5928	2	844	9740	2008.86489
