id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Keyword count>	score<Avg year>
abiotic degradation	-1.1909	0.4694	2	250	1028	11	2015.272727
abundance	-0.3573	-0.1061	2	1082	11340	115	2012.159769
accumulation	0.1295	-0.37	3	579	2512	24	2011.1675
accumulation rates	0.2359	-0.3462	3	367	1260	11	2010.201613
accuracy	0.3439	0.4213	1	262	808	7	2012.031588
ace	-0.8684	-0.5282	2	204	686	9	2005.44186
ace lake	-0.8699	-0.5274	2	204	686	9	2005.785714
acid composition	-1.101	-0.0344	2	211	680	11	2007.131579
acids	-0.8522	-0.2919	2	899	8526	96	2009.964637
activity	-0.1269	-0.0395	2	726	3408	33	2011.741747
adaptation	-0.4596	-0.1524	2	372	1090	11	2013.458029
addition	-0.2164	-0.0802	2	789	4276	43	2012.072879
adelie	-1.1305	0.1654	2	153	446	5	2010.903226
adenosylhopane	-0.5617	-0.843	3	164	506	5	2012.8
advance	-0.3303	0.0135	2	294	770	6	2012.223684
advection	0.6997	0.6841	1	291	876	8	2010.324162
aerosol	-0.732	-0.1189	2	262	762	6	2011.217627
africa	1.1437	-0.216	1	636	5246	49	2009.943515
age	0.6028	-0.0186	1	693	3982	37	2010.368729
aggregation	-0.7179	0.6454	2	222	638	6	2010.006757
agreement	0.3117	0.4148	1	588	2674	24	2010.554303
agulhas	1.1306	0.1953	1	243	802	6	2007.994565
air	0.6347	-0.4632	1	631	3916	36	2011.976061
air temperature	0.643	-0.4381	1	564	3262	30	2012.218924
al	0.0816	0.6678	2	363	1302	11	2010.555118
alaska	0.1388	-0.5644	3	420	1680	15	2010.597746
alaskan	0.3479	-0.2835	1	207	544	5	2011.071579
alcohols	-0.8812	-0.2002	2	317	1056	11	2010.3125
algae	-0.6231	0.213	2	746	4518	47	2012.039501
algal blooms	-0.9295	0.267	2	204	554	6	2013.245902
alkanes	-0.3334	-0.5049	3	466	1874	20	2011.205128
alkanoic acids	-0.4068	-0.8704	3	420	1840	17	2008.111111
alkenes	-0.8386	0.5504	2	549	3128	32	2008.942857
alkenone	0.2593	0.3264	1	882	8260	87	2008.479167
alkenone temperature	0.0271	0.7198	2	160	440	5	2003.2
alkenone unsaturation index	0.5113	0.692	1	267	870	8	2007.375
alkyl diols	-0.1199	-0.3427	3	260	804	7	2012.428571
alteration	-0.3756	-0.1193	3	468	1764	15	2012.662651
amazon	0.079	-0.4912	3	235	776	7	2013.459459
america	0.8102	-0.408	1	268	842	9	2011.440252
amino acids	-1.0901	-0.1795	2	213	590	6	2012.884393
amplitude	1.0094	0.3105	1	346	1204	11	2010.372165
amundsen	-0.9979	0.7031	2	201	588	5	2012.553846
amundsen gulf	-0.9974	0.7043	2	201	588	5	2012.409091
anaerobic bacteria	-0.8172	-0.5426	2	156	456	6	2007.615385
analogue	-0.312	0.0374	2	257	612	7	2011.282609
analysis	-0.4127	0.0178	2	1190	15426	162	2011.656462
ancient	-0.4282	-0.4766	2	252	670	8	2012.618557
animals	-0.4748	0.3965	2	248	750	9	2012.281022
annual precipitation	0.6327	-0.6833	1	231	676	6	2011.851852
anomaly	0.4499	0.4814	1	373	1186	10	2010.997204
anoxia	-0.295	-0.481	2	230	598	5	2012.36
antarctic	0.056	0.2567	2	940	8434	91	2010.797819
antarctic ice	1.0173	0.0591	1	287	860	7	2012.455772
antarctic lakes	-0.7796	-0.5244	2	149	372	5	2011.024096
antarctic marine	-1.1659	0.1197	2	142	374	5	2010.642105
antarctic peninsula	-0.2318	0.4518	2	351	1232	12	2011.82716
antarctic sea	0.7038	0.3759	1	410	1780	18	2013.249337
antarctic sea ice	0.7052	0.373	1	410	1780	18	2013.381098
antarctic sea ice extent	1.2996	0.1335	1	188	594	5	2014.527778
antarctica	-0.5556	-0.2623	2	807	5880	68	2011.220175
application	0.0603	-0.1228	3	822	5866	56	2012.361823
approach	-0.2654	0.18	2	889	5912	59	2013.011682
aquatic environments	-0.0025	-0.6506	3	188	552	6	2012.515152
aquatic macrophytes	0.2526	-0.942	1	219	676	6	2014.25
arabian sea	0.0214	0.0737	2	194	526	5	2009.5
archaea	-0.3463	-0.5316	2	445	2006	22	2013.73913
archaeol	-0.6333	-0.6633	2	150	396	5	2013.5
archaeological sites	0.8342	-0.3141	1	186	512	5	2010.764706
archipelago	-0.2459	1.0182	2	187	620	5	2011.082609
archives	0.4886	-0.4646	1	579	2558	22	2012.62249
arctic	-0.3682	0.3291	2	1128	17728	169	2012.189504
arctic antarctic	-0.6968	0.9239	2	270	982	9	2012.938182
arctic archipelago	-0.2469	1.0177	2	187	620	5	2012.018987
arctic climate	0.0462	-0.1721	1	248	706	7	2013.150824
arctic ecosystems	-0.7521	0.6775	2	238	904	10	2014.429967
arctic environments	-0.5623	-0.5742	3	302	938	8	2012.708108
arctic high	-0.2332	-0.0707	3	325	1002	9	2013.101695
arctic lakes	0.5177	-0.6577	1	198	542	5	2013.72807
arctic marine	-0.9118	0.6423	2	393	1714	15	2013.75576
arctic ocean	-0.2617	0.4568	3	740	5308	47	2010.893127
arctic regions	-0.6127	0.2544	3	481	2092	18	2013.278834
arctic rivers	-0.3854	-0.9138	3	210	684	6	2011.739496
